036dd90c.HashRef,EventType,EventWeatherArea,24e5b19d.HashRef,PlacementKind,PlacementOfficeType,EventFtrUniqueID,EventObjUniqueID,OffsetX,OffsetZ,UniqueID,CalendarEventKey,b8e42602 u8,DisableInDream,4906e466 u8,LandFlagKeyOFF,LandFlagKeyON,LandTempFlagKeyOFF,NpcSpLabel,PlacementKey,VisitorNpcLabel
TotakekeLive,CalendarEvent,All,None,Ftr,All,22,0,16,9,11,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_0,
TotakekeLive,CalendarEvent,All,None,Ftr,All,22,0,16,11,12,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_1,
TotakekeLive,CalendarEvent,All,None,Ftr,All,22,0,16,13,14,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_2,
TotakekeLive,CalendarEvent,All,None,Ftr,All,21,0,12,16,15,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_3,
TotakekeLive,CalendarEvent,All,None,Ftr,All,11,0,6,9,17,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_4,
TotakekeLive,CalendarEvent,All,None,Ftr,All,11,0,6,11,18,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_5,
TotakekeLive,CalendarEvent,All,None,Ftr,All,11,0,6,13,19,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_6,
TotakekeLive,CalendarEvent,All,None,Ftr,All,21,0,10,16,21,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_7,
Countdown,CalendarEvent,All,None,NPC,All,0,0,8,10,22,Countdown,0,1,0,TkkReturn,,,sza,E_Countdown_NPC_0,
Fireworks,CalendarEvent,All,None,NPC,All,0,0,7,8,23,Fireworks,0,1,0,,BuiltTownOffice,,sza,E_Fireworks_NPC_0,
Countdown,CalendarEvent,All,None,NPC,All,0,0,15,10,24,Countdown,0,1,0,,,,rco,E_Countdown_NPC_1,
EventNone,PermanentObj,All,None,EventObj,All,0,8,2,3,25,EventNone,0,0,0,EventPlazaBuilt,,,,P_EventNone_EventObj_3,
Countdown,CalendarEvent,All,None,Ftr,All,3,0,2,0,26,Countdown,0,1,0,,,,,E_Countdown_Ftr_0,
TotakekeLive,CalendarEvent,All,None,Ftr,All,4,0,11,9,27,TotakekeLive,0,1,0,TkkReturn,,,,E_TotakekeLive_Ftr_8,
Countdown,CalendarEvent,All,None,Ftr,All,5,0,0,0,30,Countdown,0,1,0,,,,,E_Countdown_Ftr_1,
Countdown,CalendarEvent,All,None,Ftr,All,6,0,4,0,31,Countdown,0,1,0,,,,,E_Countdown_Ftr_2,
Countdown,CalendarEvent,All,None,Ftr,All,6,0,18,0,32,Countdown,0,1,0,,,,,E_Countdown_Ftr_3,
Countdown,CalendarEvent,All,None,Ftr,All,3,0,20,0,33,Countdown,0,1,0,,,,,E_Countdown_Ftr_4,
Countdown,CalendarEvent,All,None,Ftr,All,5,0,22,0,34,Countdown,0,1,0,,,,,E_Countdown_Ftr_5,
Countdown,CalendarEvent,All,None,Ftr,All,3,0,18,18,35,Countdown,0,1,0,,,,,E_Countdown_Ftr_6,
Countdown,CalendarEvent,All,None,Ftr,All,5,0,22,11,36,Countdown,0,1,0,,,,,E_Countdown_Ftr_7,
Countdown,CalendarEvent,All,None,Ftr,All,6,0,3,17,37,Countdown,0,1,0,,,,,E_Countdown_Ftr_8,
Countdown,CalendarEvent,All,None,Ftr,All,3,0,1,8,38,Countdown,0,1,0,,,,,E_Countdown_Ftr_9,
Countdown,CalendarEvent,All,None,Ftr,All,5,0,5,13,39,Countdown,0,1,0,,,,,E_Countdown_Ftr_10,
Countdown,CalendarEvent,All,None,EventObj,All,0,10,9,7,40,Countdown,0,1,0,,,,,E_Countdown_EventObj_1,
EventNone,VisitorNpc,All,None,EventObj,All,0,11,16,13,46,EventNone,0,1,0,,,,,V_hgc_EventObj_0,hgc
EventNone,PermanentObj,All,None,Ftr,All,12,0,2,4,47,EventNone,0,1,0,ChangePlazaFtrToNormal,,,,P_EventNone_Ftr_1,
EventNone,PermanentObj,All,None,Ftr,All,13,0,20,6,48,EventNone,0,1,0,SetPrologueBonfire,,,,P_EventNone_Ftr_2,
EventNone,PermanentObj,All,None,Ftr,All,13,0,18,6,49,EventNone,0,1,0,SetPrologueBonfire,,,,P_EventNone_Ftr_3,
EventNone,PermanentObj,All,None,Ftr,All,14,0,8,3,50,EventNone,0,1,0,SetPrologueBonfire,,,,P_EventNone_Ftr_4,
EventNone,PermanentObj,All,None,Ftr,All,15,0,2,14,51,EventNone,0,1,0,ChangePlazaFtrToNormal,,,,P_EventNone_Ftr_5,
EventNone,PermanentObj,All,None,Ftr,All,17,0,16,6,53,EventNone,0,1,0,ChangePlazaFtrToNormal,,,,P_EventNone_Ftr_7,
EventNone,PermanentObj,All,None,Ftr,All,18,0,6,9,54,EventNone,0,1,0,ChangePlazaFtrToNormal,SetPrologueBonfire,,,P_EventNone_Ftr_8,
EventNone,PermanentObj,All,None,Ftr,All,19,0,16,9,55,EventNone,0,1,0,ChangePlazaFtrToNormal,SetPrologueBonfire,,,P_EventNone_Ftr_9,
EventNone,VisitorNpc,All,None,EventObj,All,0,12,15,11,56,EventNone,0,1,0,,,,,V_skk_EventObj_0,skk
EventNone,VisitorNpc,All,None,EventObj,All,0,13,15,11,57,EventNone,0,1,0,,,,,V_hgh_EventObj_0,hgh
EventNone,PermanentObj,All,None,Ftr,All,20,0,5,9,58,EventNone,0,1,0,AllowNpcInterestActivity,ChangePlazaFtrToNormal,,,P_EventNone_Ftr_10,
EventNone,NpcGroupActivity,All,Picnic,Ftr,All,23,0,3,12,59,EventNone,0,1,0,,,,,N_Picnic_Ftr_0,
EventNone,NpcGroupActivity,All,Picnic,Ftr,All,23,0,6,11,60,EventNone,0,1,0,,,,,N_Picnic_Ftr_1,
EventNone,NpcGroupActivity,All,Picnic,Ftr,All,23,0,9,12,61,EventNone,0,1,0,,,,,N_Picnic_Ftr_2,
EventNone,NpcGroupActivity,All,Bonfire,Ftr,All,24,0,6,12,62,EventNone,0,1,0,,,,,N_Bonfire_Ftr_0,
EventNone,PermanentObj,All,None,NPC,All,0,0,11,9,65,EventNone,0,1,0,,TkkFirstLiveNow,,tkkA,P_EventNone_Npc_2,
EventNone,PermanentObj,All,None,Ftr,All,4,0,11,9,66,EventNone,0,1,0,,TkkFirstLiveNow,,,P_EventNone_Ftr_17,
EventNone,NpcGroupActivity,All,BenchResting,Ftr,All,25,0,4,12,69,EventNone,0,1,0,,,,,N_BenchResting_Ftr_0,
EventNone,NpcGroupActivity,All,BenchDrinking,Ftr,All,25,0,4,12,70,EventNone,0,1,0,,,,,N_BenchDrinking_Ftr_0,
EventNone,NpcGroupActivity,All,PicnicSpring,Ftr,All,23,0,3,12,71,EventNone,0,1,0,,,,,N_PicnicSpring_Ftr_0,
EventNone,NpcGroupActivity,All,PicnicSpring,Ftr,All,23,0,6,11,72,EventNone,0,1,0,,,,,N_PicnicSpring_Ftr_1,
EventNone,NpcGroupActivity,All,PicnicSpring,Ftr,All,23,0,9,12,73,EventNone,0,1,0,,,,,N_PicnicSpring_Ftr_2,
EventNone,NpcGroupActivity,All,PicnicAutumn,Ftr,All,26,0,6,12,74,EventNone,0,1,0,,,,,N_PicnicAutumn_Ftr_0,
EventNone,NpcGroupActivity,All,PicnicWinter,Ftr,All,23,0,3,12,75,EventNone,0,1,0,,,,,N_PicnicWinter_Ftr_0,
EventNone,NpcGroupActivity,All,PicnicWinter,Ftr,All,23,0,6,11,76,EventNone,0,1,0,,,,,N_PicnicWinter_Ftr_1,
EventNone,NpcGroupActivity,All,PicnicWinter,Ftr,All,23,0,9,12,77,EventNone,0,1,0,,,,,N_PicnicWinter_Ftr_2,
EventNone,NpcGroupActivity,All,GroupCleaning,Ftr,All,27,0,6,12,78,EventNone,0,1,0,,,,,N_GroupCleaning_Ftr_0,
EventNone,PermanentObj,All,None,Ftr,All,25,0,4,12,81,EventNone,1,1,0,AllowNpcGroupActivity,AllowNpcInterestActivity,,,P_EventNone_Ftr_11,
Easter,CalendarEvent,All,None,NPC,All,0,0,16,14,82,Easter,0,1,0,,,,pyn,E_Easter_NPC_0,
EventNone,VisitorNpc,All,None,EventObj,All,0,17,16,11,83,EventNone,0,1,0,EventObjFlag0,,,,V_slo_EventObj_0,slo
Easter,CalendarEvent,All,None,Ftr,All,30,0,17,12,85,Easter,0,1,0,,,,,E_Easter_Ftr_0,
EventNone,PermanentObj,All,None,Ftr,All,31,0,10,12,86,EventNone,0,0,0,,IsDreamingBed,,,P_EventNone_Ftr_12,
EventNone,PermanentObj,All,None,NPC,All,0,0,8,10,92,EventNone,0,0,0,,IsDreamingBed,,tap,P_EventNone_Npc_0,
Fireworks,CalendarEvent,All,None,EventObj,All,0,18,16,8,94,Fireworks,0,1,0,BuiltTownOffice,,,,E_Fireworks_EventObj_0,
Fireworks,CalendarEvent,All,None,NPC,All,0,0,15,12,95,Fireworks,0,1,0,BuiltTownOffice,,,fox,E_Fireworks_NPC_1,
EventNone,PermanentObj,All,None,Ftr,All,32,0,14,12,97,EventNone,0,0,0,,IsDreamingBed,,,P_EventNone_Ftr_13,
Fireworks,CalendarEvent,All,None,Ftr,All,25,0,4,14,98,Fireworks,0,1,0,BuiltTownOffice,,,,E_Fireworks_Ftr_0,
EventNone,PermanentObj,All,None,EventObj,All,0,19,3,12,99,EventNone,0,0,0,,DreamUploadPlayerHaveCreaterID,,,P_EventNone_EventObj_5,
Halloween,CalendarEvent,All,None,NPC,All,0,0,16,14,100,Halloween,0,1,0,,,,pkn,E_Halloween_NPC_0,
Halloween,CalendarEvent,All,None,EventObj,Office,0,20,6,2,101,Halloween,0,1,0,,,,,E_Halloween_EventObj_0,
Fireworks,CalendarEvent,All,None,Ftr,All,33,0,20,7,102,Fireworks,0,1,0,BuiltTownOffice,,,,E_Fireworks_Ftr_1,
Fireworks,CalendarEvent,All,None,NPC,All,0,0,15,11,103,Fireworks,0,1,0,,BuiltTownOffice,,fox,E_Fireworks_NPC_2,
Fireworks,CalendarEvent,All,None,EventObj,All,0,18,16,7,104,Fireworks,0,1,0,,BuiltTownOffice,,,E_Fireworks_EventObj_1,
Fireworks,CalendarEvent,All,None,Ftr,All,33,0,20,7,105,Fireworks,0,1,0,,BuiltTownOffice,,,E_Fireworks_Ftr_2,
Fireworks,CalendarEvent,All,None,Ftr,All,25,0,3,14,107,Fireworks,0,1,0,,BuiltTownOffice,,,E_Fireworks_Ftr_3,
EventNone,NpcGroupActivity,All,GroupPlayFirework,Ftr,All,34,0,4,14,108,EventNone,0,1,0,,,,,N_GroupPlayFirework_Ftr_0,
EventNone,PermanentObj,All,None,Ftr,Office,36,0,7,6,113,EventNone,0,1,0,,IsHalloweenLessThanThreeDays,CalendarEventStop,,P_EventNone_Ftr_14,
EventNone,PermanentObj,All,None,Ftr,Office,36,0,15,6,114,EventNone,0,1,0,EventObjFlag1,IsHalloweenLessThanThreeDays,CalendarEventStop,,P_EventNone_Ftr_15,
EventNone,PermanentObj,All,None,Ftr,Tent,36,0,13,4,115,EventNone,0,1,0,,IsHalloweenLessThanThreeDays,CalendarEventStop,,P_EventNone_Ftr_16,
EventNone,VisitorNpc,All,None,EventObj,All,0,24,16,11,117,EventNone,0,1,0,,EventObjFlag0,,,V_slo_EventObj_1,slo
HarvestFestival,CalendarEvent,All,None,NPC,All,0,0,18,12,123,HarvestFestival,0,1,0,,BuiltTownOffice,,tuk,E_HarvestFestival_NPC_1,
HarvestFestival,CalendarEvent,North,None,Ftr,All,38,0,16,14,125,HarvestFestival,0,1,0,,BuiltTownOffice,,,E_HarvestFestival_Ftr_5,
HarvestFestival,CalendarEvent,North,None,EventObj,Office,0,22,6,2,126,HarvestFestival,0,1,1,,,,,E_HarvestFestival_EventObj_0,
XmasEve,CalendarEvent,All,None,NPC,All,0,0,16,14,130,XmasEve,0,1,0,,,,rei,E_XmasEve_NPC_0,
HarvestFestival,CalendarEvent,North,None,Ftr,All,40,0,5,12,131,HarvestFestival,0,1,0,,BuiltTownOffice,,,E_HarvestFestival_Ftr_2,
HarvestFestival,CalendarEvent,North,None,Ftr,All,40,0,9,12,132,HarvestFestival,0,1,0,,BuiltTownOffice,,,E_HarvestFestival_Ftr_3,
HarvestFestival,CalendarEvent,South,None,Ftr,All,41,0,16,14,133,HarvestFestival,0,1,0,,BuiltTownOffice,,,E_HarvestFestival_Ftr_6,
HarvestFestival,CalendarEvent,South,None,Ftr,All,43,0,5,12,134,HarvestFestival,0,1,0,,BuiltTownOffice,,,E_HarvestFestival_Ftr_7,
HarvestFestival,CalendarEvent,South,None,Ftr,All,43,0,9,12,135,HarvestFestival,0,1,0,,BuiltTownOffice,,,E_HarvestFestival_Ftr_8,
HarvestFestival,CalendarEvent,South,None,EventObj,Office,0,23,6,2,136,HarvestFestival,0,1,1,,,,,E_HarvestFestival_EventObj_1,
XmasReady2,CalendarEvent,All,None,Ftr,All,44,0,6,6,138,XmasReady2,0,1,0,,BuiltTownOffice,,,E_XmasReady2_Ftr_17,
XmasEve,CalendarEvent,All,None,Ftr,All,44,0,6,6,139,XmasEve,0,1,0,,BuiltTownOffice,,,E_XmasEve_Ftr_18,
XmasReady1,CalendarEvent,All,None,EventObj,Office,0,26,6,2,140,XmasReady1,0,1,0,,BuiltTownOffice,,,E_XmasReady1_EventObj_0,
XmasReady2,CalendarEvent,All,None,EventObj,Office,0,26,6,2,141,XmasReady2,0,1,0,,BuiltTownOffice,,,E_XmasReady2_EventObj_1,
XmasEve,CalendarEvent,All,None,EventObj,Office,0,25,6,2,142,XmasEve,0,1,0,,BuiltTownOffice,,,E_XmasEve_EventObj_2,
Carnival,CalendarEvent,All,None,NPC,All,0,0,16,13,143,Carnival,0,1,0,,,,pck,E_Carnival_NPC_0,
HarvestFestival,CalendarEvent,All,None,EventObj,All,0,27,16,14,145,HarvestFestival,0,1,0,,BuiltTownOffice,,,E_HarvestFestival_EventObj_2,
XmasAfter,CalendarEvent,All,None,EventObj,All,0,25,6,2,147,XmasAfter,0,1,0,,BuiltTownOffice,,,E_XmasAfter_EventObj_4,
XmasAfter,CalendarEvent,All,None,Ftr,All,44,0,6,6,149,XmasAfter,0,1,0,,BuiltTownOffice,,,E_XmasAfter_Ftr_19,
Carnival,CalendarEvent,All,None,EventObj,Office,0,28,14,10,150,Carnival,0,1,0,,BuiltTownOffice,,,E_Carnival_EventObj_0,
7DB62C49,CalendarEvent,All,None,EventObj,Office,0,29,6,2,151,CarnivalReady,0,1,0,,BuiltTownOffice,,,E_CarnivalReady_EventObj_0,
Carnival,CalendarEvent,All,None,EventObj,Office,0,29,6,2,152,Carnival,0,1,0,,BuiltTownOffice,,,E_Carnival_EventObj_1,
