UniqueID,WatchItem,WatchPointID,BalloonTalkKey,BalloonTalkLabelKey,ReactionTalkKey,ReactionTalkLabelKey
83,-2,81,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
84,-2,82,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
86,206,51,BLN_Spot_Museum,3131,BO_React_Watching_Fossil,333030
89,3484,85,BLN_Spot_Museum,3730,BO_React_Watching_Insect,363030
90,620,86,BLN_Spot_Museum,3730,BO_React_Watching_Insect,303130
91,627,87,BLN_Spot_Museum,3730,BO_React_Watching_Insect,313130
92,-2,88,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
93,2282,89,BLN_Spot_Museum,3330,BO_React_Watching_Fish,323130
94,2282,90,BLN_Spot_Museum,3330,BO_React_Watching_Fish,323130
95,2280,91,BLN_Spot_Museum,3530,BO_React_Watching_Fish,373130
96,2278,92,BLN_Spot_Museum,3330,BO_React_Watching_Fish,313130
97,2253,3,BLN_Spot_Museum,3330,BO_React_Watching_Fish,393030
98,603,93,BLN_Spot_Museum,3031,BO_React_Watching_Insect,373130
99,2249,94,BLN_Spot_Museum,3530,BO_React_Watching_Fish,363130
100,2250,95,BLN_Spot_Museum,3430,BO_React_Watching_Fish,333130
101,2857,96,BLN_Spot_Museum,3333,BO_React_Watching_DFish,313030
102,7228,97,BLN_Spot_Museum,3433,BO_React_Watching_DFish,323030
103,2849,98,BLN_Spot_Museum,3333,BO_React_Watching_DFish,333030
104,7214,99,BLN_Spot_Museum,3133,BO_React_Watching_DFish,343030
105,7252,100,BLN_Spot_Museum,3033,BO_React_Watching_DFish,353030
106,2852,101,BLN_Spot_Museum,3233,BO_React_Watching_DFish,363030
107,7245,102,BLN_Spot_Museum,3033,BO_React_Watching_DFish,373030
108,2856,103,BLN_Spot_Museum,3433,BO_React_Watching_DFish,383030
109,2853,104,BLN_Spot_Museum,3133,BO_React_Watching_DFish,393030
110,2858,105,BLN_Spot_Museum,3233,BO_React_Watching_DFish,303130
111,12535,106,BLN_Spot_Museum,3032,BO_React_Watching_Art,313030
112,1345,107,BLN_Spot_Museum,3132,BO_React_Watching_Art,323030
113,1333,108,BLN_Spot_Museum,3232,BO_React_Watching_Art,333030
114,18,109,BLN_Spot_Museum,3332,BO_React_Watching_Art,343030
115,32,110,BLN_Spot_Museum,3632,BO_React_Watching_Art,353030
116,56,111,BLN_Spot_Museum,3732,BO_React_Watching_Art,363030
117,72,112,BLN_Spot_Museum,3732,BO_React_Watching_Art,373030
118,68,113,BLN_Spot_Museum,3732,BO_React_Watching_Art,383030
119,12621,114,BLN_Spot_Museum,3332,BO_React_Watching_Art,393030
120,12625,115,BLN_Spot_Museum,3432,BO_React_Watching_Art,303130
121,78,116,BLN_Spot_Museum,3632,BO_React_Watching_Art,313130
122,12618,117,BLN_Spot_Museum,3532,BO_React_Watching_Art,323130
123,38,118,BLN_Spot_Museum,3532,BO_React_Watching_Art,333130
124,12539,119,BLN_Spot_Museum,3132,BO_React_Watching_Art,343130
125,1337,120,BLN_Spot_Museum,3032,BO_React_Watching_Art,353130
126,12541,121,BLN_Spot_Museum,3132,BO_React_Watching_Art,363130
