fdb1f290.HashRef,DefaultValue,FlagsFlowAccess,FlagsNetAccess,MaxValue,UniqueID,Key,Name,SendPlayReport,SyncNoCheck
None,0,EnableReadWrite,HetHostOnly,1,19,VillageExtensionLevel2,村の拡張段階2,1,0
None,0,EnableReadWrite,ReadOnly,1,20,RcmGotSignboard,まめきちが看板を手に入れた,1,0
None,0,EnableReadOnly,ReadOnly,1,21,InstalledMarketTentSign,まめきちテントの看板が設置された,1,0
None,0,EnableReadWrite,ReadOnly,1,22,SandBankDisable,中州判定が無効になったか？,1,0
None,0,EnableReadOnly,ReadOnly,1,23,MarketRemodelingFlag1,まめきちの店|テント→商店（小）改装決定,1,0
Pre,0,EnableReadOnly,ReadOnly,1,24,MarketOpen1stDay1,まめきちの店|新装開店当日(商店),1,0
None,0,EnableReadWrite,HetHostOnly,9,25,SpotPrologueTimes,序盤会話を呼んだ回数,1,0
None,0,EnableReadWrite,ReadOnly,20000,26,PlazaDonationMoney,イベント広場寄付金額,1,0
None,0,EnableReadOnly,ReadOnly,20,27,PlazaDonationMaterial,イベント広場寄付素材数(ねんど),1,0
None,0,EnableReadWrite,ReadOnly,1,28,PlazaDonationFinish,イベント広場募金集まったか？,1,0
None,0,EnableReadOnly,ReadOnly,1,29,EventPlazaBuilt,イベント広場完成,1,0
None,0,EnableReadWrite,ReadOnly,1,30,SzaGotGyroid,しずえがハニワくん入手した,1,0
None,0,EnableReadOnly,ReadOnly,1,31,PlazaGyroidBuilt,イベント広場募金ハニワくん設置,1,0
None,0,EnableReadWrite,SpNpcOnly,1,32,MuseumGrowupEnable1,博物館成長条件1達成,1,0
None,0,EnableReadWrite,ReadOnly,5,33,MuseumConstruction1,博物館テント→工事中,1,0
None,0,EnableReadOnly,ReadOnly,1,34,Museum2Built,博物館①完成,1,0
Pre,0,EnableReadOnly,ReadOnly,1,35,Museum2BuiltToday,博物館（建物）①完成当日か？,1,0
None,0,DisableAccess,ManualSend,5000,36,InsectNetHostCatchNumResult,通信開始時にネットホストのプレイヤーが今まで捕まえたムシの数,1,0
None,0,EnableReadOnly,ReadOnly,1,37,GlobalEventAvailable,グローバルイベント解禁,1,0
None,0,EnableReadOnly,ReadOnly,1,38,InsectFesFinished,島で2回目以降のムシとり大会？（ムシとり大会の日をまたいだ？）,1,0
None,0,EnableReadOnly,ReadOnly,1,39,MarketRemodelingFlag2,まめきちの店|商店（小）→倉庫　改装決定,1,0
Pre,0,EnableReadOnly,ReadOnly,1,40,MarketOpen1stDay2,まめきちの店|新装開店当日(倉庫),1,0
None,0,EnableReadWrite,ReadOnly,6,41,RcoMoveReservedKind,たぬきち|建物移設の予約種類判別カウンタ,1,0
None,0,EnableReadWrite,ReadOnly,1,42,QuestReserveStart,クエスト予約解禁,1,0
None,0,EnableReadOnly,ReadOnly,65535,43,VillageDaysCount,村の経過日数,1,0
None,0,EnableReadWrite,ReadOnly,1,44,PeddlingAvailableSlo,行商解禁済|レイジ,1,0
None,0,DisableAccess,ReadOnly,1,45,MarketBuilt,まめつぶ商店が建った,1,0
None,0,EnableReadWrite,ReadOnly,1,46,PeddingAvailableBoa,カブ解禁済｜カブリバ,1,0
None,0,EnableReadOnly,ReadOnly,1,47,MarketConstruction1,まめきちの店|テント→商店（小）工事中,1,0
None,0,EnableReadOnly,ReadOnly,1,48,MarketConstruction2,まめきちの店||商店（小）→倉庫　工事中,1,0
None,0,EnableReadWrite,SpNpcOnly,1,49,FirstKabuBuy,島の誰かがカブを買ったことがある,1,0
None,0,DisableAccess,ReadOnly,1,50,FirstKabuPattern,初回カブ価パターン適用済みフラグ,1,0
Pre,4,EnableReadWrite,SpNpcOnly,4,51,FoxArtStockCount,つねきち|美術品の在庫,1,0
Pre,0,EnableReadOnly,ReadOnly,1,52,EventPlazaBuiltToday,イベント広場完成当日,1,0
None,0,EnableReadWrite,ReadOnly,8,53,CountNnpcHouseSpaceSet,建築予定地を確保し終えた数,1,0
None,0,EnableReadWrite,ReadOnly,1,54,GlobalEventReady,グローバルイベント準備中,1,0
None,0,DisableAccess,ReadOnly,6,55,BirthdayBbsVariation1,誕生日の告知を掲示板に前回書き込んだときのバリエーション1人用,1,0
None,0,EnableReadWrite,ReadOnly,1,58,EnableBuildTownOffice,役場建設条件が揃った,1,0
None,0,EnableReadOnly,ReadOnly,1,59,BuiltTownOffice,案内所完成,1,0
Pre,0,EnableReadOnly,ReadOnly,1,60,BuiltTownOfficeToday,案内所完成当日,1,0
None,0,EnableReadWrite,ReadOnly,1,61,StartBuildingTownOffice,役場建設＆村長誘致開始可能,1,0
None,0,EnableReadWrite,ReadOnly,1111,62,SzaDonatedItemType,役場建設用のアイテム寄贈状況(種類判別用),1,0
None,0,EnableReadWrite,ReadOnly,4,63,SzaDonatedItemCount,役場建設用のアイテム寄贈状況(個数判別用),1,0
None,0,EnableReadOnly,ReadOnly,1,65,IsNpcIncreased,NPCが1人でも引越してきたか？,1,0
None,0,EnableReadOnly,ReadOnly,1,66,MuseumBuilt,博物館テントが建った,1,0
None,0,EnableReadOnly,ReadOnly,1,67,TailorBuilt,仕立て屋|仕立て屋が建った,1,0
None,0,EnableReadWrite,ReadOnly,2,68,IslandKanaType,『島』のルビ,1,0
None,0,DisableAccess,ReadOnly,65535,69,TodayGlobalEventId,今日行われるグローバルイベントのID,1,0
None,0,DisableAccess,ReadOnly,65535,70,TodayRegionEventId,今日行われるリージョンイベントのID,1,0
None,0,EnableReadOnly,ReadOnly,1,71,NoncompliantRegionCode,非対応の地域設定でセーブしたか？,1,0
None,0,EnableReadWrite,ReadOnly,1,72,GstTalkAnyone,ゆうたろう|ゆうたろうと誰か話したことある？,1,0
None,0,EnableReadWrite,ReadOnly,1,73,OwlFoundFossil,フータに化石を見せたことがある,1,0
None,0,EnableReadWrite,ReadOnly,1,74,MarketSellRecipeScoopStick,お店|ショボいスコップ、たかとびぼうレシピの店売りを解禁する,1,0
None,0,EnableReadOnly,ReadOnly,1,75,TailorConstruction1,仕立て屋|予定地→工事中,1,0
None,0,EnableReadOnly,ReadOnly,1,76,FishFesFinished,島で2回目以降のつり大会？（つり大会の日をまたいだ？）,1,0
None,0,EnableReadWrite,ReadOnly,1,77,HghStayMarket,きぬよ|商店に来訪中,1,0
None,0,EnableReadWrite,ReadOnly,1,78,EnableHghStayField,きぬよ|来訪NPCに選んでよいか？,1,0
None,0,EnableReadWrite,ReadOnly,1,79,EnableTailorBuild,仕立て屋|建築条件を満たした,1,0
None,0,EnableReadWrite,ReadOnly,1,80,TailorReserved,仕立て屋|工事看板(予定地)が建った,1,0
None,0,EnableReadWrite,ReadOnly,1,81,TailorGetHousingkit,仕立て屋|工事看板を受け取った,1,0
None,0,EnableReadWrite,ReadOnly,1,82,ReportedTaiorReserve,仕立て屋|工事看板(予定地)建てたこと報告済み,1,0
None,0,EnableReadWrite,SpNpcOnly,99,83,CountTailorBuild,仕立て屋|建築条件に関わるカウンタ,1,0
None,0,EnableReadWrite,ReadOnly,10,84,NNpcPhoneColorChangeCounter,一般NPC|スマホ柄が汎用布地に変わるカウンタ,1,0
None,0,EnableReadWrite,ReadOnly,1,85,RcoEnableBuyHousingKit,たぬきち|売り土地を探すの選択肢解禁,1,0
None,0,EnableReadWrite,HetHostOnly,99,86,OpeningSeqBGMChangeCounter,序盤シーケンス|BGM切替カウンタ,1,0
Pre,0,EnableReadWrite,SpNpcOnly,1,96,JohnnySitUpFlag,ジョニー|起きたかフラグ(海賊ジョニーでも使用),1,0
None,0,DisableAccess,ReadOnly,1,98,AllowNpcInterestActivity,NPCの認識行動が許可されたか,1,0
None,0,EnableReadWrite,ReadOnly,1,103,RcoBuildCampsiteOngoing,たぬきち|キャンプ場設置の依頼を島の誰かが引き受けた,1,0
None,0,EnableReadWrite,ReadOnly,1,104,RcoBuildCampsiteComplete,たぬきち|キャンプ場設置の依頼で、誰かが予定地を建てた,1,0
None,0,EnableReadWrite,ReadOnly,1,106,RcoMeetFirstVisitorRequest,たぬきち|1人目の客に会う依頼をしてくるようになる,1,0
None,0,EnableReadWrite,ReadOnly,1,107,RcoMeetFirstVisitorOngoing,たぬきち|1人目の客に会う依頼を島の誰かが引き受けた,1,0
None,0,EnableReadWrite,ReadOnly,1,108,RcoMeetFirstVisitorComplete,たぬきち|1人目のキャンプ客の移住希望の話を、島の誰かが聞いた,1,0
None,0,EnableReadWrite,ReadOnly,1,109,RcoBuildFirstVisitorsHousingKitOngoing,たぬきち|1人目の客のハウジングキットの設置依頼を、島の誰かが受けた,1,0
None,0,EnableReadWrite,ReadOnly,1,110,RcoBuildFirstVisitorsHousingKitComplete,たぬきち|1人目の客のハウジングキットを、島の誰かが設置した,1,0
None,15,EnableReadWrite,SpNpcOnly,15,114,DonationAmountForMuseum,博物館建設のために必要な寄贈の残り数,1,0
None,0,EnableReadOnly,ReadOnly,1,115,OfficeConstruction1,役場|工事中→役場,1,0
None,0,EnableReadWrite,SpNpcOnly,1,116,JohnnyTalkAnyPlayerFlag,ジョニー|村の誰か話しかけたか(海賊ジョニー不使用),1,0
Pre,0,DisableAccess,ReadOnly,1,118,TkkReturn,とたけけ|帰ったか？,1,0
None,0,EnableReadWrite,HetHostOnly,1,119,FlightBalloonEnable,空飛ぶ風船|発生してよいか？,1,0
None,0,EnableReadWrite,ReadOnly,1,120,ConfirmedFruit,フルーツの品種が特定された,1,0
Pre,0,DisableAccess,ReadOnly,1,121,RctInTent,つぶきち|たぬきちテントに帰る,1,0
Pre,0,DisableAccess,ReadOnly,1,122,GstAppearField,ゆうたろう|村に出現する,1,0
Pre,0,EnableReadOnly,ReadOnly,1,123,MuseumTentBuiltToday,博物館テントオープン当日か？,1,0
Pre,0,EnableReadOnly,ReadOnly,1,124,TailorBuiltToday,仕立て屋オープン当日か？,1,0
None,0,EnableReadWrite,ReadOnly,1,125,VillageExtensionLevel3,村の拡張段階3,1,0
None,0,EnableReadWrite,SpNpcOnly,4,126,RcoBuildBridgeSlopeStatusCounter,たぬきち|橋/坂建設工事に関するカウンタ,1,0
None,0,EnableReadWrite,ReadOnly,2,127,RcoMoveReservedAnyone,たぬきち|建物の移設予約カウンタ,1,0
None,0,DisableAccess,ReadOnly,1,128,HgcVisitFlagForTailor,仕立て屋商品けってい用ことの来訪フラグ,1,0
Pre,0,EnableReadWrite,ReadOnly,1,131,RcoDeleteBridgeSlopeReservedAnyone,たぬきち|誰かが橋/坂の撤去を予約してる,1,0
None,0,EnableReadWrite,ReadOnly,1,133,RcoBuildBridgeSlopeSelector,たぬきち|現在の建設対象が橋/坂どちらか？0橋1坂,1,0
None,0,EnableReadWrite,ReadOnly,1,134,RcoIslandRevitilizationRefuse,たぬきち|島おこし系クエスト断った,1,0
None,0,EnableReadWrite,HetHostOnly,1,135,MessageBottleAvailable,メッセージボトル漂着が解禁,1,0
None,0,EnableReadWrite,ReadOnly,1,136,ImmQ_A_GetHousing,移住Quest|住宅A|ハウジングキットもらった,1,0
None,0,EnableReadWrite,ReadOnly,1,137,ImmQ_B_GetHousing,移住Quest|住宅B|ハウジングキットもらった,1,0
None,0,EnableReadWrite,ReadOnly,1,138,ImmQ_C_GetHousing,移住Quest|住宅C|ハウジングキットもらった,1,0
None,0,EnableReadWrite,ReadOnly,1,139,ImmQ_A_SetHousing,移住Quest|住宅A|ハウジングキット設置した,1,0
None,0,EnableReadWrite,ReadOnly,1,140,ImmQ_B_SetHousing,移住Quest|住宅B|ハウジングキット設置した,1,0
None,0,EnableReadWrite,ReadOnly,1,141,ImmQ_C_SetHousing,移住Quest|住宅C|ハウジングキット設置した,1,0
None,0,EnableReadWrite,ReadOnly,1,142,ImmQ_A_Interior1Donate,移住Quest|住宅A|屋内家具１寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,143,ImmQ_B_Interior1Donate,移住Quest|住宅B|屋内家具１寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,144,ImmQ_C_Interior1Donate,移住Quest|住宅C|屋内家具１寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,145,ImmQ_A_Interior2Donate,移住Quest|住宅A|屋内家具２寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,146,ImmQ_B_Interior2Donate,移住Quest|住宅B|屋内家具２寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,147,ImmQ_C_Interior2Donate,移住Quest|住宅C|屋内家具２寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,148,ImmQ_A_Interior3Donate,移住Quest|住宅A|屋内家具３寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,149,ImmQ_B_Interior3Donate,移住Quest|住宅B|屋内家具３寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,150,ImmQ_C_Interior3Donate,移住Quest|住宅C|屋内家具３寄贈,1,0
None,0,EnableReadWrite,ReadOnly,1,151,ImmQ_A_Outdoor1Set,移住Quest|住宅A|外置き家具１配置,1,0
None,0,EnableReadWrite,ReadOnly,1,152,ImmQ_B_Outdoor1Set,移住Quest|住宅B|外置き家具１配置,1,0
None,0,EnableReadWrite,ReadOnly,1,153,ImmQ_C_Outdoor1Set,移住Quest|住宅C|外置き家具１配置,1,0
None,0,EnableReadWrite,ReadOnly,1,154,ImmQ_A_Outdoor2Set,移住Quest|住宅A|外置き家具２配置,1,0
None,0,EnableReadWrite,ReadOnly,1,155,ImmQ_B_Outdoor2Set,移住Quest|住宅B|外置き家具２配置,1,0
None,0,EnableReadWrite,ReadOnly,1,156,ImmQ_C_Outdoor2Set,移住Quest|住宅C|外置き家具２配置,1,0
None,0,EnableReadWrite,ReadOnly,1,157,ImmQ_A_Outdoor3Set,移住Quest|住宅A|外置き家具３配置,1,0
None,0,EnableReadWrite,ReadOnly,1,158,ImmQ_B_Outdoor3Set,移住Quest|住宅B|外置き家具３配置,1,0
None,0,EnableReadWrite,ReadOnly,1,159,ImmQ_C_Outdoor3Set,移住Quest|住宅C|外置き家具３配置,1,0
None,0,EnableReadOnly,ReadOnly,1,160,ImmQ_A_Complete,移住Quest|住宅A|全工程完了,1,0
None,0,EnableReadOnly,ReadOnly,1,161,ImmQ_B_Complete,移住Quest|住宅B|全工程完了,1,0
None,0,EnableReadOnly,ReadOnly,1,162,ImmQ_C_Complete,移住Quest|住宅C|全工程完了,1,0
None,0,EnableReadWrite,ReadOnly,1,163,ImmQ_A_Invited,移住Quest|移住者A|勧誘した,1,0
None,0,EnableReadWrite,ReadOnly,1,164,ImmQ_B_Invited,移住Quest|移住者B|勧誘した,1,0
None,0,EnableReadWrite,ReadOnly,1,165,ImmQ_C_Invited,移住Quest|移住者C|勧誘した,1,0
None,0,EnableReadWrite,ReadOnly,1,166,RcmImmQuestOpen,たぬきち|移住Quest開始できる,1,0
None,0,EnableReadWrite,ReadOnly,1,167,RcmImmQuestRunning,たぬきち|移住Quest実施中,1,0
None,0,EnableReadWrite,ReadOnly,1,168,RcmImmQuestComplete,たぬきち|移住Quest完了,1,0
Pre,0,EnableReadWrite,ReadOnly,9,169,JohnnyRequirePartsNum,ジョニー|必要なパーツの個数(海賊ジョニー不使用),1,0
None,0,EnableReadWrite,ReadOnly,1,170,ImmQ_A_InteriorDonateNow,移住Quest|住宅A|屋内家具を今寄贈した,1,0
None,0,EnableReadWrite,ReadOnly,1,171,ImmQ_B_InteriorDonateNow,移住Quest|住宅B|屋内家具の今寄贈した,1,0
None,0,EnableReadWrite,ReadOnly,1,172,ImmQ_C_InteriorDonateNow,移住Quest|住宅C|屋内家具の今寄贈した,1,0
None,0,EnableReadWrite,ReadOnly,1,173,RcoRemoveBridgeSlopeSelector,たぬきち|現在の撤去対象が橋/坂どちらか？0橋1坂,1,0
Pre,0,DisableAccess,ReadOnly,288,174,CeremonySlopeUnitX,セレモニ|坂建設位置Ｘ,1,0
Pre,0,DisableAccess,ReadOnly,256,175,CeremonySlopeUnitZ,セレモニ|坂建設位置Z,1,0
None,0,EnableReadWrite,ReadOnly,1,176,RcoNoticeBuildInfomationOffice,たぬきち|案内所建物建築のお知らせ可能,1,0
None,0,EnableReadOnly,ReadOnly,1,177,CampSiteBuilt,キャンプ場が建った,1,0
None,0,EnableReadWrite,ReadOnly,1,178,RcoDeleteBridgeSlopeBuildPlayer,たぬきち|橋/坂予定地を建てたプレイヤーが削除された,1,0
None,0,DisableAccess,NoCheck,100,179,VisitorPrayStarToday,今日村に来たビジタが祈った回数,1,0
Pre,0,EnableReadWrite,ReadOnly,1,180,AmiiboCampSiteCall,今日amiiboを使ってキャンプ場にNPCを呼んだ,1,0
None,0,EnableReadWrite,ReadOnly,1,181,ImmQ_SetBridge,移住Quest|橋の予定地が配置された,1,0
Pre,0,EnableReadWrite,HetHostOnly,1,182,CampQuestInProgress,キャンプ家具クエスト進行中,1,0
Pre,0,EnableReadWrite,HetHostOnly,1,183,CampQuestClear,キャンプ家具クエストクリア済,1,0
None,0,EnableReadWrite,ReadOnly,1,185,SzaTaled1stTimeAnyPlayer,24時間BGMを案内所完成後用に切り替える,1,0
Pre,0,DisableAccess,ReadOnly,288,186,CeremonyBridgeUnitX,セレモニ|橋建設位置Ｘ,1,0
Pre,0,DisableAccess,ReadOnly,256,187,CeremonyBridgeUnitZ,セレモニ|橋建設位置Ｚ,1,0
Pre,0,EnableReadWrite,ReadOnly,1,188,CeremonyBuildCampSite,セレモニ|セレモニ開催できる：キャンプ場,1,0
Pre,0,EnableReadWrite,ReadOnly,1,189,CeremonyBuildTailor,セレモニ|廃止予定：置き換え可,1,0
Pre,0,EnableReadWrite,ReadOnly,1,190,CeremonyBuildBridge,セレモニ|セレモニ開催できる：橋,1,0
Pre,0,EnableReadWrite,ReadOnly,1,191,CeremonyBuildSlope,セレモニ|セレモニ開催できる：坂,1,0
None,0,EnableReadWrite,HetHostOnly,1,192,IslandDevQuestRunning,たぬきち|島の発展Quest実施中,1,0
None,0,EnableReadWrite,ReadOnly,1,193,IslandDevQuestComplete,たぬきち|島の発展Quest完了,1,0
None,0,EnableReadOnly,ReadOnly,10000,194,CountTailorAfterBuild,仕立て屋|オープンして何日目か,1,0
None,0,EnableReadOnly,ReadOnly,10000,195,CountMuseumAfterBuild,博物館|オープンして何日目か,1,0
None,0,EnableReadOnly,ReadOnly,10000,196,CountMarket1AfterBuild,まめきちの店|小がオープンして何日目か,1,0
None,0,EnableReadOnly,ReadOnly,10000,197,CountMarket2AfterBuild,まめきちの店|大がオープンして何日目か,1,0
None,0,EnableReadOnly,ReadOnly,10000,198,CountOfficeAfterBuild,案内所|オープンして何日目か,1,0
None,0,EnableReadOnly,ReadOnly,7,199,CountFirstBridgeAfterBuild,初めての橋に言及する会話を表示できる残り日数,1,0
None,0,EnableReadOnly,ReadOnly,7,200,CountFirstSlopeAfterBuild,初めての坂に言及する会話を表示できる残り日数,1,0
None,0,EnableReadWrite,ReadOnly,1,201,IslandEvaluationUnlock,しずえ|島の評価島全体で解禁,1,0
None,0,EnableReadWrite,ReadOnly,1,202,IslandEvaluationClearTkkLive,しずえ|島の評価がとたけけライブ発生基準をクリアした,1,0
None,0,EnableReadWrite,ReadOnly,10,203,HaveHousingKitCount,たぬきち|島の住人が所持ているハウジングキットの数,1,0
None,0,EnableReadWrite,ReadOnly,1,204,BridgeBuilt,橋を作ったことがある,1,0
None,0,EnableReadWrite,ReadOnly,1,205,SlopeBuilt,坂を作ったことがある,1,0
None,0,EnableReadOnly,ReadOnly,3,206,BeyRequireFishSize,来訪新うおまさ|クエスト対象のサカナサイズ,1,0
None,0,EnableReadWrite,ReadOnly,1,207,TanuportAmiiboUnlock,タヌポート|amiibo関連機能を解禁,1,0
Start,0,DisableAccess,ReadOnly,1,216,SpnVisitMainField,パニエル|メインフィールドに出現,1,0
None,0,EnableReadWrite,ReadOnly,1,217,ChangePlazaFtrToNormal,広場の序盤配置家具を撤去,1,0
None,0,EnableReadWrite,ReadOnly,1,218,SetPrologueBonfire,序盤シーケンス|イベント用キャンプファイア設置,1,0
None,0,EnableReadWrite,ReadOnly,1,219,ImmQ_A_OutdoorPattern,移住Quest|住宅A|外置き家具パターンがAかBか？,1,0
None,0,EnableReadWrite,ReadOnly,1,220,ImmQ_B_OutdoorPattern,移住Quest|住宅B|外置き家具パターンがAかBか？,1,0
None,0,EnableReadWrite,ReadOnly,1,221,ImmQ_C_OutdoorPattern,移住Quest|住宅C|外置き家具パターンがAかBか？,1,0
None,0,EnableReadWrite,ReadOnly,1,222,TkkFirstLiveReserved,とたけけ|初ライブ当日か？,1,0
None,0,DisableAccess,ReadOnly,2,223,BirthdayBbsVariation2,誕生日の告知を掲示板に前回書き込んだときのバリエーション2人用,1,0
None,0,DisableAccess,ReadOnly,1,224,AllowNpcGroupActivity,NPCの広場行動（集団）が許可されたか,1,0
None,0,EnableReadWrite,ReadOnly,1,225,TanuportAmiiboCampUnlock,タヌポート|amiiboキャンプ場呼び出しが解禁可,1,0
None,0,EnableReadWrite,ReadOnly,1,226,PickedUpMessageBottle,最初のメッセージボトルが拾われた,1,0
None,0,EnableReadWrite,ReadOnly,10,227,CountAppE_RepTalk,一般NPC島評判UP応援アプローチ発生(アイテムもらった)回数カウント,1,0
None,0,EnableReadWrite,ReadOnly,10,228,FlwLilyGrowCounter,スズラン|発生率決定カウンタ,1,0
None,0,EnableReadOnly,ReadOnly,1,229,FlwLilyFirstGrow,スズラン|島に発生したことがある？,1,0
None,0,EnableReadWrite,ReadOnly,1,230,CampFirstCamperVisit,キャンプ場|最初のキャンプ場客が滞在中か？,1,0
None,0,EnableReadWrite,SpNpcOnly,1,231,RcmShopMaterial_Wood,まめきち|木材提供済？,1,0
None,0,EnableReadWrite,SpNpcOnly,1,232,RcmShopMaterial_HardWood,まめきち|かたい木材提供済？,1,0
None,0,EnableReadWrite,SpNpcOnly,1,233,RcmShopMaterial_SoftWood,まめきち|やわらかい木材提供済？,1,0
None,0,EnableReadWrite,SpNpcOnly,1,234,RcmShopMaterial_Iron,まめきち|鉄鉱石提供済？,1,0
None,0,EnableReadWrite,SpNpcOnly,1,235,RcmShopMaterialComplete,まめきち|すべての資材が揃った,1,0
Pre,0,DisableAccess,ReadOnly,1,236,DailyQuestFivePointDay,日課の5倍ポイントデーか？,1,0
None,0,EnableReadWrite,ReadOnly,1,237,ReportFirstCamperAboutSetHousing,キャンプ場|最初のキャンプ場客に家の予定地セットの報告した,1,0
None,0,EnableReadWrite,ReadOnly,1,238,RcoRcmTalkingAboutStoreMaterial,たぬきち&まめきち|商店建設資材の相談会話(初回)発生した,1,0
None,0,EnableReadWrite,ReadOnly,1,239,PAnnounceRcoCalling,島内放送|放送中の入電イベント初回発生済,1,0
None,0,EnableReadWrite,ReadOnly,1,241,PAnnounceCeremony1st,島内放送|初めてセレモニーの告知した,1,0
Pre,0,EnableReadWrite,ReadOnly,1,242,PAnnounceCeremony1stToday,島内放送|初めてセレモニーの告知入った当日のみON,1,0
Pre,0,EnableReadWrite,ReadOnly,1,243,CampSiteBuiltToday,キャンプ場が建った当日,1,0
None,0,EnableReadOnly,ReadOnly,10000,244,CountCampSiteAfterBuild,キャンプ場|オープンして何日目か,1,0
None,0,EnableReadWrite,ReadOnly,1,245,IslandLocalFruitApple,島の特産フルーツがリンゴならON,1,0
None,0,EnableReadWrite,ReadOnly,1,246,IslandLocalFruitOrange,島の特産フルーツがオレンジならON,1,0
None,0,EnableReadWrite,ReadOnly,1,247,IslandLocalFruitPear,島の特産フルーツがナシならON,1,0
None,0,EnableReadWrite,ReadOnly,1,248,IslandLocalFruitPeach,島の特産フルーツがモモならON,1,0
None,0,EnableReadWrite,ReadOnly,1,249,IslandLocalFruitCherry,島の特産フルーツがサクランボならON,1,0
Pre,0,EnableReadWrite,SpNpcOnly,1,250,HghPeddlerPurchaceToday,きぬよ行商|今回の来訪で島の誰かが商品購入した？,1,0
None,0,EnableReadWrite,ReadOnly,1,251,PAnnounceKkProject,島内放送|とたけけプロジェクトの予告発生した？,1,0
Pre,0,EnableReadWrite,ReadOnly,1,252,TownNewsHeardEventStarted,島内放送|イベント開始済み村内放送を聞いた？,1,0
None,0,EnableReadWrite,ReadOnly,999,253,SzaIslandEvaluationBeforeLife,しずえ|島の環境：前回の「生活」ポイント,1,0
None,0,EnableReadWrite,ReadOnly,999,254,SzaIslandEvaluationBeforeNatural,しずえ|島の環境：前回の「自然」ポイント,1,0
None,0,DisableAccess,ManualSend,5000,255,FishNetHostCatchNumResult,通信開始時にネットホストのプレイヤーが今まで捕まえたサカナの数,1,0
None,0,EnableReadWrite,ReadOnly,10,256,SzaIslandEvaluationBeforeDevelopment,しずえ|島の環境：前回の「発展」要素,1,0
Pre,0,EnableReadWrite,ReadOnly,1,257,SzaIslandEvaluationTodayRankUpdate,しずえ|島の環境：今日のポイント更新したらON,1,0
Pre,0,EnableReadWrite,ReadOnly,1,258,SzaIslandEvaluationImprovementLifeToday,しずえ|島の環境：前回島内放送より「生活」ポイント向上,1,0
Pre,0,EnableReadWrite,ReadOnly,1,259,SzaIslandEvaluationImprovementNaturalToday,しずえ|島の環境：前回島内放送より「自然」ポイント向上,1,0
None,0,EnableReadWrite,ReadOnly,1,260,SzaIslandEvaluationImprovementDevelopToday,しずえ|島の環境：前回島内放送より発展要素が増えた,1,0
None,0,EnableReadWrite,ReadOnly,1,261,AppE_WelcomoMigrants_AN,AppE_WelcomoMigrants_AN発生した,1,0
None,0,EnableReadWrite,ReadOnly,1,262,AppE_WelcomoMigrants_HA,AppE_WelcomoMigrants_HA発生した,1,0
Pre,0,EnableReadWrite,ReadOnly,1,263,TkkFirstLiveSubPlayer,とたけけ|2人目以降のプレイヤーが初ライブを見られる？,1,0
None,0,EnableReadWrite,ReadOnly,1,264,PortableRadioControl,けいたいラジオ挙動制御用フラグ,0,0
