E0Parts,E1Parts,E2Parts,E3Parts,N0Parts,N1Parts,N2Parts,N3Parts,N4Parts,NEParts,NWParts,S0Parts,S1Parts,S2Parts,S3Parts,S4Parts,SEParts,SWParts,SeaType,TemplateKind,W0Parts,W1Parts,W2Parts,W3Parts,WindDirection,UniqueID,EnglishName
E_UpEnd_Entry,E_DownEnd,E_Stone,E_Beach,N_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,NE_Stone,NW_Stone,S_Beach,S_Airport_L,S_Airport_R,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Stone,W_River,W_Beach,W_Promontory,DNW_NNE,30,FldOutTemplateB04
E_Beach,E_UpEnd_Entry,E_DownEnd,E_Stone,N_Stone,N_Stone,N_Stone,N_Stone,N_Tsunekiti,NE_Stone,NW_Stone,S_Beach,S_Airport_L,S_Airport_R,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Beach,W_River,W_Stone,W_Promontory,DNW_NNE,31,FldOutTemplateB05
E_Beach,E_Stone,E_UpEnd_Entry,E_DownEnd,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_Airport_L,S_Airport_R,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Beach,W_River,W_Stone,W_Promontory,DNW_NNE,32,FldOutTemplateB06
E_Promontory,E_Beach,E_Stone,E_Beach,N_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,NE_Stone,NW_Stone,S_Beach,S_Airport_L,S_Airport_R,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Beach,W_River,W_Beach,W_Stone,DNW_NNE,33,FldOutTemplateB07
E_UpEnd_Entry,E_DownEnd,E_Beach,E_Stone,N_Stone,N_Stone,N_Stone,N_Stone,N_Tsunekiti,NE_Stone,NW_Stone,S_Beach,S_Airport_L,S_Airport_R,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Stone,W_River,W_Promontory,W_Beach,DNW_NNE,34,FldOutTemplateB08
E_Beach,E_UpEnd_Entry,E_DownEnd,E_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Airport_L,S_Airport_R,S_Beach,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Beach,W_River,W_Promontory,W_Stone,DNW_NNE,35,FldOutTemplateB09
E_Stone,E_Beach,E_UpEnd_Entry,E_DownEnd,N_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,NE_Stone,NW_Stone,S_Beach,S_Airport_L,S_Airport_R,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Beach,W_River,W_Promontory,W_Stone,DNW_NNE,36,FldOutTemplateB10
E_Beach,E_Promontory,E_Stone,E_Beach,N_Stone,N_Stone,N_Stone,N_Stone,N_Tsunekiti,NE_Stone,NW_Stone,S_Airport_L,S_Airport_R,S_Beach,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Stone,W_River,W_UpEnd_Entry,W_DownEnd,DNW_NNE,37,FldOutTemplateB11
E_Promontory,E_River,E_Beach,E_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Airport_L,S_Airport_R,S_Beach,SE_Beach,SW_Jetty,3B,3B_SE,W_UpEnd_Entry,W_DownEnd,W_Stone,W_Beach,DNE_NNW,38,FldOutTemplateC00
E_Promontory,E_River,E_Stone,E_Beach,N_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Airport_L,S_Airport_R,S_Beach,SE_Beach,SW_Jetty,3B,3B_SE,W_Beach,W_UpEnd_Entry,W_DownEnd,W_Stone,DNE_NNW,39,FldOutTemplateC01
E_Promontory,E_River,E_Beach,E_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Airport_L,S_Airport_R,S_Beach,SE_Beach,SW_Jetty,3B,3B_SE,W_Beach,W_Stone,W_UpEnd_Entry,W_DownEnd,DNE_NNW,40,FldOutTemplateC02
E_Beach,E_River,E_Beach,E_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Airport_L,S_Airport_R,S_Beach,SE_Beach,SW_Jetty,3B,3B_SE,W_Promontory,W_Stone,W_Beach,W_Beach,DNE_NNW,41,FldOutTemplateC03
E_Beach,E_River,E_Stone,E_Promontory,N_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Beach,S_Airport_L,S_Airport_R,SE_Beach,SW_Jetty,3B,3B_SE,W_UpEnd_Entry,W_DownEnd,W_Stone,W_Beach,DNE_NNW,42,FldOutTemplateC04
E_Stone,E_River,E_Beach,E_Promontory,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Beach,S_Airport_L,S_Airport_R,SE_Beach,SW_Jetty,3B,3B_SE,W_Beach,W_UpEnd_Entry,W_DownEnd,W_Stone,DNE_NNW,43,FldOutTemplateC05
E_Beach,E_River,E_Stone,E_Promontory,N_Tsunekiti,N_Stone,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Beach,S_Airport_L,S_Airport_R,SE_Beach,SW_Jetty,3B,3B_SE,W_Beach,W_Stone,W_UpEnd_Entry,W_DownEnd,DNE_NNW,44,FldOutTemplateC06
E_Beach,E_River,E_Stone,E_Beach,N_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Beach,S_Airport_L,S_Airport_R,SE_Beach,SW_Jetty,3B,3B_SE,W_Stone,W_Promontory,W_Beach,W_Beach,DNE_NNW,45,FldOutTemplateC07
E_Beach,E_River,E_Promontory,E_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Airport_L,S_Airport_R,S_Beach,SE_Beach,SW_Jetty,3B,3B_SE,W_UpEnd_Entry,W_DownEnd,W_Stone,W_Beach,DNE_NNW,46,FldOutTemplateC08
E_Stone,E_River,E_Promontory,E_Beach,N_Tsunekiti,N_Stone,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Beach,S_Airport_L,S_Airport_R,SE_Beach,SW_Jetty,3B,3B_SE,W_Beach,W_UpEnd_Entry,W_DownEnd,W_Beach,DNE_NNW,47,FldOutTemplateC09
E_Beach,E_River,E_Promontory,E_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Airport_L,S_Airport_R,S_Beach,SE_Beach,SW_Jetty,3B,3B_SE,W_Beach,W_Stone,W_UpEnd_Entry,W_DownEnd,DNE_NNW,48,FldOutTemplateC10
E_Stone,E_River,E_UpEnd_Entry,E_DownEnd,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Beach,S_River,S_Beach,S_Airport_L,S_Airport_R,SE_Beach,SW_Jetty,3B,3B_SE,W_Beach,W_Stone,W_Promontory,W_Beach,DNE_NNW,49,FldOutTemplateC11
