ArriveDist,ItemUniqueID,SatisfyMinute,BehaviorType,EquipRule,FlagType,GroupActivityPlacementType,HobbyEducationLevel,HobbyFashionLevel,HobbyFitnessLevel,HobbyMotif,HobbyMusicLevel,HobbyNatureLevel,HobbyPlayLevel,LifeMotif,LiveMotif,LookAtType,MoveASType,NetPlay,RainActive,RainEquipment,SeasonAutumnLevel,SeasonSpringLevel,SeasonSummerLevel,SeasonWinterLevel,SpotType,TimeZoneIndoorEarlyMorningLevel,TimeZoneIndoorEveningLevel,TimeZoneIndoorMidnightLevel,TimeZoneIndoorMorningLevel,TimeZoneIndoorNightLevel,TimeZoneIndoorNoonLevel,TimeZoneOutdoorEarlyMorningLevel,TimeZoneOutdoorEveningLevel,TimeZoneOutdoorMidnightLevel,TimeZoneOutdoorMorningLevel,TimeZoneOutdoorNightLevel,TimeZoneOutdoorNoonLevel,VillageDevelopmentLevel,WaitASType
-1,7401,15,8,,1,0,0,2,2,0,2,2,2,3,2,3,,1,1,1,1,1,1,1,,2,2,2,2,2,2,0,0,1,0,0,0,2,cNpcObservation
-1,-2,15,3,,1,0,0,0,0,0,0,0,0,3,2,7,,1,2,2,1,1,1,1,,0,0,0,0,0,0,2,2,2,2,2,2,2,cNpcBookSit
-1,-2,15,6,,0,0,2,2,2,2,2,2,2,3,0,0,,0,0,0,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,0,0,
-1,5974,15,11,,0,0,2,2,2,2,2,2,2,3,0,1,,1,1,1,1,1,1,1,,2,2,2,2,2,2,0,0,1,0,0,0,0,
-1,-2,15,13,cFishing,8,0,2,2,2,2,2,2,2,3,0,5,,1,1,1,1,1,1,1,,2,2,2,2,2,2,0,0,1,0,0,0,0,
-1,-2,15,12,cCatchingInsect,0,0,2,2,2,2,2,2,2,3,0,7,,1,1,1,1,1,1,1,,2,2,2,2,2,2,0,0,1,0,0,0,0,
-1,7126,15,5,,0,0,2,2,2,2,2,2,2,3,0,2,,1,1,1,1,1,1,1,,2,2,2,2,2,2,0,0,1,0,0,0,0,
-1,-2,15,16,,0,0,2,2,2,2,2,2,2,3,2,7,,1,2,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
-1,-2,15,25,,0,4,2,2,2,2,2,2,2,3,2,7,,1,2,2,1,1,0,1,,2,2,2,2,2,2,0,0,2,0,0,0,4,cNpcEating
-1,-2,15,4,,0,3,2,2,2,2,2,2,2,3,2,7,,1,2,2,1,1,1,0,,2,2,2,2,2,2,0,0,2,0,0,0,4,
-1,-2,15,17,,0,0,2,2,2,2,2,2,2,3,2,6,,1,2,1,0,0,0,0,,2,2,2,2,2,2,0,0,0,0,0,0,4,
-1,5480,15,2,cSports,0,1,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,0,0,0,,2,2,2,2,2,2,0,2,2,0,2,0,4,cNpcWorkout
-1,-2,15,34,cConcert,2,2,2,2,2,2,2,2,2,3,2,6,,1,2,2,0,0,0,0,,2,2,2,2,2,2,2,0,2,2,0,0,4,
-1,-2,15,25,,0,5,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,0,0,0,,2,2,2,2,2,2,0,0,0,0,0,0,1,cNpcSitAction
-1,-2,15,25,,0,5,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,0,0,0,,2,2,2,2,2,2,0,0,2,0,0,0,1,cNpcDrinking
-1,-2,15,2,cYoga,0,1,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,0,0,0,,2,2,2,2,2,2,0,2,2,0,2,0,4,cNpcYoga
-1,-2,15,2,cSports,0,1,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,0,0,0,,2,2,2,2,2,2,0,2,2,0,2,0,2,cNpcGymnastics
-1,7670,15,25,,0,4,2,2,2,2,2,2,2,3,2,7,,1,2,2,1,0,1,1,,2,2,2,2,2,2,0,0,2,0,0,0,4,cNpcDrinking
-1,8572,15,2,,0,3,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,1,1,1,,2,2,2,2,2,2,0,0,2,0,0,0,4,cNpcEating
-1,8573,15,25,,0,4,2,2,2,2,2,2,2,3,2,7,,1,2,2,1,1,1,0,,2,2,2,2,2,2,0,0,2,0,2,0,4,cNpcDrinking
-1,-2,15,4,cSunbathing,0,1,2,2,2,2,2,2,2,3,2,7,,1,2,2,1,1,0,1,,2,2,2,2,2,2,2,2,2,0,2,0,2,
-1,-2,15,34,cConcert,0,1,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,0,0,0,,2,2,2,2,2,2,2,0,2,2,0,0,2,
-1,4384,15,7,,0,0,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,1,1,1,,2,2,2,2,2,2,0,2,2,0,2,2,2,cNpcCleaning
-1,-2,15,9,,0,0,2,2,2,2,2,2,2,3,2,7,cAirplaneRun,1,2,2,0,0,0,0,,2,2,2,2,2,2,2,0,2,0,2,0,2,
-1,7863,15,9,,0,0,2,2,2,2,2,2,2,3,2,7,cAirplaneRun,1,2,2,1,0,1,1,,2,2,2,2,2,2,2,0,2,0,2,0,2,
-1,7862,15,9,,0,0,2,2,2,2,2,2,2,3,2,7,cAirplaneRun,1,2,2,1,1,0,1,,2,2,2,2,2,2,2,0,2,0,2,0,2,
-1,7864,15,9,,0,0,2,2,2,2,2,2,2,3,2,7,cAirplaneRun,1,2,2,0,1,1,1,,2,2,2,2,2,2,2,0,2,0,2,0,2,
-1,5741,15,9,,0,0,2,2,2,2,2,2,2,3,2,7,cAirplaneRun,1,2,2,1,1,1,0,,2,2,2,2,2,2,2,2,2,2,0,2,2,
-1,-2,15,18,,16,2,2,2,2,2,2,2,2,3,2,7,,1,2,2,0,1,0,1,,2,2,2,2,2,2,2,2,2,2,0,2,2,
