SilhouetteID,StageName,35ac2c17 string,1f3893e5 u32,2258ba55 f32,65f8c085 f32,WatchAngleY,WatchPosX,WatchPosY,WatchPosZ,UniqueID,BattlePoint,PointName,SilhouettePoint
16,IdrMuseumFossil_2,Always,0,-20,20,0,190,30,125,88,0,ブタ,1
0,IdrMuseumFish_1,Always,0,10,15,0,130,60,50,89,0,ジンベエザメ_1,0
0,IdrMuseumFish_1,Always,0,10,15,0,110,60,50,90,0,ジンベエザメ_2,0
0,IdrMuseumFish_1,Always,10,25,30,240,170,30,145,91,0,サメ_1,0
0,IdrMuseumFish_1,Always,-20,25,20,180,95,30,155,92,0,マンボウ_1,0
0,IdrMuseumInsect_0,Daytime,-14,-2,13,270,60,20,135,93,0,ホタル（昼）,0
0,IdrMuseumFish_2,Always,0,10,15,135,260,10,250,94,0,ピラニア,0
0,IdrMuseumFish_2,Always,0,15,25,135,230,10,220,95,0,アロワナ,0
0,IdrMuseumFish_2,Always,12,5,28,180,100,0,135,96,0,カブトガニ,0
0,IdrMuseumFish_0,Always,-9,12,40,180,135,-10,245,97,0,ホヤ,0
0,IdrMuseumFish_0,Always,-5,4,15,180,70,50,75,98,0,ロブスター,0
0,IdrMuseumFish_0,Always,-6,7,15,180,90,50,75,99,0,オオシャコガイ,0
0,IdrMuseumFish_0,Always,-10,5,15,180,160,50,75,100,0,メンダコ,0
0,IdrMuseumFish_0,Always,-4,13,15,180,200,14,145,101,0,タラバガニ,0
0,IdrMuseumFish_0,Always,0,-4,30,70,190,10,190,102,0,ミズクラゲ,0
0,IdrMuseumFish_1,Always,0,24,33,130,300,15,155,103,0,オウムガイ,0
0,IdrMuseumFish_1,Always,0,12,33,145,295,15,145,104,0,タカアシガニ,0
0,IdrMuseumFish_1,Always,0,5,22,165,265,15,120,105,0,ダイオウグソクムシ,0
0,IdrMuseumArt_0,Always,-2,13,12,165,25,0,250,106,0,ロゼッタストーン,0
0,IdrMuseumArt_0,Always,0,25,15,140,45,0,195,107,0,ニケ（こうごうしい）,0
0,IdrMuseumArt_0,Always,0,34,28,180,10,0,190,108,0,ダビデ（りりしい）,0
0,IdrMuseumArt_0,Always,0,16,17,180,40,10,130,109,0,モナリザ（ゆうめい）,0
0,IdrMuseumArt_0,Always,0,15,24,180,85,10,145,110,0,ビーナスの誕生（きれいな）,0
0,IdrMuseumArt_0,Always,-3,26,30,180,105,30,75,111,0,夜警（すごい）,0
0,IdrMuseumArt_0,Always,0,20,30,180,185,30,75,112,0,ラスメニーナス（おごそか）,0
0,IdrMuseumArt_0,Always,0,26,20,180,270,20,145,113,0,民衆を率いる自由の女神（かちある）,0
0,IdrMuseumArt_0,Always,-2,15,20,180,250,10,220,114,0,オフィーリア,0
0,IdrMuseumArt_0,Always,0,13,20,180,195,10,220,115,0,死の島,0
0,IdrMuseumArt_0,Always,0,13,25,180,165,10,225,116,0,日曜の午後（おだやか）,0
0,IdrMuseumArt_0,Always,0,12,12,180,140,10,215,117,0,星月夜,0
0,IdrMuseumArt_0,Always,0,9,15,180,225,10,270,118,0,神奈川沖浪裏（いきな）,0
0,IdrMuseumArt_0,Always,0,10,19,90,290,10,260,119,0,兵馬俑,0
0,IdrMuseumArt_0,Always,0,11,14,164,200,10,270,120,0,遮光器土偶（いにしえ）,0
0,IdrMuseumArt_0,Always,0,26,18,90,85,0,245,121,0,考える人,0
