AppearArea*,ItemID,ProbAprDaytime,ProbAprMorningAndEvening,ProbAprNight,ProbAugDaytime,ProbAugMorningAndEvening,ProbAugNight,ProbDecDaytime,ProbDecMorningAndEvening,ProbDecNight,ProbFebDaytime,ProbFebMorningAndEvening,ProbFebNight,ProbJanDaytime,ProbJanMorningAndEvening,ProbJanNight,ProbJulDaytime,ProbJulMorningAndEvening,ProbJulNight,ProbJunDaytime,ProbJunMorningAndEvening,ProbJunNight,ProbMarDaytime,ProbMarMorningAndEvening,ProbMarNight,ProbMayDaytime,ProbMayMorningAndEvening,ProbMayNight,ProbNovDaytime,ProbNovMorningAndEvening,ProbNovNight,ProbOctDaytime,ProbOctMorningAndEvening,ProbOctNight,ProbSepDaytime,ProbSepMorningAndEvening,ProbSepNight
North,2833,0,0,0,0,0,0,12,10,7,9,8,7,10,8,7,0,0,0,0,0,0,0,0,0,0,0,0,12,10,8,10,10,10,5,5,5
South,2833,10,10,10,9,8,7,0,0,0,0,0,0,0,0,0,10,8,7,12,10,7,5,5,5,12,10,8,0,0,0,0,0,0,0,0,0
North,7191,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,5,3,2,5,3,2,3,3,2
South,7191,5,3,2,0,0,0,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3,2,5,3,2,0,0,0,0,0,0,0,0,0
North,7228,4,6,3,4,4,4,0,0,0,0,0,0,0,0,0,4,4,2,4,4,4,0,0,0,4,6,3,0,0,0,0,0,0,0,0,0
South,7228,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,4,6,3,0,0,0
North,7252,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,1,2,2,1,1,2,1,1,2,1,1
South,7252,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,3,1,2,3,1,2,3,1,2
North,7278,8,8,6,3,3,3,3,4,3,8,8,6,4,5,4,5,7,5,7,7,4,8,8,6,7,7,6,3,3,3,3,3,3,3,3,1
South,7278,3,3,3,8,8,6,7,7,4,3,3,3,5,7,5,4,5,4,3,4,3,3,3,1,3,3,3,7,7,6,8,8,6,8,8,6
North,7318,0,0,0,0,0,0,1,1,3,1,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,3,0,0,0
South,7318,1,1,3,1,1,3,0,0,0,0,0,0,0,0,0,1,1,3,1,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
North,7411,0,0,0,6,5,4,5,5,3,0,0,0,0,0,0,6,5,4,6,5,5,0,0,0,0,0,0,5,5,3,8,8,3,8,8,3
South,7411,8,8,3,0,0,0,6,5,5,6,5,4,6,5,4,0,0,0,5,5,3,8,8,3,5,5,3,0,0,0,0,0,0,0,0,0
North,7308,5,3,3,0,0,0,3,3,3,4,3,3,4,3,3,0,0,0,0,0,0,4,3,3,5,3,3,3,3,3,0,0,0,0,0,0
South,7308,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,0,0,0,3,3,3,5,3,3,5,3,3,4,3,3
North,7303,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
South,7303,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
North,7267,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3
South,7267,0,0,0,0,0,0,0,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0
North,7214,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
South,7214,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
North,7203,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
South,7203,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
North,6920,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0
South,6920,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6
North,7245,0,0,0,12,8,12,0,0,0,0,0,0,0,0,0,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8
South,7245,0,0,0,0,0,0,0,0,0,12,8,12,10,7,10,0,0,0,0,0,0,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0
North,12968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South,12968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
