AnimeTypeBag,AnimeTypeBasket,AnimeTypeBloom,AnimeTypeBook,ec3a031 string64,AnimeTypeDrink,AnimeTypeFirewood,AnimeTypeFishingRod,AnimeTypeFood,AnimeTypeHandGlass,7faf59cb string64,AnimeTypeNet,AnimeTypeSitDown,AnimeTypeSmartPhone,a4a8a21b string64,AnimeTypeUmbrella,AnimeTypeWateringCan,Label
M,M,S,S,M,L,L,S,L,M,L,L,05,L,S,S,M,pgn
M,M,S,M,M,M,M,M,M,M,L,M,16,M,M,M,M,pig
M,M,M,M,M,M,M,M,S,L,M,M,14,M,M,M,M,rbt
M,M,S,S,M,M,L,M,L,L,L,M,25,M,L,L,M,rhn
M,M,S,S,M,L,S,M,L,M,L,M,08,M,M,M,M,shp
S,S,S,S,M,S,S,M,S,L,S,S,01,M,M,M,S,squ
M,M,M,M,M,M,L,M,L,L,L,M,26,M,L,M,M,tig
M,M,M,M,M,M,L,M,L,M,L,M,29,M,L,M,M,wol
M,M,M,M,M,M,M,M,M,M,L,M,,L,L,L,M,alp
M,M,M,M,M,M,M,M,M,M,L,M,,L,L,L,M,alw
S,S,S,S,L,L,M,M,S,M,L,M,,L,M,S,M,bev
M,M,S,S,L,L,M,M,S,M,L,M,,L,L,M,M,fsl
S,S,S,S,M,M,S,M,L,L,M,M,,S,M,S,M,boa
M,M,S,M,M,M,M,M,L,M,L,M,,L,M,L,M,bpt
M,M,M,S,L,M,M,M,L,L,L,S,,M,M,L,M,chm
M,M,M,S,M,L,M,M,L,M,L,M,,M,L,L,M,cml
M,M,S,M,M,M,M,M,M,M,L,M,,M,L,M,M,tkkA
S,S,M,M,M,M,M,M,M,M,L,M,,M,M,M,M,fox
M,M,M,M,M,M,M,M,L,M,L,M,,L,L,M,M,grf
S,S,M,M,M,M,S,M,S,M,L,M,,M,M,M,M,hgc
S,S,S,M,M,M,S,M,S,M,L,M,,M,M,M,M,hgh
S,S,S,M,M,M,S,M,S,M,L,M,,M,M,M,M,hgs
S,S,M,M,M,M,M,M,S,S,M,M,,S,M,M,M,kpg
S,S,M,M,M,M,M,M,S,S,M,M,,M,M,M,M,kpm
S,S,S,M,M,M,M,M,S,S,M,M,,M,M,L,M,kpp
S,S,M,M,M,M,M,M,S,S,M,M,,S,M,M,M,kps
M,M,M,S,M,M,M,M,L,L,L,M,,L,L,M,M,mob
M,M,S,S,L,L,M,M,S,L,L,M,,L,L,S,M,mol
M,M,S,S,M,M,M,M,L,M,L,M,,M,M,L,M,ott
M,M,S,S,L,M,M,M,S,M,L,M,,L,M,S,M,owl
M,M,S,S,L,M,M,M,S,M,L,M,,M,M,S,M,ows
M,M,S,M,M,M,M,M,M,M,L,M,,L,M,M,M,pck
S,S,S,S,L,M,M,M,M,M,M,M,,S,M,S,M,plk
S,S,S,S,L,M,M,M,M,M,M,M,,S,M,S,M,plm
M,M,S,S,M,L,L,M,S,M,L,M,,L,M,L,M,pge
M,M,M,M,M,M,M,M,L,M,L,M,,M,L,M,M,dga
S,S,S,S,L,M,M,M,M,M,M,M,,S,M,L,M,plo
S,S,S,S,M,L,M,M,S,M,L,M,,L,L,L,M,dgb
S,S,S,M,M,M,M,M,S,M,L,M,,M,M,L,M,poo
S,S,S,S,M,M,M,M,S,S,M,M,,M,L,M,M,rco
S,S,S,S,M,S,M,M,M,L,L,M,,S,M,M,M,gul
S,S,S,S,M,M,M,M,S,M,M,M,,M,M,S,M,seo
S,S,M,M,M,M,S,M,M,M,L,M,,M,M,S,M,skk
S,S,M,M,M,M,M,M,S,M,L,M,,L,M,M,M,sza
M,M,M,M,L,M,M,M,L,M,L,M,,L,M,M,M,ttlA
S,S,S,S,M,M,M,M,M,M,L,M,,M,M,S,M,tuk
S,S,M,M,M,M,M,M,S,M,L,M,,L,M,M,M,upa
M,M,M,M,M,M,M,M,M,M,L,M,,M,M,M,M,xct
S,S,S,M,M,M,M,M,S,S,M,M,,L,M,L,M,slo
M,M,M,M,M,M,M,M,M,M,L,M,,M,M,M,M,mka
M,S,S,S,M,M,M,M,S,M,L,M,,L,M,S,M,tap
S,S,M,M,M,S,M,M,S,L,M,M,,M,M,M,M,lom
S,S,M,M,M,M,M,M,M,M,L,M,,M,M,M,M,pyn
S,S,M,M,M,M,M,M,L,L,L,M,,M,L,L,M,rei
M,M,M,M,M,M,M,M,M,M,L,M,,L,M,M,M,szo
S,S,S,S,M,L,M,M,L,M,M,M,,M,L,L,M,wrl
S,S,S,S,L,S,S,S,S,S,M,M,,M,M,M,M,rct
S,S,S,S,L,S,S,S,S,S,M,M,,M,M,M,M,rcm
M,M,S,M,M,M,M,M,M,M,L,M,,M,M,M,M,cwa
M,M,M,M,M,M,M,M,L,L,L,M,,L,M,L,M,ttlB
M,M,S,S,L,L,S,S,S,M,L,M,,L,M,M,M,gstA
S,S,S,M,M,M,S,M,M,L,L,M,,L,M,M,M,otg
S,S,S,M,M,M,M,M,L,S,M,M,,L,M,M,S,pkn
S,S,M,M,M,M,M,M,L,M,L,M,,L,L,M,M,spn
S,S,S,M,M,M,M,,S,M,L,M,,M,M,L,M,bey
S,S,S,M,M,S,S,S,S,S,M,M,,M,M,M,M,boc
S,S,S,S,M,S,S,M,S,M,L,M,,M,L,S,M,dod
S,S,M,M,M,M,M,M,M,M,L,,,L,L,M,M,chy
M,M,S,S,L,M,Ｍ,M,L,M,L,M,,M,M,M,M,gstB
M,M,S,M,M,M,M,M,M,M,L,M,,M,L,M,M,tkkB
S,S,S,S,M,S,M,M,S,M,L,M,,M,L,S,M,doc
M,M,S,S,M,L,L,M,S,M,L,M,,L,L,L,M,man
S,S,S,M,M,S,S,S,S,S,M,M,,M,M,M,S,mnc
S,S,S,S,M,S,M,M,M,L,L,M,,S,M,M,M,gulB
S,S,S,M,M,M,S,M,M,L,L,M,,L,M,M,M,otgB
M,M,M,S,M,L,M,M,L,M,L,M,,M,L,L,M,cmlB
M,M,S,S,L,L,L,M,S,M,L,M,,L,M,S,M,pgeB
S,S,S,M,M,M,M,M,M,M,L,M,,M,M,L,M,pooB
S,S,S,S,M,S,M,M,S,M,L,M,,M,L,S,M,docB
