BackRotateOffsetX,BackRotateOffsetY,BackRotateOffsetZ,BackTransOffsetX,BackTransOffsetY,BackTransOffsetZ,FrontRotateOffsetX,FrontRotateOffsetY,FrontRotateOffsetZ,FrontTransOffsetX,FrontTransOffsetY,FrontTransOffsetZ,LeftRotateOffsetX,LeftRotateOffsetY,LeftRotateOffsetZ,LeftTransOffsetX,LeftTransOffsetY,LeftTransOffsetZ,PeakRotateOffsetX,PeakRotateOffsetY,PeakRotateOffsetZ,PeakTransOffsetX,PeakTransOffsetY,PeakTransOffsetZ,RightRotateOffsetX,RightRotateOffsetY,RightRotateOffsetZ,RightTransOffsetX,RightTransOffsetY,RightTransOffsetZ,TopRotateOffsetX,TopRotateOffsetY,TopRotateOffsetZ,TopTransOffsetX,TopTransOffsetY,TopTransOffsetZ,UniqueID,CapResName,InvisibleEarL,InvisibleEarR,Label,Name,ResName
-90,-90,-31.9,5.68,-2.29,0,-90,-90,0,6.2,0.8,0,227,170,88,5.25,-0.6,2.5,-90,-90,-12.7,6.2,-0.9,0,227,10,88,5.25,-0.6,-2.6,-90,-90,-12.2,5.86,-0.83,0,18,,0,0,HairStyle18,Hair18,PlayerHair18
-90,-90,-1.4,6.68,-1.25,0,-90,-90,0,6.2,1.43,0,245,215,88,5.75,0.9,2.33,-90,-90,-22.6,6.65,-2.3,0,245,-35,88,5.83,0.9,-2.38,-90,-90,4.32,6.7,0.08,0,19,PlayerHairCap19,0,0,HairStyle19,Hair19,PlayerHair19
-90,-90,-32,5.92,-2.45,0,-90,-90,0,6.2,0.93,0,220,150,88,5.5,-1.7,2.3,-90,-90,-17.6,6.45,-1.29,0,220,30,88,5.53,-1.8,-2.38,-90,-90,-2.8,6.3,-0.37,0,20,PlayerHairCap20,0,0,HairStyle20,Hair20,PlayerHair20
-90,-90,-32,5.7,-2.3,0,-90,-90,0,6.2,0.6,0,227,178,88,5.25,-0.45,2.5,-90,-90,-2.8,6.3,-0.3,0,227,2,88,5.3,-0.45,-2.6,-90,-90,-2.8,6,-0.3,0,21,,0,0,HairStyle21,Hair21,PlayerHair21
-90,-90,-21.5,6.2,-2.13,0,-90,-90,5,6.325,1.1,0,220,180,88,5.9,-0.4,2.4,-90,-90,-13,6.39,-1.82,0,230,0,88,5.5,-0.4,-2.85,-90,-90,-9.6,6.18,-1.13,0,22,,0,0,HairStyle22,Hair22,PlayerHair22
-90,-90,-26.8,6.5,-2.43,0,-90,-90,0,6.2,1.77,0,235,182,88,5.25,-0.45,3.1,-90,-90,-9.35,6.97,-0.98,0,235,-2,88,5.4,-0.45,-3.2,-90,-90,-13.6,6.67,-1.33,0,23,,0,0,HairStyle23,Hair23,PlayerHair23
-90,-90,-22,6.7,-2.5,0,-90,-90,0,6.2,1.42,0,240,188,88,5.25,-0.45,3.4,-90,-90,-15,6.88,-1.86,0,240,-10,88,5.3,-0.45,-3.55,-90,-90,-15,6.68,-1.74,0,24,PlayerHairCap24,0,0,HairStyle24,Hair24,PlayerHair24
-90,-90,-15.4,6.66,-2.64,0,-90,-90,0,6.17,0.82,0,224,180,88,6,-0.45,2.65,-90,-90,0,7,-0.73,0,224,0,88,6.1,-0.45,-2.62,-90,-90,4,6.87,0,0,25,PlayerHairCap25,0,0,HairStyle25,Hair25,PlayerHair25
-90,-90,-29.6,5.9,-2.42,0,-90,-90,0,6.2,-0.815,0,230,145,88,5.2,-1.7,2.5,-90,-90,-24.8,6.07,-2.05,0,230,35,88,5.25,-1.7,-2.55,-90,-90,-27.5,5.85,-1.67,0,26,,0,0,HairStyle26,Hair26,PlayerHair26
-90,-90,-22,6.55,-2,0,-90,-90,0,6.12,1.38,0,227,190,88,6.4,0.33,3,-90,-90,-30,6.63,-1.8,0,227,0,88,6.4,0.33,-3.2,-90,-90,-24,6.6,-1.47,0,27,,0,0,HairStyle27,Hair27,PlayerHair27
-90,-90,-20.3,6.39,-2.46,0,-90,-90,0,6.2,0.8,0,235,182,88,5.25,-0.45,2.95,-90,-90,-3.85,6.68,-1.04,0,235,-2,88,5.4,-0.45,-3.1,-90,-90,-1.4,6.4,-0.78,0,28,,0,0,HairStyle28,Hair28,PlayerHair28
-90,-90,-32,5.7,-2.3,0,-90,-90,0,6.2,0.4,0,227,175,88,5.25,-0.47,2.53,-90,-90,-2.8,6.3,-0.3,0,227,5,88,5.3,-0.47,-2.57,-90,-90,-2.8,5.95,-0.3,0,29,PlayerHairCap29,0,0,HairStyle29,Hair29,PlayerHair29
-90,-90,-17,6.72,-1.53,0,-90,-90,0,6.2,1.56,0,230,190,88,5.7,0.03,2.9,-90,-90,-7.34,6.9,-0.87,0,240,15,88,5.27,-1.2,-3.2,-90,-90,-23.3,6.26,-1.9,0,30,PlayerHairCap30,0,0,HairStyle30,Hair30,PlayerHair30
-90,-90,-30,5.65,-2.2,0,-90,-90,0,6.2,0.6,0,227,178,88,5.25,-0.45,2.38,-90,-90,-2.8,6.25,-0.3,0,227,2,88,5.3,-0.45,-2.38,-90,-90,-2.8,6,-0.25,0,35,,0,0,HairStyle31,Hair31,PlayerHair31
-90,-90,-32,5.7,-2.3,0,-90,-90,0,6.2,0.6,0,227,178,88,5.25,-0.45,2.5,-90,-90,-2.8,6.3,-0.3,0,227,2,88,5.3,-0.45,-2.6,-90,-90,-2.8,6,-0.3,0,36,,0,0,HairStyle32,Hair32,PlayerHair32
-90,-90,-30,7.8,-4.5,0,-90,-90,18,7.1,2.1,0,232,178,97,6.9,-0.5,4.2,-90,-90,-2.8,8.8,-1.2,0,232,2,97,6.9,-0.5,-4.2,-90,-90,0,8.7,-0.9,0,37,PlayerHairCap33,0,0,HairStyle33,Hair33,PlayerHair33
-90,-90,-18,6.2,-1.6,0,-90,-90,0,6.53,0.6,0,227,178,88,5.6,-0.5,2.45,-90,-90,-2.8,6.4,-0.3,0,227,2,88,5.6,-0.5,-2.45,-90,-90,-2.8,6.2,-0.3,0,38,,0,0,HairStyle34,Hair34,PlayerHair34
-90,-90,-5,6.3,-0.7,0,-90,-90,0,6.3,0.4,0,225,190,88,5.5,0.4,2.3,-90,-90,-2.8,6.2,-0.3,0,225,-10,88,5.5,0.4,-2.3,-90,-90,-2.8,6,-0.3,0,40,,0,0,HairStyle35,Hair35,PlayerHair35
-90,-90,-37,6.8,-3.3,0,-90,-90,0,6.3,0.4,0,227,178,88,5.8,-1.3,3.8,-90,-90,-2.8,7,0.9,0,227,2,88,6.4,-1.2,-4.2,-90,-90,-2.8,6.9,-0.9,0,41,PlayerHairCap36,0,0,HairStyle36,Hair36,PlayerHair36
