9d158d98 u16,8b47a7b4 u16,dca149d u16,6f307274 u16,d3bc90c0 u16,4bccc3f3 u16,f03898ed u16,8e2edf98 u16,c3bb3363 u16,da5f0470 u16,2ba288cf u16,4fbf4bc u16,89f2f5b2 u16,ccd794d1 u16,54a7c7e2 u16,ef539cfc u16,UniqueID,c978d56e u8,NpcLabel,14e0f9c1 u8,e441b193 u32
64,64,324,188,229,279,221,317,229,197,220,358,67,228,279,221,64,1,cat21,0,3
65,65,187,148,360,306,378,365,360,306,154,328,340,359,306,378,65,1,cat23,0,7
66,66,372,48,50,104,316,38,50,49,105,35,232,50,104,316,66,1,cbr00,0,5
67,67,397,297,271,153,238,140,271,231,406,141,29,270,153,238,67,1,cbr01,0,1
68,68,308,438,345,361,440,355,345,297,367,195,427,344,361,440,68,1,cbr02,0,2
69,69,28,41,352,66,171,446,352,270,93,313,211,351,66,171,69,1,cbr03,1,8
70,70,43,37,243,325,46,405,243,179,4,268,114,242,325,46,70,1,cbr04,0,2
71,71,374,38,418,338,303,447,418,367,285,417,171,418,338,303,71,1,cbr05,0,2
72,72,177,456,456,468,468,464,456,77,68,22,397,456,468,468,72,1,cbr06,0,6
73,73,391,288,296,326,126,276,296,235,269,137,429,295,326,126,73,1,cbr07,0,6
74,74,73,249,308,327,177,318,308,264,309,308,308,307,327,177,74,1,cbr09,0,5
75,75,442,78,88,105,400,63,88,458,11,266,467,88,105,400,75,1,cbr10,0,5
76,76,23,205,224,208,2,236,224,124,405,140,196,223,208,2,76,1,cbr13,0,6
77,77,175,384,329,461,348,299,329,284,153,327,152,328,461,348,77,1,cbr14,0,1
78,78,299,99,90,328,357,109,90,448,299,421,249,90,328,357,78,1,cbr15,0,1
79,79,35,175,29,359,271,350,29,30,265,23,190,29,359,271,79,1,cbr16,0,4
80,80,330,424,427,3,460,431,426,372,16,260,356,427,3,460,80,1,cbr17,0,4
81,81,250,282,278,273,284,282,278,225,372,131,406,277,273,284,81,1,cbr18,0,9
82,82,260,296,221,404,234,303,221,121,395,160,247,220,404,234,82,1,cbr19,0,2
83,83,200,237,183,207,366,99,183,103,117,12,174,182,207,366,83,1,chn00,0,3
84,84,302,34,35,56,114,53,35,35,346,427,137,35,56,114,84,1,chn01,0,6
85,85,169,459,143,316,190,98,143,460,150,39,368,142,316,190,85,1,chn02,0,2
86,86,366,140,22,42,143,36,22,1,247,291,326,22,42,143,86,1,chn05,0,4
87,87,443,180,33,374,426,22,33,33,21,264,363,33,374,426,87,1,chn09,0,3
88,88,296,268,343,212,365,111,343,295,281,415,159,342,212,365,88,1,chn10,0,2
89,89,189,445,242,447,472,238,242,257,90,36,179,241,447,472,89,1,chn11,0,2
90,90,197,102,63,79,207,115,63,57,62,471,341,63,79,207,90,1,chn12,0,2
91,91,381,155,231,351,223,11,231,160,110,302,270,230,351,223,91,1,chn13,0,3
92,92,25,327,320,459,275,336,320,304,76,165,208,319,459,275,92,1,cow00,0,2
93,93,283,10,438,355,459,441,438,383,376,132,169,438,355,459,93,1,cow01,0,2
94,94,93,307,304,317,332,316,304,258,31,162,299,303,317,332,94,1,cow06,0,2
95,95,453,197,299,381,266,288,299,253,288,467,73,298,381,266,95,1,cow07,0,5
96,96,24,277,5,231,8,9,5,12,23,281,198,5,231,8,96,1,crd00,0,5
97,97,120,7,7,123,7,12,7,467,109,381,474,7,123,7,97,1,crd01,0,1
98,98,129,430,57,72,104,121,57,63,359,438,449,57,72,104,98,1,crd02,0,3
99,99,102,239,125,138,186,248,125,108,420,410,9,124,138,186,99,1,crd04,0,2
100,100,311,208,385,406,406,451,385,325,319,213,78,384,406,406,100,1,crd05,0,6
101,101,153,412,406,162,86,139,406,355,275,452,269,405,162,86,101,1,crd06,0,2
102,102,48,372,176,68,335,114,176,87,22,286,374,175,68,335,102,1,crd07,0,2
103,103,22,127,139,152,125,138,139,136,194,312,217,138,152,125,103,1,crd08,0,2
104,104,440,115,155,172,42,93,155,407,251,235,255,154,172,42,104,1,der00,0,3
105,105,400,35,27,130,317,117,27,28,191,96,22,27,130,317,105,1,der01,0,2
106,106,340,461,472,132,379,24,472,140,267,52,352,472,132,379,106,1,der02,0,2
107,107,80,322,64,31,55,30,64,58,338,200,71,64,31,55,107,1,der03,0,1
108,108,111,86,124,460,43,125,124,107,262,44,261,123,460,43,108,1,der04,0,1
109,109,364,96,256,2,211,265,256,212,248,400,354,255,2,211,109,1,der05,0,2
110,110,188,391,172,401,401,183,172,428,141,331,425,171,401,401,110,1,der06,0,6
111,111,71,280,32,253,430,194,32,65,345,447,160,32,253,430,111,1,der07,0,3
112,112,291,458,128,50,113,126,128,125,259,47,258,127,50,113,112,1,der08,0,2
113,113,89,107,149,107,1,92,149,471,216,325,240,148,107,1,113,1,der09,0,3
114,114,329,72,87,111,83,97,87,446,208,356,328,87,111,83,114,1,der10,0,9
115,115,176,471,402,472,424,403,402,351,428,311,151,401,472,424,115,1,der11,0,2
116,116,293,44,181,439,304,135,181,93,86,363,58,180,439,304,116,1,dog00,0,4
117,117,456,159,69,80,25,33,69,64,168,336,245,69,80,25,117,1,dog01,0,2
118,118,103,453,260,368,377,158,260,201,433,84,8,259,368,377,118,1,dog02,0,6
119,119,234,220,44,18,103,74,44,42,468,94,458,44,18,103,119,1,dog03,0,2
120,120,15,413,53,94,330,443,53,54,246,396,210,53,94,330,120,1,dog04,0,2
121,121,136,184,348,16,108,358,348,300,340,202,339,347,16,108,121,1,dog05,0,3
122,122,5,118,458,287,161,466,458,401,355,186,209,458,287,161,122,1,dog06,0,1
123,123,392,92,121,257,322,165,121,105,290,167,257,120,257,322,123,1,dog07,0,2
124,124,304,373,108,369,98,67,108,190,349,182,274,108,369,98,124,1,dog08,0,5
125,125,246,3,267,271,337,120,267,248,391,116,336,266,271,337,125,1,dog09,0,1
126,126,67,32,30,53,31,123,30,31,344,184,144,30,53,31,126,1,dog10,0,2
127,127,393,206,167,456,152,259,167,423,158,228,309,166,456,152,127,1,dog11,0,1
128,128,190,470,266,358,59,436,266,219,217,351,178,265,358,59,128,1,dog14,0,3
129,129,380,370,272,166,197,199,272,223,417,289,49,271,166,197,129,1,dog15,0,6
130,130,394,463,36,58,39,51,36,36,282,77,13,36,58,39,130,1,dog16,0,2
131,131,165,33,89,258,14,14,89,447,301,454,176,89,258,14,131,1,dog17,0,1
132,132,64,427,400,182,291,171,400,456,363,175,60,399,182,291,132,1,dog18,0,3
133,133,309,46,42,337,85,198,42,40,305,378,76,42,337,85,133,1,duk00,0,3
134,134,214,211,220,340,212,346,220,120,444,104,134,219,340,212,134,1,duk01,0,2
135,135,47,83,319,341,439,76,319,303,260,45,373,318,341,439,135,1,duk02,0,5
136,136,54,403,268,343,261,330,268,229,30,284,91,267,343,261,136,1,duk03,0,7
137,137,328,319,123,272,301,128,123,129,388,120,304,122,272,301,137,1,duk04,0,3
138,138,154,108,344,183,359,150,344,296,270,338,267,343,183,359,138,1,duk05,0,2
139,139,358,274,270,292,267,422,270,250,180,242,464,269,292,267,139,1,duk06,0,1
140,140,409,351,166,380,68,414,166,422,378,59,34,165,380,68,140,1,duk07,0,6
141,141,13,110,127,448,369,296,127,110,366,194,192,126,448,369,141,1,duk08,0,3
142,142,127,150,140,151,96,137,140,137,328,437,173,139,151,96,142,1,duk09,0,5
143,143,30,165,397,112,417,224,397,354,385,342,189,396,112,417,143,1,duk10,0,2
144,144,326,457,462,342,33,334,462,69,12,271,259,462,342,33,144,1,duk11,0,2
145,145,269,422,287,291,262,301,287,239,402,157,106,286,291,262,145,1,duk12,0,3
146,146,124,350,232,236,224,240,232,164,114,374,358,231,236,224,146,1,duk13,0,4
147,147,360,151,180,220,112,332,180,91,181,122,278,179,221,112,147,1,duk15,0,1
148,148,431,298,290,145,308,305,290,241,74,28,147,289,145,308,148,1,duk16,0,3
149,149,158,352,356,139,324,458,356,155,195,66,119,355,139,324,149,1,duk17,0,3
150,150,232,318,310,324,338,319,310,266,56,306,470,309,324,338,150,1,elp00,0,2
151,151,193,31,131,370,342,23,131,128,315,469,70,130,370,342,151,1,elp01,0,2
152,152,29,36,41,146,299,211,41,39,473,2,182,41,146,299,152,1,elp02,0,4
153,153,44,124,147,156,132,144,147,469,50,295,113,146,156,132,153,1,elp03,12,0
154,154,341,103,274,390,264,278,274,220,135,224,317,273,390,264,154,1,elp04,0,7
155,155,66,326,315,335,345,331,315,276,276,413,222,314,335,345,155,1,elp05,0,4
156,156,100,26,24,169,26,406,24,10,47,294,6,24,169,26,156,1,elp06,0,5
157,157,301,101,145,154,131,143,145,466,45,288,168,144,154,131,157,1,elp07,0,5
158,158,40,428,445,357,30,430,445,371,278,135,202,445,357,30,158,1,elp09,0,3
159,159,276,100,433,282,145,157,433,378,231,403,252,433,282,145,159,1,elp10,0,5
160,160,126,69,85,109,76,96,85,443,322,446,295,85,109,76,160,1,elp11,0,9
161,161,298,394,118,375,371,416,118,346,298,425,461,117,375,371,161,1,elp12,0,3
162,162,211,247,251,246,375,195,251,208,457,87,391,250,246,375,162,1,flg00,0,3
163,163,320,366,368,376,101,367,368,312,64,354,459,367,376,101,163,1,flg01,0,6
164,164,186,131,171,137,463,178,171,427,119,26,100,170,137,463,164,1,flg02,0,2
165,165,267,423,72,125,300,119,72,149,339,360,286,72,125,300,165,1,flg03,0,2
166,166,118,68,141,430,170,360,141,138,240,65,241,140,430,170,166,1,flg04,0,2
167,167,343,462,461,415,102,357,461,68,133,225,36,461,415,102,167,1,flg05,0,2
168,168,183,306,351,312,381,214,351,308,221,6,292,350,311,381,168,1,flg06,0,1
169,169,19,199,216,222,206,189,216,115,111,74,195,215,223,206,169,1,flg07,0,3
170,170,34,328,425,412,382,1,424,393,204,394,188,425,412,382,170,1,flg09,0,2
171,171,95,185,110,134,148,232,110,191,296,310,239,110,134,148,171,1,flg10,0,4
172,172,387,230,205,385,29,52,205,430,175,245,125,204,385,29,172,1,flg11,0,2
173,173,325,348,349,177,368,359,349,301,60,366,221,348,177,368,173,1,flg12,0,2
174,174,128,190,214,23,157,192,214,114,46,292,413,213,23,157,174,1,flg13,0,3
175,175,178,385,358,371,144,284,358,337,65,10,396,357,371,144,175,1,flg15,0,6
176,176,225,454,178,119,167,364,178,116,450,110,162,177,119,167,176,1,flg16,0,1
177,177,363,62,113,377,67,210,113,187,187,401,41,112,377,67,177,1,flg17,0,4
178,178,401,95,130,299,466,460,130,126,2,267,30,129,299,466,178,1,flg18,0,2
179,179,162,126,200,414,189,374,200,88,357,462,118,199,414,189,179,1,flg19,0,2
180,180,426,9,91,85,47,127,91,454,424,320,329,91,85,47,180,1,goa00,0,6
181,181,282,473,297,346,321,307,297,252,179,238,421,296,346,321,181,1,goa01,0,3
182,182,434,166,43,76,418,56,43,41,1,472,146,43,76,418,182,1,goa02,0,1
183,183,70,142,190,416,180,79,190,96,318,207,53,189,416,180,183,1,goa04,0,6
184,184,63,465,450,159,462,46,450,70,310,187,272,450,159,462,184,1,goa06,0,3
185,185,378,51,236,84,307,462,236,166,419,300,50,235,84,307,185,1,goa07,0,3
186,186,60,325,318,98,81,333,318,280,274,168,175,317,98,81,186,1,goa08,0,3
187,187,210,301,401,300,65,78,401,457,461,83,392,400,300,65,187,1,goa09,0,2
188,188,20,6,82,108,75,94,82,439,20,285,203,82,108,75,188,1,gor00,0,2
189,189,430,265,327,254,168,245,327,288,203,67,294,326,254,168,189,1,gor01,0,3
190,190,375,234,56,49,28,39,56,62,392,133,381,56,49,28,190,1,gor02,0,2
191,191,473,257,258,255,253,267,258,214,382,136,127,257,255,253,191,1,gor04,0,2
192,192,201,58,59,82,367,66,59,51,358,191,172,59,82,367,192,1,gor05,0,2
193,193,383,235,454,262,156,246,454,182,40,340,124,454,262,156,193,1,gor07,0,4
194,194,3,233,4,10,184,215,4,463,199,314,199,4,10,184,194,1,gor08,0,3
195,195,32,219,376,197,163,242,376,326,474,3,184,375,197,163,195,1,gor09,0,2
196,196,349,156,195,209,251,218,195,83,176,240,63,194,209,251,196,1,gor10,0,2
197,197,220,365,370,386,388,380,370,315,447,111,314,369,386,388,197,1,gor11,0,9
198,198,151,153,193,67,210,17,193,82,293,458,230,192,67,210,198,1,ham00,0,3
199,199,313,194,18,405,138,101,18,470,14,282,465,18,405,138,199,1,ham01,0,1
200,200,255,149,185,397,172,155,185,100,101,33,334,184,397,172,200,1,ham02,0,3
201,201,270,358,379,116,84,397,379,323,149,341,104,378,116,84,201,1,ham03,0,2
202,202,50,380,409,428,431,95,409,358,157,227,89,408,428,431,202,1,ham04,0,3
203,203,474,85,100,65,182,82,100,177,241,457,12,100,65,182,203,1,ham05,0,2
204,204,429,105,162,251,135,292,162,414,425,210,331,161,251,135,204,1,ham06,0,2
205,205,396,161,194,33,78,311,194,438,292,459,19,193,33,78,205,1,ham07,0,2
206,206,300,279,276,269,282,206,276,222,255,190,248,275,269,282,206,1,ham09,0,1
207,207,202,363,375,393,32,386,375,327,125,20,43,374,393,32,207,1,hip00,0,6
208,208,83,75,65,214,193,228,65,24,213,348,301,65,214,193,208,1,hip02,0,2
209,209,116,39,37,59,40,453,37,37,25,185,141,37,59,40,209,1,hip03,0,1
210,210,180,313,40,356,44,348,40,44,70,5,385,40,356,44,210,1,hip04,0,6
211,211,46,45,45,321,364,395,45,43,43,205,111,45,321,364,211,1,hip05,0,7
212,212,295,207,197,210,52,149,197,84,58,307,423,196,210,52,212,1,hip08,0,3
213,213,106,168,201,213,349,356,201,90,232,68,439,200,213,349,213,1,hip09,0,2
214,214,376,376,66,453,110,449,66,27,36,170,231,66,453,110,214,1,hrs00,0,3
215,215,345,106,453,463,465,461,453,75,185,233,380,453,463,465,215,1,hrs01,0,2
216,216,85,472,396,410,416,409,396,338,130,215,284,395,410,416,216,1,hrs02,0,2
217,217,359,104,146,217,283,320,146,468,132,226,365,145,217,283,217,1,hrs03,0,7
218,218,161,198,383,223,402,394,383,331,159,239,369,382,224,402,218,1,hrs04,0,1
219,219,248,460,468,426,15,107,468,76,377,364,288,468,426,15,219,1,hrs05,0,2
220,220,249,170,142,135,127,113,142,461,82,41,290,141,135,127,220,1,hrs06,0,4
221,221,415,47,101,121,93,429,101,175,3,270,31,101,121,93,221,1,hrs07,6,0
222,222,411,76,323,348,370,391,323,294,242,134,35,322,348,370,222,1,hrs08,0,2
223,223,352,16,15,216,12,260,15,207,171,257,361,15,216,12,223,1,hrs09,0,3
224,224,110,437,102,294,123,249,102,172,234,128,312,102,294,123,224,1,hrs10,0,1
225,225,55,67,107,190,452,182,107,181,26,276,93,107,190,452,225,1,hrs11,0,5
226,226,398,130,316,52,58,343,316,277,52,124,15,315,52,58,226,1,hrs12,0,1
227,227,468,195,223,48,243,202,223,122,162,318,98,222,48,243,227,1,hrs13,0,6
228,228,209,8,364,129,205,375,364,310,439,103,393,363,129,205,228,1,hrs16,0,2
229,229,445,450,471,471,62,469,471,474,422,319,44,471,471,62,229,1,kal00,0,2
230,230,278,236,6,474,5,10,6,11,408,143,320,6,474,5,230,1,kal01,0,1
231,231,10,238,281,278,292,287,281,232,15,262,207,280,278,292,231,1,kal02,0,2
232,232,354,399,420,419,228,417,420,348,146,249,234,420,419,228,232,1,kal03,0,1
233,233,139,169,182,78,169,209,182,94,126,31,435,181,78,169,233,1,kal04,0,3
234,234,21,321,312,238,229,328,312,261,253,73,204,311,238,229,234,1,kal05,0,6
235,235,446,119,153,175,231,75,153,429,371,130,353,152,175,231,235,1,kal07,0,2
236,236,184,66,73,92,230,77,73,150,89,372,448,73,92,230,236,1,kal08,0,4
237,237,56,335,264,113,218,312,264,199,55,305,298,263,113,218,237,1,kal09,0,4
238,238,237,414,151,168,201,118,151,473,464,377,452,150,168,201,238,1,kal10,0,2
239,239,132,221,238,24,360,243,238,170,13,283,442,237,24,360,239,1,kgr00,0,3
240,240,433,270,279,367,288,285,279,227,9,278,148,278,367,288,240,1,kgr01,0,3
241,241,244,65,77,252,219,433,77,196,383,123,372,77,252,219,241,1,kgr02,0,2
242,242,370,24,19,37,387,427,19,22,83,426,360,19,37,387,242,1,kgr05,0,3
243,243,388,418,422,93,260,420,422,350,170,258,131,422,93,260,243,1,kgr06,0,2
244,244,105,402,459,74,469,475,459,402,80,25,323,459,74,469,244,1,kgr08,0,2
245,245,254,367,381,106,298,40,381,335,374,127,333,380,106,298,245,1,kgr09,0,3
246,246,252,278,273,75,420,2,273,224,386,121,408,272,75,420,246,1,kgr10,0,3
247,247,279,84,67,431,241,254,67,25,100,230,322,67,431,241,247,1,lon00,0,2
248,248,168,245,148,157,133,145,148,464,92,387,243,147,157,133,248,1,lon01,0,6
249,249,327,361,366,243,240,377,366,307,137,90,350,365,243,240,249,1,lon02,0,2
250,250,206,243,250,244,239,252,250,206,230,407,108,249,244,239,250,1,lon04,0,2
251,251,217,246,294,225,3,256,294,244,446,109,133,293,226,3,251,1,lon06,0,2
252,252,432,244,382,398,191,401,382,330,0,261,149,381,398,191,252,1,lon07,0,2
253,253,204,254,253,249,242,255,253,200,429,81,434,252,249,242,253,1,lon08,1,10
254,254,314,94,298,305,302,308,298,251,209,386,2,297,305,302,254,1,mnk01,0,2
255,255,455,400,404,421,425,421,404,339,48,250,417,403,421,425,255,1,mnk02,0,2
256,256,355,54,426,434,245,432,425,394,42,293,65,426,434,245,256,1,mnk03,0,5
257,257,310,82,292,83,255,298,292,243,136,150,77,291,83,255,257,1,mnk04,0,6
258,258,263,410,144,277,130,142,144,465,416,149,158,143,277,130,258,1,mnk05,0,7
259,259,368,345,159,295,411,50,159,416,128,315,39,158,295,411,259,1,mnk06,0,2
260,260,428,449,398,298,257,313,398,452,142,334,332,397,298,257,260,1,mnk07,0,3
261,261,109,18,126,91,263,61,126,109,237,70,422,125,91,263,261,1,mnk08,0,4
262,262,367,429,434,440,442,438,434,396,238,333,40,434,440,442,262,1,mnk09,0,2
263,263,119,91,137,149,122,415,137,134,249,404,136,136,149,122,263,1,mus00,0,2
264,264,192,355,252,89,181,396,252,209,434,60,254,251,89,181,264,1,mus01,0,2
265,265,68,416,34,365,35,48,34,34,32,323,143,34,365,35,265,1,mus02,0,1
266,266,384,191,60,73,372,197,60,55,134,214,115,60,73,372,266,1,mus03,3,0
267,267,159,382,393,413,414,407,393,342,304,444,154,392,413,414,267,1,mus04,0,2
268,268,18,266,377,395,272,378,377,321,155,329,205,376,395,272,268,1,mus05,0,3
269,269,138,359,74,115,433,289,74,194,79,219,74,74,115,433,269,1,mus08,0,1
270,270,321,364,372,378,428,384,372,317,224,335,263,371,378,428,270,1,mus09,0,6
271,271,241,114,12,120,16,425,12,16,432,82,457,12,120,16,271,1,mus10,0,2
272,272,319,132,62,77,432,170,62,56,341,199,280,62,77,432,272,1,mus12,0,5
273,273,27,285,293,417,208,7,293,246,320,449,212,292,417,208,273,1,mus14,0,2
274,274,373,388,38,329,412,368,38,38,390,118,4,38,329,412,274,1,mus15,0,5
275,275,334,143,187,224,175,216,187,98,329,192,87,186,225,175,275,1,mus16,0,2
276,276,402,334,331,0,305,339,331,6,218,346,26,330,0,305,276,1,mus17,0,2
277,277,316,71,84,400,315,223,84,442,205,362,285,84,400,315,277,1,mus18,0,4
278,278,218,344,333,350,423,341,333,287,440,105,306,332,350,423,278,1,mus19,0,1
279,279,460,323,305,319,333,324,305,262,53,156,296,304,319,333,279,1,ocp00,0,2
280,280,461,272,275,267,278,279,275,221,193,155,311,274,267,278,280,1,ocp01,0,2
281,281,462,324,475,345,285,352,475,441,192,390,310,475,345,285,281,1,ocp02,0,3
282,282,172,425,81,320,334,354,81,440,81,37,86,81,320,334,282,1,ocp04,0,2
283,283,150,183,355,274,380,370,355,156,189,391,163,354,274,380,283,1,ost00,0,1
284,284,390,383,179,196,166,280,179,92,210,206,59,178,196,166,284,1,ost01,0,2
285,285,404,392,394,364,340,8,394,370,438,223,27,393,364,340,285,1,ost02,0,3
286,286,160,261,413,373,233,173,413,362,353,461,471,413,373,233,286,1,ost03,0,1
287,287,207,452,371,389,139,383,371,316,235,69,293,370,389,139,287,1,ost04,0,1
288,288,469,203,222,228,213,201,222,123,161,339,96,221,228,213,288,1,ost05,10,0
289,289,470,146,112,100,154,83,112,189,239,389,97,111,100,154,289,1,ost06,0,4
290,290,196,181,334,15,354,147,334,410,112,373,342,333,15,354,290,1,ost07,0,2
291,291,395,74,48,392,427,146,48,46,147,254,23,48,392,427,291,1,ost08,7,0
292,292,164,121,161,47,215,393,161,418,332,443,250,160,47,215,292,1,ost09,0,1
293,293,170,338,336,43,147,161,336,409,313,468,56,335,43,147,293,1,ost10,0,2
294,294,7,19,17,26,19,26,17,21,17,274,197,17,26,19,294,1,pbr00,0,6
295,295,51,1,8,17,23,16,8,13,28,275,88,8,17,23,295,1,pbr01,0,2
296,296,419,2,338,215,323,34,338,292,183,232,445,337,215,323,296,1,pbr02,0,2
297,297,174,29,70,303,353,207,70,26,311,32,463,70,303,353,297,1,pbr03,0,3
298,298,53,353,23,143,146,156,23,2,96,380,90,23,143,146,298,1,pbr05,0,2
299,299,157,23,164,27,174,172,164,419,295,460,266,163,27,174,299,1,pbr06,0,2
300,300,441,174,416,32,269,45,416,365,91,321,418,416,32,269,300,1,pbr07,0,2
301,301,122,210,230,256,136,27,230,169,333,440,167,229,256,136,301,1,pbr08,0,3
302,302,112,252,80,221,158,91,80,345,233,408,383,80,222,158,302,1,pbr09,0,3
303,303,389,224,357,11,21,32,357,157,143,252,262,356,11,21,303,1,pbr10,0,6
304,304,294,405,21,41,24,35,21,3,51,303,424,21,41,24,304,1,pgn00,0,2
305,305,315,368,373,63,385,18,373,318,356,434,80,372,63,385,305,1,pgn01,0,2
306,306,238,80,114,140,105,122,114,192,308,208,455,113,140,105,306,1,pgn02,0,2
307,307,98,160,203,205,464,344,203,435,201,61,388,202,205,464,307,1,pgn03,0,2
308,308,418,129,169,189,153,176,169,425,131,216,446,168,189,153,308,1,pgn04,8,0
