CloseItemUniqueId,912ca5f0 u32,be9ee5f8 u32,cf30f72d u32,f6d306e u32,UniqueID,d3978a49 u8,aac49213 string9
-1,-1,-1,-1,-1,123,0,rco
-1,-1,-1,-1,-1,124,0,rco
-1,-1,-1,-1,-1,125,0,rco
-1,-1,-1,-1,-1,126,0,rco
-1,-1,-1,-1,-1,127,0,rco
-1,-1,-1,-1,-1,128,0,rco
-1,-1,-1,-1,-1,129,0,rco
-1,-1,-1,-1,-1,130,0,rco
-1,-1,-1,-1,-1,131,0,rco
-1,-1,-1,-1,-1,132,0,rco
-1,-1,-1,-1,-1,133,0,rco
-1,-1,-1,-1,-1,134,0,rco
-1,-1,-1,-1,-1,135,0,rco
-1,-1,-1,-1,-1,136,0,rco
-1,-1,-1,-1,-1,137,0,rco
-1,-1,-1,-1,-1,138,0,rco
-1,-1,-1,-1,-1,139,0,rco
-1,-1,-1,-1,-1,140,0,rco
-1,-1,-1,-1,-1,141,0,rco
-1,-1,-1,-1,-1,142,0,rco
-1,-1,-1,-1,-1,143,0,rco
-1,-1,-1,-1,-1,144,0,rco
-1,-1,-1,-1,-1,145,0,rco
-1,-1,-1,-1,-1,146,0,rco
-1,-1,-1,-1,-1,147,0,rco
-1,-1,-1,-1,-1,148,0,rco
-1,-1,-1,-1,-1,149,0,rco
-1,-1,-1,-1,-1,150,0,rco
-1,-1,-1,-1,-1,151,0,rco
-1,-1,-1,-1,-1,152,0,rco
-1,-1,-1,-1,-1,153,0,rco
-1,-1,-1,-1,-1,154,0,rco
-1,-1,-1,-1,-1,155,0,rco
-1,-1,-1,-1,-1,156,0,rco
-1,-1,-1,-1,-1,157,0,rco
-1,-1,-1,-1,-1,158,0,rco
-1,-1,-1,-1,-1,159,0,rco
-1,-1,-1,-1,-1,160,0,rco
-1,-1,-1,45,-1,161,1,rco
-1,-1,-1,-1,171,162,1,rco
-1,-1,-1,-1,610,163,0,rco
-1,-1,323,-1,-1,164,0,rco
-1,-1,-1,-1,-1,165,0,rco
-1,-1,-1,-1,-1,166,1,sza
-1,-1,-1,-1,-1,167,1,sza
-1,-1,-1,-1,-1,168,1,sza
-1,-1,-1,-1,-1,169,1,sza
-1,-1,-1,-1,-1,170,1,sza
-1,-1,-1,-1,-1,171,1,sza
-1,-1,-1,-1,-1,172,1,sza
-1,-1,1725,-1,-1,200,1,otg
-1,-1,-1,-1,908,201,1,otg
-1,-1,-1,-1,908,202,1,otg
-1,-1,-1,-1,908,203,1,otg
-1,-1,-1,-1,908,204,1,otg
-1,-1,-1,-1,908,205,1,otg
-1,-1,-1,-1,1737,206,1,otg
-1,-1,-1,-1,1736,207,1,otg
-1,-1,-1,-1,1736,208,1,otg
-1,-1,-1,-1,1736,209,1,otg
-1,-1,-1,-1,1260,210,1,otg
-1,-1,-1,-1,1260,211,1,otg
-1,-1,-1,-1,1260,212,1,otg
-1,-1,-1,-1,1736,213,1,otg
-1,-1,-1,-1,1736,214,1,otg
-1,-1,-1,-1,1736,215,1,otg
-1,-1,-1,-1,1737,216,1,otg
-1,-1,-1,-1,1605,217,1,otg
-1,-1,-1,-1,1260,218,1,otg
-1,-1,-1,-1,1606,219,1,otg
-1,-1,-1,-1,1743,220,1,otg
-1,-1,-1,-1,1605,221,1,otg
-1,-1,-1,-1,1605,222,1,otg
-1,-1,564,-1,587,223,1,otg
-1,-1,-1,-1,1260,224,1,otg
-1,-1,1450,-1,1260,225,1,otg
-1,-1,1593,-1,1616,226,1,otg
-1,-1,1608,-1,1593,227,1,otg
-1,-1,-1,-1,1608,228,1,otg
-1,-1,-1,-1,1744,229,1,otg
-1,-1,1750,-1,1303,230,1,otg
-1,-1,-1,-1,1606,231,1,otg
-1,-1,-1,-1,-1,232,1,otg
-1,-1,-1,-1,-1,233,1,otg
-1,-1,-1,-1,1743,234,1,otg
-1,-1,-1,-1,1742,235,1,otg
-1,-1,-1,-1,1747,236,1,otg
-1,-1,-1,-1,1756,237,1,otg
-1,-1,-1,-1,1748,238,1,otg
-1,-1,-1,-1,1741,239,1,otg
-1,-1,-1,-1,1750,240,1,otg
-1,-1,-1,-1,1751,241,1,otg
-1,-1,-1,-1,1753,242,1,otg
-1,-1,1755,-1,1753,243,1,otg
-1,-1,-1,-1,1754,244,1,otg
-1,-1,-1,-1,1289,245,1,otg
-1,-1,-1,-1,1760,246,1,otg
-1,-1,-1,-1,1760,247,1,otg
-1,-1,-1,-1,1760,248,1,otg
-1,-1,-1,-1,1759,249,1,otg
