ItemCategory,ItemCategoryGroup,37571146.HashRef,e060d3cd u16,ItemRemakeType
0,0,MAIL_XX_ReLong-102,1,0
0,0,MAIL_XX_ReLong-103,1,0
0,0,MAIL_XX_ReMax-101,1,0
0,0,MAIL_XX_ReMax-102,1,0
0,0,MAIL_XX_ReMax-103,1,0
0,0,MAIL_XX_ReMoveIn-101,1,0
0,0,MAIL_XX_ReMoveIn-102,1,0
0,0,MAIL_XX_ReMoveIn-103,1,0
0,0,MAIL_XX_ReShort-101,1,0
0,0,MAIL_XX_ReShort-102,1,0
0,0,MAIL_XX_ReShort-103,1,0
0,0,MAIL_XX_ReSpecial-101,10,0
0,0,MAIL_XX_ReSpecial-102,10,0
0,0,MAIL_XX_ReSpecial-103,10,0
0,0,MAIL_XX_ReSpecial-104,9,0
0,0,MAIL_XX_ReSpecial-105,9,0
0,0,MAIL_XX_ReSpecial-106,9,0
0,0,MAIL_XX_ReSpecial-107,1,0
0,0,MAIL_XX_ReSpecial-108,1,0
0,0,MAIL_XX_ReSpecial-109,1,0
0,0,MAIL_XX_ReSpecial-110,1,0
0,0,MAIL_XX_ReSpecial-111,1,0
0,0,MAIL_XX_ReSpecial-112,1,0
0,0,MAIL_XX_ReSpecial-113,1,0
0,0,MAIL_XX_ReSpecial-118,1,0
0,0,MAIL_XX_ReSpecial-119,1,0
0,0,MAIL_XX_ReSpecial-120,1,0
0,0,MAIL_XX_ReSpecial-121,1,0
0,0,MAIL_XX_ReWinter-101,1,0
0,0,MAIL_XX_ReWinter-102,1,0
0,0,MAIL_XX_ReWinter-103,1,0
0,0,MAIL_XX_HHA_BuildCelebration-101,2,0
0,0,MAIL_XX_HHA_BuildCelebration-102,2,0
0,0,MAIL_XX_HHA_BuildCelebration-103,2,0
0,0,MAIL_XX_HHA_BuildCelebration-104,2,0
0,0,MAIL_RND_MsgA_XX-101,1,0
0,0,MAIL_RND_MsgA_XX-102,1,0
0,0,MAIL_RND_MsgA_XX-103,1,0
0,0,MAIL_RND_MsgA_XX-104,1,0
0,0,MAIL_RND_MsgA_XX-105,1,0
0,0,MAIL_ZK_SendPresent-108,16,0
0,0,MAIL_ZK_SendPresent-107,15,0
76,0,MAIL_ZK_SendPresent-106,0,0
0,0,MAIL_OT_SendPresent-110,8,0
67,0,MAIL_OT_SendPresent-109,0,0
72,0,MAIL_OT_SendPresent-108,0,0
0,0,MAIL_ZK_SendPresent-109,12,0
66,0,MAIL_OT_SendPresent-106,0,0
64,0,MAIL_KO_SendPresent-110,0,0
77,0,MAIL_KO_SendPresent-109,0,0
0,0,MAIL_KO_SendPresent-108,18,0
68,0,MAIL_FU_SendPresent-108,0,0
0,0,MAIL_FU_SendPresent-107,14,0
0,0,MAIL_OT_SendPresent-107,16,0
0,0,MAIL_ZK_SendPresent-110,14,0
65,0,MAIL_FU_SendPresent-109,0,0
75,0,MAIL_FU_SendPresent-110,0,0
77,0,MAIL_GE_SendPresent-106,0,0
63,0,MAIL_GE_SendPresent-107,0,0
0,0,MAIL_KO_SendPresent-107,6,0
62,0,MAIL_GE_SendPresent-108,0,0
74,0,MAIL_GE_SendPresent-109,0,0
61,0,MAIL_GE_SendPresent-110,0,0
0,0,MAIL_HA_SendPresent-106,15,0
71,0,MAIL_HA_SendPresent-107,0,0
0,0,MAIL_HA_SendPresent-108,11,0
0,0,MAIL_HA_SendPresent-109,17,0
0,0,MAIL_KO_SendPresent-106,17,0
0,0,MAIL_HA_SendPresent-110,16,0
73,0,MAIL_AN_SendPresent-106,0,0
70,0,MAIL_AN_SendPresent-107,0,0
21,0,MAIL_FU_SendPresent-106,0,0
27,0,MAIL_AN_SendPresent-108,0,0
24,0,MAIL_AN_SendPresent-109,0,0
69,0,MAIL_AN_SendPresent-110,0,0
0,0,MAIL_BO_SendPresent-110,13,0
16,0,MAIL_BO_SendPresent-106,0,0
0,0,MAIL_BO_SendPresent-107,11,0
71,0,MAIL_BO_SendPresent-108,0,0
21,0,MAIL_BO_SendPresent-109,0,0
0,0,MAIL_XX_ReSpecial-114,1,0
