Music,MustFtr1,MustFtr2,MustFtr3,OutdoorFtr1,OutdoorFtr2,RoomSizeX,RoomSizeY,SortID,UniqueID,OutdoorRebodyNum1,OutdoorRebodyNum2,OutdoorRefabricNum1,OutdoorRefabricNum2,RebodyNum1,RebodyNum2,RebodyNum3,RefabricNum1,RefabricNum2,RefabricNum3
2424,13143,13139,13142,65535,65535,6,6,54,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2451,1326,543,534,65535,65535,6,6,55,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2472,7151,7150,7152,65535,65535,6,6,56,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2454,12782,954,65535,1866,65535,6,6,57,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2434,4013,7653,65535,65535,65535,6,6,58,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7661,32,12350,3965,65535,65535,6,6,59,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7657,1329,2013,7527,65535,65535,6,6,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2463,4116,2014,1850,65535,65535,6,6,61,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2486,5941,13368,65535,65535,65535,6,6,62,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2441,2010,1181,1177,65535,65535,6,6,63,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2431,1045,1804,13469,65535,65535,6,6,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7666,12777,3951,1127,65535,65535,6,6,65,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2411,4019,14054,12708,65535,65535,6,6,66,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2469,1499,1500,13080,65535,65535,6,6,67,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2452,13268,65535,65535,4140,13273,6,6,68,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2421,13666,9814,839,65535,65535,6,6,69,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2443,4013,1598,65535,4226,65535,6,6,70,70,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
2458,4141,1565,3623,65535,65535,6,6,71,71,-1,-1,-1,-1,-1,2,-1,-1,-1,-1
2465,13505,1432,13717,65535,65535,6,6,72,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2426,13516,13363,65535,2333,65535,6,6,73,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2495,14635,12772,12782,65535,65535,6,6,74,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2417,975,13369,1050,65535,65535,6,6,75,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4314,12677,12679,65535,65535,65535,6,6,76,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2427,3974,4033,65535,65535,65535,6,6,77,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2427,710,3553,65535,65535,65535,6,6,78,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2451,12705,1849,65535,65535,65535,6,6,79,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2469,12840,12708,292,65535,65535,6,6,80,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7658,12258,13683,13369,65535,65535,6,6,81,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2444,9503,7527,13635,65535,65535,6,6,82,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2467,4111,2731,65535,65535,65535,6,6,83,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2460,1443,1444,1054,65535,65535,6,6,84,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2447,1112,65535,65535,65535,65535,6,6,85,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2415,998,1043,12822,65535,65535,6,6,86,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2437,1058,1875,3681,65535,65535,6,6,87,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2423,669,65535,65535,4338,1620,6,6,88,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2484,12611,13362,65535,65535,65535,6,6,89,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2470,3346,13214,65535,65535,65535,6,6,90,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7667,13192,13191,13190,65535,65535,6,6,91,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7658,3618,13340,65535,330,65535,6,6,92,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2429,13369,338,65535,13269,65535,6,6,93,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2481,13364,5635,65535,967,65535,6,6,94,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2413,13005,13255,13004,65535,65535,6,6,95,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7659,12769,13245,6829,65535,65535,6,6,96,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2487,4708,808,4035,65535,65535,6,6,97,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2468,7229,13366,12606,65535,65535,6,6,98,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2464,7148,7259,65535,65535,65535,6,6,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7667,13520,1337,65535,14212,65535,6,6,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2460,14193,14192,65535,65535,65535,6,6,101,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7663,13073,4269,65535,14184,65535,6,6,102,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2459,9814,65535,65535,13631,65535,6,6,103,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2461,1875,8465,7527,65535,65535,6,6,104,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2422,1229,1888,65535,65535,65535,6,6,105,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2439,5961,13139,65535,65535,65535,6,6,106,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2432,7599,13454,14534,65535,65535,6,6,107,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2415,7788,808,6078,65535,65535,6,6,108,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2409,13006,790,65535,65535,65535,6,6,109,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2471,791,863,4014,65535,65535,6,6,110,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7658,1082,14182,14791,65535,65535,6,6,111,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2493,1753,3961,13142,65535,65535,6,6,112,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2467,742,4044,5970,65535,65535,6,6,113,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2433,13993,65535,65535,1170,3805,6,6,114,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2430,1045,10743,12361,65535,65535,6,6,115,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2495,14054,13884,1050,65535,65535,6,6,116,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7660,13340,12365,65535,5972,65535,6,6,117,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7667,8825,5607,65535,14018,65535,6,6,118,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7665,1631,13637,1082,65535,65535,6,6,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2458,13250,65535,65535,1199,3430,6,6,120,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2408,794,1081,3950,65535,65535,6,6,121,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2445,2614,65535,65535,65535,65535,6,6,122,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2475,3966,891,4108,65535,65535,6,6,123,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2492,1009,9503,12830,65535,65535,6,6,124,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2492,1221,7189,13075,65535,65535,6,6,125,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2458,12608,65535,65535,13577,967,6,6,126,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2471,2010,3252,65535,65535,65535,6,6,127,127,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
2446,1434,1433,13637,65535,65535,6,6,128,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2489,2775,13113,729,65535,65535,6,6,129,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2482,1108,65535,65535,13370,7229,6,6,130,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2478,1816,13514,12888,65535,65535,6,6,131,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2439,11942,383,1802,65535,65535,6,6,132,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2473,12784,667,9584,65535,65535,6,6,133,133,-1,-1,-1,-1,-1,-1,3,-1,-1,-1
2470,4053,4046,12788,65535,65535,6,6,134,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7664,3590,3784,65535,65535,65535,6,6,135,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2494,12885,12891,12887,65535,65535,6,6,136,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2444,13188,833,13624,65535,65535,6,6,137,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2414,4015,65535,65535,1631,3348,6,6,138,138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2470,7153,4048,677,65535,65535,6,6,139,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7662,3983,5150,5963,65535,65535,6,6,140,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2462,1235,870,13588,65535,65535,6,6,141,141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2469,12822,1606,1779,65535,65535,6,6,142,142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2453,1308,1328,65535,3596,65535,6,6,143,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2409,846,1081,65535,1712,65535,6,6,144,144,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2443,13293,3252,4006,65535,65535,6,6,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2492,3251,13988,13696,65535,65535,6,6,146,146,-1,-1,-1,-1,-1,-1,3,-1,-1,-1
2493,13079,13073,13078,65535,65535,6,6,147,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2438,1861,12673,840,65535,65535,6,6,148,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2441,9503,849,1645,65535,65535,6,6,149,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2465,4053,997,65535,14106,65535,6,6,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2460,85,65535,65535,3430,1117,6,6,151,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2436,4109,3619,1888,65535,65535,6,6,152,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2412,4125,1759,1103,65535,65535,6,6,153,153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2492,12891,12881,12883,65535,65535,6,6,154,154,-1,-1,-1,-1,3,-1,3,-1,2,3
2459,998,13206,12708,65535,65535,6,6,155,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2495,3993,13957,12708,65535,65535,6,6,156,156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2438,7392,65535,65535,3416,4412,6,6,157,157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2485,13520,1337,11941,65535,65535,6,6,158,158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7657,12775,12613,7236,65535,65535,6,6,159,159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2454,12273,12247,65535,65535,65535,6,6,160,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7668,13521,13519,13476,65535,65535,6,6,161,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2475,1836,14207,13576,65535,65535,6,6,162,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2488,12612,7392,65535,13621,65535,6,6,163,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2463,1112,65535,65535,12684,65535,6,6,164,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2461,1434,65535,65535,1429,5972,6,6,165,165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7664,3689,65535,65535,3776,880,6,6,166,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2489,3802,3974,65535,3580,65535,6,6,167,167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2478,13079,11942,13075,65535,65535,6,6,168,168,-1,-1,-1,-1,3,1,3,5,-1,4
2480,3439,2554,2713,65535,65535,6,6,169,169,-1,-1,-1,-1,6,3,4,-1,-1,-1
2406,4006,12891,65535,7654,65535,6,6,170,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2427,7796,7797,65535,65535,65535,6,6,171,171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2486,13141,65535,65535,3446,14017,6,6,172,172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2484,1509,4722,65535,65535,65535,6,6,173,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2411,1868,13584,4116,65535,65535,6,6,174,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2487,13518,4016,13516,65535,65535,6,6,175,175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2490,1816,13514,12305,65535,65535,6,6,176,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2449,12793,12705,65535,1608,65535,6,6,177,177,-1,-1,1,-1,-1,4,-1,-1,-1,-1
2487,13631,1439,65535,14212,65535,6,6,178,178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2491,4762,2614,65535,13347,65535,6,6,179,179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2463,5931,13666,839,65535,65535,6,6,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2493,13139,3951,2561,65535,65535,6,6,181,181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4312,1157,7258,4073,65535,65535,6,6,182,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2451,1221,522,3446,65535,65535,6,6,183,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2453,2014,3968,65535,65535,65535,6,6,184,184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7661,7189,13575,65535,65535,65535,6,6,185,185,-1,-1,-1,-1,-1,3,-1,-1,-1,-1
7663,12349,12608,3443,65535,65535,6,6,186,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2460,4412,12688,65535,65535,65535,6,6,187,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2420,146,12605,12601,65535,65535,6,6,188,188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2441,1452,287,65535,65535,65535,6,6,189,189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2428,13273,13268,3776,65535,65535,6,6,190,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2429,7535,1266,7154,65535,65535,6,6,191,191,-1,-1,-1,-1,3,-1,-1,-1,-1,-1
2425,12602,12600,12603,65535,65535,6,6,192,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2448,2713,3615,12714,65535,65535,6,6,193,193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2411,12701,13188,7845,65535,65535,6,6,194,194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2412,12338,1620,3333,65535,65535,6,6,195,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2478,2771,65535,65535,7281,1141,6,6,196,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2455,2596,4134,12271,65535,65535,6,6,197,197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2406,2358,2010,65535,65535,65535,6,6,198,198,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2443,2596,4134,975,65535,65535,6,6,199,199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7666,832,840,1126,65535,65535,6,6,200,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2484,1412,2020,65535,65535,65535,6,6,201,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7659,1620,331,65535,65535,65535,6,6,202,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2451,2754,14549,522,65535,65535,6,6,203,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2458,1145,1792,65535,5337,65535,6,6,204,204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2476,1143,4100,65535,65535,65535,6,6,205,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2440,3784,3783,4029,65535,65535,6,6,206,206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2446,146,12605,65535,65535,65535,6,6,207,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2416,12782,4102,65535,665,65535,6,6,208,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2477,1082,4048,975,65535,65535,6,6,209,209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2484,13506,13516,65535,1447,65535,6,6,210,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2491,3586,13575,65535,65535,65535,6,6,211,211,-1,-1,-1,-1,-1,-1,-1,2,-1,-1
2449,13339,13338,65535,65535,65535,6,6,212,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2487,7258,3965,3560,65535,65535,6,6,213,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2433,4015,833,3947,65535,65535,6,6,214,214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2440,13342,4002,7231,65535,65535,6,6,215,215,-1,-1,-1,-1,3,2,2,-1,-1,-1
2429,4123,65535,65535,13579,13273,6,6,216,216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2418,10005,12890,12768,65535,65535,6,6,217,217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2431,13006,13010,65535,65535,65535,6,6,218,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2445,4379,880,65535,13268,65535,6,6,219,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2439,998,4068,1779,65535,65535,6,6,220,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2437,1757,12305,4048,65535,65535,6,6,221,221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2483,13084,13083,65535,65535,65535,6,6,222,222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2440,3396,2586,13272,65535,65535,6,6,223,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4313,1103,4117,1032,65535,65535,6,6,224,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2454,12775,3467,65535,12782,65535,6,6,225,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7659,1103,1606,3439,65535,65535,6,6,226,226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7662,1875,6826,6829,65535,65535,6,6,227,227,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
7664,12745,14561,65535,13622,65535,6,6,228,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7662,1288,13364,12614,65535,65535,6,6,229,229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2413,1606,12995,12613,65535,65535,6,6,230,230,-1,-1,-1,-1,1,1,-1,-1,-1,-1
2495,4708,808,65535,12689,65535,6,6,231,231,-1,-1,-1,-1,3,3,-1,-1,-1,-1
2410,1750,3490,12675,65535,65535,6,6,232,232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7660,4039,4040,14055,65535,65535,6,6,233,233,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2464,546,534,12677,65535,65535,6,6,234,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2455,1206,13470,1906,65535,65535,6,6,235,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2486,14561,12816,12827,65535,65535,6,6,236,236,-1,-1,-1,-1,3,-1,-1,-1,-1,-1
2406,12712,13974,14174,65535,65535,6,6,237,237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2431,1412,7189,13006,65535,65535,6,6,238,238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2461,1227,907,65535,65535,65535,6,6,239,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2429,1620,1288,12305,65535,65535,6,6,240,240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2412,1493,79,65535,967,65535,6,6,241,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2432,1803,1644,1045,65535,65535,6,6,242,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2420,13288,65535,65535,3348,1631,6,6,243,243,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2473,716,739,13190,65535,65535,6,6,244,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
