2924e11f u16,UniqueID,CanHasSit,EquipOnlyOutdoor,HandToolAsName,Label,Misc,Name,ToolEnterAsName,ToolLeftModelName,ToolRightModelName,ToolSetupAsName,ToolSetupPutawayAsName,UseToolLeft
30,79,0,0,CommonToolHand,Sprayer,1,きりふき,,,,,,0
31,80,0,0,CommonToolHand,Cop,1,コップ,,,,,,0
32,81,0,0,CommonToolHand,Smoothie,1,スムージー,,,,,,0
33,82,0,0,CommonToolHand,Hammer,1,かなづち,,,,,,0
0,84,0,0,CommonToolHand,Brush,1,はけ,,,,,,0
0,86,0,0,CommonToolHand,Bouquet,3,ブーケ,,,,,,0
0,87,0,0,CommonToolHand10300,Scallop,3,ホタテ,,,,,,0
0,88,0,0,CommonToolHand20000,Canvas,1,キャンバス,,,,,,0
0,91,1,0,CommonToolHand10400,Pennant,1,ペナント,,,,,,0
0,92,0,0,CommonToolHand10600,PBag,1,プレゼントぶくろ,,,,,,0
37,98,0,0,CommonToolHand20000,Mcas,11,マラカス,,Sub,Main,,,1
0,100,0,0,CommonToolHand10600,CUten,3,調理器具,,Sub,Main,,,1
0,101,1,0,CommonToolHand10600,SpCdr,1,サイダー,,,,,,0
38,102,0,0,CommonToolHand10600,Dh,1,皿,,,,,,0
0,103,1,0,CommonToolHand10700,SoSe,1,まめまきセット,,,,,,0
0,104,1,0,CommonToolHand10700,MePh,1,メガホン,,,,,,0
0,105,1,0,CommonToolHand10700,PMcas,43,プレイヤーマラカス,,Sub,Main,,,1
0,106,1,0,CommonToolHand10800,ShSo,1,シャムロックソーダ,,,,,,0
0,107,1,0,CommonToolHand11000,PeTo,1,フラワーシャワー,,,,,,0
