21eefaac u32,7e27475f u32,39873d8f u32,3e4510fa u16,UniqueID,e1ec58d6 u16,2e7476b string65,3fdeeab4 u16,767f28cb u8,b62dac63 u8,f0b8307e string33,d3e7208f u8,f2667fb4 u8,a1b38bfd string8,62a2abe9 string34
0,0,0,7,46,-2,NpcHula,32,68,1,Hula_SE,1,1,,Unlock_NPC_00
0,0,0,7,47,-2,NpcHula,64,68,1,Hula_SW,1,1,,Unlock_NPC_00
0,0,0,2,49,7399,NpcDrinkingExist,32,8,1,Drink_SE_Night,0,0,,Unlock_NPC_00
0,0,0,2,50,7399,NpcDrinkingExist,64,8,1,Drink_SW_Night,0,0,,Unlock_NPC_00
0,0,0,2,51,7399,NpcDrinkingExist,16,12,1,Drink_NE,1,1,,Unlock_NPC_00
4,7,0,2,52,14510,NpcTrowelDown,256,180,1,Trowel_Ftr_Share,1,1,,Unlock_NPC_00
1,0,0,2,53,14510,NpcTrowelDown,256,148,1,Trowel_Ftr,1,1,,Unlock_NPC_00
4,7,0,2,55,-2,NpcSitOnGround,256,56,1,Fire_Ftr_Share,0,0,,Unlock_NPC_00
5,4,3,2,59,8572,NpcEatingExist,256,84,1,BBQ,1,1,,Unlock_NPC_00
0,0,0,2,63,-2,NpcSitOnGround,1,12,1,SitGround_N,1,1,,Unlock_NPC_00
0,0,0,2,64,7399,NpcSitOnGround,1,5,1,Drink_N,1,1,,Unlock_NPC_00
0,0,0,2,65,14632,NpcEatingExist,1,8,1,Eat_N,1,1,,Unlock_NPC_00
0,0,0,2,67,-2,NpcGymnasticsExist,1,4,1,Gym_N,1,1,,Unlock_NPC_00
0,0,0,2,68,14510,NpcTrowel,16,132,0,Trowel_NE,1,1,,Unlock_NPC_00
0,0,0,2,69,14510,NpcTrowel,128,132,0,Trowel_NW,1,1,,Unlock_NPC_00
0,0,0,2,70,-2,NpcSitOnGround,128,12,1,SitGround_NW,1,1,,Unlock_NPC_00
0,0,0,2,71,-2,NpcGymnasticsExist,128,4,1,Gym_NW,1,1,,Unlock_NPC_00
0,0,0,2,72,14632,NpcEatingExist,128,12,1,Eat_NW,1,1,,Unlock_NPC_00
0,0,0,2,73,7399,NpcDrinkingExist,128,12,1,Drink_NW,1,1,,Unlock_NPC_00
0,0,0,2,75,14510,NpcTrowel,32,128,0,Trowel_SE,1,1,,Unlock_NPC_00
0,0,0,2,76,7399,NpcDrinkingExist,32,0,1,View_SE,1,1,0,Unlock_NPC_00
0,0,0,2,77,7399,NpcDrinkingExist,64,0,1,View_SW,1,1,0,Unlock_NPC_00
0,0,0,2,78,7399,NpcDrinkingExist,4,0,1,View_S,1,1,4,Unlock_NPC_00
0,0,0,2,79,5319,NpcFan,4,8,1,Fan_S,1,1,0,Unlock_NPC_00
0,0,0,2,80,5319,NpcFan,32,8,1,Fan_SE,1,1,0,Unlock_NPC_00
0,0,0,2,81,5319,NpcFan,32,8,1,Fan_SW,1,1,0,Unlock_NPC_00
0,0,0,2,82,7399,NpcDrinkingExist,16,4,1,View_NE,1,1,,Unlock_NPC_00
0,0,0,2,84,7399,NpcDrinkingExist,1,4,1,View_N,1,1,,Unlock_NPC_00
0,0,0,2,85,7399,NpcDrinkingExist,128,4,1,View_NW,1,1,,Unlock_NPC_00
0,0,0,2,86,-2,NpcWatchDisplay,1,4,1,Watch_N,1,1,,Unlock_NPC_00
0,0,0,2,89,-2,NpcWatchFieldHighExist,16,4,1,WatchHigh_NE,1,1,,Unlock_NPC_07
0,0,0,2,90,-2,NpcWatchFieldHighExist,128,4,1,WatchHigh_NW,1,1,,Unlock_NPC_07
0,0,0,2,91,-2,NpcStepOn,128,4,1,StepOn_NW,0,1,,Unlock_NPC_00
0,0,0,2,92,14510,NpcTrowel,16,164,1,Trowel_NE_Share,1,1,,Unlock_NPC_00
0,0,0,2,93,-2,NpcStepOn,16,36,1,StepOn_NE_Share,0,1,,Unlock_NPC_00
0,0,0,2,94,-2,NpcSitOnGround,16,44,1,SitGround_NE_Share,1,1,,Unlock_NPC_00
0,0,0,5,95,-2,NpcFloating,64,36,0,Float_SW_Share,1,1,,Unlock_NPC_00
0,0,0,5,96,-2,NpcFloating,32,36,0,Float_SE_Share,1,1,,Unlock_NPC_00
0,0,0,2,97,14632,NpcEatingExist,16,44,1,Eat_NE_Share,1,1,,Unlock_NPC_00
0,0,0,2,98,5319,NpcFan,32,0,1,FanStand_SW,1,1,p,Unlock_NPC_00
0,0,0,2,99,5319,NpcFan,4,0,1,FanStand_S,1,1,p,Unlock_NPC_00
0,0,0,2,100,5319,NpcFan,32,0,1,FanStand_SE,1,1,p,Unlock_NPC_00
