a6240b90 u32,175969e1 u16,UniqueID,Label,e3cbd090 u8,5b77b7f5 u8,49c2181b u8,f17e7f7e u8,572a8fe9 u8,638d595d u8,a91a1c88 u8,83da3b2a u8
-1,1,34,LE_TodayIs_ThanksGivingDay,0,0,0,0,5,0,0,0
-1,3,35,LE_TodayIs_NnpcBirthday,5,0,0,0,5,0,0,0
-1,8,36,LE_TodayIs_PlayerBirthday,0,0,0,0,5,0,1,0
-1,5,37,LE_WriteBBS,0,0,0,0,5,0,1,0
-1,8,38,LE_MakeMydesign,0,0,0,0,5,0,1,0
-1,1,39,LE_MuseumComplete_Insect,0,0,0,0,5,0,0,0
-1,1,40,LE_MuseumComplete_Fish,0,0,0,0,5,0,0,0
-1,1,41,LE_MuseumComplete_Seafood,0,0,0,0,5,0,0,0
-1,1,42,LE_MuseumComplete_Art,0,0,0,0,5,0,0,0
-1,1,43,LE_MuseumComplete_All,0,0,0,0,5,0,0,0
444,1,44,LE_RegulationOn_Clean,0,0,0,0,5,0,0,0
445,1,45,LE_RegulationOn_Morning,0,0,0,0,5,0,0,0
445,1,46,LE_RegulationOn_Night,0,0,0,0,5,0,0,0
447,1,47,LE_RegulationOn_Money,0,0,0,0,5,0,0,0
-1,1,48,LE_RegulationOff,0,0,0,0,5,0,0,0
-1,8,49,LE_NewPlayerVillager,0,0,0,0,5,0,1,0
-1,7,50,LE_PlayerVillager_MoveIn,0,0,0,0,5,0,1,0
-1,7,51,LE_PlayerVillager_MoveOut,0,0,0,0,5,0,1,0
-1,1,53,LE_CommuneShopBuilt_Slo,0,0,0,0,5,0,0,0
-1,1,54,LE_CommuneShopBuilt_Cml,0,0,0,0,5,0,0,0
-1,1,55,LE_CommuneShopBuilt_Fox,0,0,0,0,5,0,0,0
-1,1,56,LE_CommuneShopBuilt_Bpt,0,0,0,0,5,0,0,0
-1,1,57,LE_CommuneShopBuilt_Skk,0,0,0,0,5,0,0,0
-1,1,58,LE_CommuneShopBuilt_Alp,0,0,0,0,5,0,0,0
-1,1,59,LE_CommuneShopBuilt_TtlA,0,0,0,0,5,0,0,0
-1,1,60,LE_DayRollBack,0,0,0,0,1,0,0,0
-1,1,61,LE_NnpcHouseMove,5,0,0,0,5,0,0,0
-1,1,62,LE_PlayerVillager_HouseMove,0,0,0,0,5,0,1,0
-1,1,63,LE_MuseumComplete_Fossil,0,0,0,0,5,0,0,0
-1,1,64,LE_SlopeBuilt_First,2,0,0,0,5,0,0,0
-1,8,65,LE_PlayerVillager_HouseBuilt,0,0,0,0,5,0,1,0
-1,8,66,LE_PlayerVillager_HouseExpand1,0,0,0,0,5,0,1,0
-1,8,67,LE_PlayerVillager_HouseReform,0,0,0,0,5,0,1,0
-1,8,68,LE_PlayerVillager_HouseExpand2,0,0,0,0,5,0,1,0
-1,8,69,LE_PlayerVillager_HouseExpand3,0,0,0,0,5,0,1,0
-1,8,70,LE_PlayerVillager_HouseExpand4,0,0,0,0,5,0,1,0
-1,8,71,LE_PlayerVillager_HouseExpand5,0,0,0,0,5,0,1,0
-1,8,72,LE_PlayerVillager_HouseExpand6,0,0,0,0,5,0,1,0
-1,1,74,LE_TkkLiveBirthday,0,0,0,0,5,0,0,0
