HouseColor,CustomizeSortID,HouseShapeUniqueID,Material,UniqueID,Dummy,a241524a u8,ModelName
Invalid,425,1,6,45,0,0,HouseRoofNATileG
Invalid,427,1,6,46,0,0,HouseRoofNATileH
Red,21,15,6,47,0,0,HouseRoofPA02StandardA
Invalid,413,1,3,48,0,0,HouseRoofNAMetalB
Invalid,415,1,3,49,0,0,HouseRoofNAMetalC
Invalid,411,1,3,50,0,0,HouseRoofNAMetalD
Invalid,412,1,3,51,0,0,HouseRoofNAMetalE
Invalid,416,1,3,52,0,0,HouseRoofNAMetalF
Invalid,418,1,3,53,0,0,HouseRoofNAMetalG
Invalid,419,1,3,54,0,0,HouseRoofNAMetalH
Invalid,403,1,6,55,0,0,HouseRoofNASlateB
Invalid,402,1,6,56,0,0,HouseRoofNASlateC
Invalid,407,1,6,57,0,0,HouseRoofNASlateD
Invalid,401,1,6,58,0,0,HouseRoofNASlateE
Invalid,405,1,6,59,0,0,HouseRoofNASlateF
Invalid,408,1,6,60,0,0,HouseRoofNASlateG
Invalid,409,1,6,61,0,0,HouseRoofNASlateH
Invalid,528,9,2,62,0,0,HouseRoofNBWoodtileB
Invalid,521,9,2,63,0,0,HouseRoofNBWoodtileC
Invalid,525,9,2,64,0,0,HouseRoofNBWoodtileD
Invalid,524,9,2,65,0,0,HouseRoofNBWoodtileE
Invalid,523,9,2,66,0,0,HouseRoofNBWoodtileF
Invalid,526,9,2,67,0,0,HouseRoofNBWoodtileG
Invalid,530,9,2,68,0,0,HouseRoofNBWoodtileH
Invalid,507,9,2,69,0,0,HouseRoofNBWoodpanelB
Invalid,506,9,2,70,0,0,HouseRoofNBWoodpanelC
Invalid,504,9,2,71,0,0,HouseRoofNBWoodpanelD
Invalid,503,9,2,72,0,0,HouseRoofNBWoodpanelE
Invalid,502,9,2,73,0,0,HouseRoofNBWoodpanelF
Invalid,505,9,2,74,0,0,HouseRoofNBWoodpanelG
Invalid,508,9,2,75,0,0,HouseRoofNBWoodpanelH
Pink,17,14,6,76,0,0,HouseRoofPA01StandardB
Yellow,12,14,6,77,0,0,HouseRoofPA01StandardC
Green,13,14,6,78,0,0,HouseRoofPA01StandardD
LightBlue,14,14,6,79,0,0,HouseRoofPA01StandardE
Blue,15,14,6,80,0,0,HouseRoofPA01StandardF
Purple,16,14,6,81,0,0,HouseRoofPA01StandardG
Black,18,14,6,82,0,0,HouseRoofPA01StandardH
Invalid,533,9,6,83,0,0,HouseRoofNBThatchedB
Invalid,536,9,6,84,0,0,HouseRoofNBThatchedC
Invalid,535,9,6,85,0,0,HouseRoofNBThatchedD
Invalid,537,9,6,86,0,0,HouseRoofNBThatchedE
Invalid,534,9,6,87,0,0,HouseRoofNBThatchedF
Invalid,531,9,6,88,0,0,HouseRoofNBThatchedG
Invalid,538,9,6,89,0,0,HouseRoofNBThatchedH
Invalid,602,10,6,90,0,0,HouseRoofNCJapaneseB
Invalid,601,10,6,91,0,0,HouseRoofNCJapaneseC
Invalid,603,10,6,92,0,0,HouseRoofNCJapaneseD
Invalid,607,10,6,93,0,0,HouseRoofNCJapaneseE
Invalid,605,10,6,94,0,0,HouseRoofNCJapaneseF
Invalid,604,10,6,95,0,0,HouseRoofNCJapaneseG
Invalid,606,10,6,96,0,0,HouseRoofNCJapaneseH
Invalid,615,10,2,97,0,0,HouseRoofNCStoneweightB
Invalid,611,10,2,98,0,0,HouseRoofNCStoneweightC
Invalid,613,10,2,99,0,0,HouseRoofNCStoneweightD
Invalid,614,10,2,100,0,0,HouseRoofNCStoneweightE
Invalid,616,10,2,101,0,0,HouseRoofNCStoneweightF
Invalid,708,13,2,102,0,0,HouseRoofNDWoodB
Invalid,707,13,2,103,0,0,HouseRoofNDWoodC
Invalid,709,13,2,104,0,0,HouseRoofNDWoodD
Invalid,705,13,2,105,0,0,HouseRoofNDWoodE
Invalid,701,13,2,106,0,0,HouseRoofNDWoodF
Invalid,702,13,2,107,0,0,HouseRoofNDWoodG
Invalid,710,13,2,108,0,0,HouseRoofNDWoodH
Invalid,715,13,6,109,0,0,HouseRoofNDStoneB
Invalid,712,13,6,110,0,0,HouseRoofNDStoneC
Invalid,713,13,6,111,0,0,HouseRoofNDStoneD
Invalid,714,13,6,112,0,0,HouseRoofNDStoneE
Invalid,711,13,6,113,0,0,HouseRoofNDStoneF
Invalid,717,13,6,114,0,0,HouseRoofNDStoneG
Invalid,718,13,6,115,0,0,HouseRoofNDStoneH
Invalid,624,10,6,116,0,0,HouseRoofNCThatchedB
Invalid,621,10,6,117,0,0,HouseRoofNCThatchedC
Invalid,623,10,6,118,0,0,HouseRoofNCThatchedD
Invalid,625,10,6,119,0,0,HouseRoofNCThatchedE
Invalid,626,10,6,120,0,0,HouseRoofNCThatchedF
Invalid,721,13,6,121,0,0,HouseRoofNDThatchedB
Invalid,726,13,6,122,0,0,HouseRoofNDThatchedC
Invalid,723,13,6,123,0,0,HouseRoofNDThatchedD
Invalid,725,13,6,124,0,0,HouseRoofNDThatchedE
Invalid,724,13,6,125,0,0,HouseRoofNDThatchedF
Pink,27,15,6,126,0,0,HouseRoofPA02StandardB
Yellow,22,15,6,127,0,0,HouseRoofPA02StandardC
Green,23,15,6,128,0,0,HouseRoofPA02StandardD
LightBlue,24,15,6,129,0,0,HouseRoofPA02StandardE
Blue,25,15,6,130,0,0,HouseRoofPA02StandardF
Purple,26,15,6,131,0,0,HouseRoofPA02StandardG
Black,28,15,6,132,0,0,HouseRoofPA02StandardH
Pink,37,16,6,133,0,0,HouseRoofPA03StandardB
Yellow,32,16,6,134,0,0,HouseRoofPA03StandardC
Green,33,16,6,135,0,0,HouseRoofPA03StandardD
LightBlue,34,16,6,136,0,0,HouseRoofPA03StandardE
Blue,35,16,6,137,0,0,HouseRoofPA03StandardF
Purple,36,16,6,138,0,0,HouseRoofPA03StandardG
Black,38,16,6,139,0,0,HouseRoofPA03StandardH
Yellow,1002,0,6,147,0,0,HouseRoofPA04StandardC
Green,1003,0,6,148,0,0,HouseRoofPA04StandardD
LightBlue,1004,0,6,149,0,0,HouseRoofPA04StandardE
Blue,1005,0,6,150,0,0,HouseRoofPA04StandardF
Purple,1006,0,6,151,0,0,HouseRoofPA04StandardG
Black,1008,0,6,152,0,0,HouseRoofPA04StandardH
Invalid,3006,0,6,153,0,0,HouseRoofPA04StoneB
Invalid,3002,0,6,154,0,0,HouseRoofPA04StoneC
Invalid,3001,0,6,155,0,0,HouseRoofPA04StoneD
Invalid,3004,0,6,156,0,0,HouseRoofPA04StoneE
Invalid,3003,0,6,157,0,0,HouseRoofPA04StoneF
Invalid,3005,0,6,158,0,0,HouseRoofPA04StoneG
Invalid,3008,0,6,159,0,0,HouseRoofPA04StoneH
Invalid,2005,0,6,160,0,0,HouseRoofPA04WesterntileB
Invalid,2002,0,6,161,0,0,HouseRoofPA04WesterntileC
Invalid,2003,0,6,162,0,0,HouseRoofPA04WesterntileD
Invalid,2004,0,6,163,0,0,HouseRoofPA04WesterntileE
Invalid,2007,0,6,164,0,0,HouseRoofPA04WesterntileF
Invalid,2006,0,6,165,0,0,HouseRoofPA04WesterntileG
Invalid,2008,0,6,166,0,0,HouseRoofPA04WesterntileH
Invalid,4007,0,6,167,0,0,HouseRoofPA04ThatchedF
Invalid,4004,0,6,168,0,0,HouseRoofPA04ThatchedG
Invalid,4008,0,6,169,0,0,HouseRoofPA04ThatchedH
Invalid,417,1,3,170,0,0,HouseRoofNAMetalI
Invalid,529,9,2,171,0,0,HouseRoofNBWoodtileI
Invalid,527,9,2,172,0,0,HouseRoofNBWoodtileJ
Invalid,406,1,6,173,0,0,HouseRoofNASlateI
Invalid,706,13,2,174,0,0,HouseRoofNDWoodI
Invalid,704,13,2,175,0,0,HouseRoofNDWoodJ
Invalid,125,20,6,176,0,0,HouseRoofPC04JapaneseA
Invalid,318,8,2,177,0,0,HouseRoofPB04WoodpanelA
Invalid,327,8,3,178,0,0,HouseRoofPB04MetalA
Invalid,112,20,6,179,0,0,HouseRoofPC04OrientalA
Invalid,103,20,6,180,0,0,HouseRoofPC04ThatchedA
Invalid,115,20,6,181,0,0,HouseRoofPC04OrientalB
Invalid,114,20,6,182,0,0,HouseRoofPC04OrientalC
Invalid,111,20,6,183,0,0,HouseRoofPC04OrientalD
Invalid,113,20,6,184,0,0,HouseRoofPC04OrientalE
Invalid,117,20,6,185,0,0,HouseRoofPC04OrientalF
Invalid,116,20,6,186,0,0,HouseRoofPC04OrientalG
Invalid,118,20,6,187,0,0,HouseRoofPC04OrientalH
Invalid,301,8,6,188,0,0,HouseRoofPB04SlateB
Invalid,302,8,6,189,0,0,HouseRoofPB04SlateC
Invalid,307,8,6,190,0,0,HouseRoofPB04SlateD
Invalid,304,8,6,191,0,0,HouseRoofPB04SlateE
Invalid,305,8,6,192,0,0,HouseRoofPB04SlateF
Invalid,306,8,6,193,0,0,HouseRoofPB04SlateG
Invalid,308,8,6,194,0,0,HouseRoofPB04SlateH
Invalid,108,20,6,195,0,0,HouseRoofPC04ThatchedB
Invalid,102,20,6,196,0,0,HouseRoofPC04ThatchedC
Invalid,107,20,6,197,0,0,HouseRoofPC04ThatchedD
Invalid,104,20,6,198,0,0,HouseRoofPC04ThatchedE
Invalid,106,20,6,199,0,0,HouseRoofPC04ThatchedF
Invalid,101,20,6,200,0,0,HouseRoofPC04ThatchedG
Invalid,105,20,6,201,0,0,HouseRoofPC04ThatchedH
Invalid,126,20,6,202,0,0,HouseRoofPC04JapaneseB
Invalid,121,20,6,203,0,0,HouseRoofPC04JapaneseC
Invalid,122,20,6,204,0,0,HouseRoofPC04JapaneseD
Invalid,123,20,6,205,0,0,HouseRoofPC04JapaneseE
Invalid,124,20,6,206,0,0,HouseRoofPC04JapaneseF
Invalid,127,20,6,207,0,0,HouseRoofPC04JapaneseG
Invalid,128,20,6,208,0,0,HouseRoofPC04JapaneseH
Invalid,206,21,2,212,0,0,HouseRoofPD04WoodA
Invalid,216,21,6,213,0,1,HouseRoofPD04StoneA
Invalid,222,21,6,214,0,1,HouseRoofPD04ThatchedA
Invalid,312,8,2,215,0,0,HouseRoofPB04WoodpanelB
Invalid,317,8,2,216,0,0,HouseRoofPB04WoodpanelC
Invalid,311,8,2,217,0,0,HouseRoofPB04WoodpanelD
Invalid,315,8,2,218,0,0,HouseRoofPB04WoodpanelE
Invalid,313,8,2,219,0,0,HouseRoofPB04WoodpanelF
Invalid,314,8,2,220,0,0,HouseRoofPB04WoodpanelG
Invalid,316,8,2,221,0,0,HouseRoofPB04WoodpanelH
Invalid,324,8,3,222,0,0,HouseRoofPB04MetalB
Invalid,323,8,3,223,0,0,HouseRoofPB04MetalC
Invalid,325,8,3,224,0,0,HouseRoofPB04MetalD
Invalid,321,8,3,225,0,0,HouseRoofPB04MetalE
Invalid,322,8,3,226,0,0,HouseRoofPB04MetalF
Invalid,326,8,3,227,0,0,HouseRoofPB04MetalG
Invalid,328,8,3,228,0,0,HouseRoofPB04MetalH
Invalid,221,21,6,229,0,1,HouseRoofPD04ThatchedB
Invalid,226,21,6,230,0,1,HouseRoofPD04ThatchedC
Invalid,225,21,6,231,0,1,HouseRoofPD04ThatchedD
Invalid,227,21,6,232,0,1,HouseRoofPD04ThatchedE
Invalid,228,21,6,233,0,1,HouseRoofPD04ThatchedF
Invalid,223,21,6,234,0,1,HouseRoofPD04ThatchedG
Invalid,224,21,6,235,0,1,HouseRoofPD04ThatchedH
Invalid,207,21,2,236,0,0,HouseRoofPD04WoodB
Invalid,205,21,2,237,0,0,HouseRoofPD04WoodC
Invalid,204,21,2,238,0,0,HouseRoofPD04WoodD
Invalid,202,21,2,239,0,0,HouseRoofPD04WoodE
Invalid,201,21,2,240,0,0,HouseRoofPD04WoodF
Invalid,203,21,2,241,0,0,HouseRoofPD04WoodG
Invalid,208,21,2,243,0,0,HouseRoofPD04WoodH
Invalid,215,21,6,244,0,1,HouseRoofPD04StoneB
Invalid,212,21,6,245,0,1,HouseRoofPD04StoneC
Invalid,213,21,6,246,0,1,HouseRoofPD04StoneD
Invalid,214,21,6,247,0,1,HouseRoofPD04StoneE
Invalid,211,21,6,248,0,1,HouseRoofPD04StoneF
Invalid,217,21,6,249,0,1,HouseRoofPD04StoneG
Invalid,218,21,6,250,0,1,HouseRoofPD04StoneH
