CollisionHeight,InsectParam,Kind,PicIconHeight,BuryItem,BuryItem2,BuryItem3,ChangeFg,DigItem,EffectAttribute,GardenEdit,GrowupFg,NutItem,PicItem,SortID,SoundAttribute,UniqueID,ColorIndex,DebugName,Grow,Label,ModelName,Nature,OffsetAccWeed,ResName
14,None,TreeCedar,0,2802,65534,65534,60528,2802,0,60086,60086,65534,65534,111,0,60087,-1,針葉樹（成長１）,1,PltTreeCedar1,PltTreeCedar1,19,3,PltTreeCedar
18,None,TreeCedar,0,2803,65534,65534,60527,2803,0,60088,60088,65534,65534,112,0,60086,-1,針葉樹（成長２）,2,PltTreeCedar2,PltTreeCedar2,19,3,PltTreeCedar
31.2,None,TreeCedar,0,2804,65534,65534,60526,2804,0,60009,60009,65534,65534,113,0,60088,-1,針葉樹（成長３）,3,PltTreeCedar3,PltTreeCedar3,19,3,PltTreeCedar
40,MatureTreeCedar,TreeCedar,0,2805,65534,65534,60084,2805,0,60084,65534,65534,65534,114,0,60009,-1,針葉樹（成木）,4,PltTreeCedar4,PltTreeCedar4,18,3,PltTreeCedar
4,None,TreeCedarStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,115,0,60528,0,針葉樹（成長１の切り株）,0,PltTreeCedar1Stump,PltTreeCedar1Stump,2,2,PltTreeCedar
4,None,TreeCedarStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,116,0,60527,0,針葉樹（成長２の切り株）,1,PltTreeCedar2Stump,PltTreeCedar2Stump,2,2,PltTreeCedar
4,None,TreeCedarStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,117,0,60526,0,針葉樹（成長３の切り株）,2,PltTreeCedar3Stump,PltTreeCedar3Stump,34,2,PltTreeCedar
5,TreeCedarStump,TreeCedarStump,0,65534,65534,65534,65534,65534,0,60085,65534,65534,65534,118,0,60084,-1,針葉樹（成木の切り株）,3,PltTreeCedar4Stump,PltTreeCedar4Stump,34,2,PltTreeCedar
0,None,TreePalm,0,2806,65534,2288,65534,2806,0,60097,60097,65534,65534,120,0,60095,-1,ヤシの木（苗）,0,PltTreePalm0,PltTreePalm0,129,2,PltTreePalm
6.3,None,TreePalm,0,2807,65534,65534,60536,2807,0,60096,60096,65534,65534,121,0,60097,-1,ヤシの木（成長１）,1,PltTreePalm1,PltTreePalm1,19,3,PltTreePalm
7.2,None,TreePalm,0,2808,65534,65534,60537,2808,0,60098,60098,65534,65534,122,0,60096,-1,ヤシの木（成長２）,2,PltTreePalm2,PltTreePalm2,19,3,PltTreePalm
14,None,TreePalm,0,2809,65534,65534,60538,2809,0,60023,60023,65534,65534,123,0,60098,-1,ヤシの木（成長３）,3,PltTreePalm3,PltTreePalm3,19,3,PltTreePalm
21,MatureTreePalm,TreePalm,0,2810,65534,65534,60094,2810,0,60094,65534,2288,65534,124,0,60023,-1,ヤシの木（成木）,4,PltTreePalm4,PltTreePalm4,22,3,PltTreePalm
3,None,TreePalmStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,125,0,60536,0,ヤシの木（成長１の切り株）,0,PltTreePalm1Stump,PltTreePalm1Stump,2,2,PltTreePalm
3,None,TreePalmStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,126,0,60537,0,ヤシの木（成長２の切り株）,0,PltTreePalm2Stump,PltTreePalm2Stump,2,2,PltTreePalm
3.5,None,TreePalmStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,127,0,60538,0,ヤシの木（成長３の切り株）,0,PltTreePalm3Stump,PltTreePalm3Stump,2,2,PltTreePalm
5.1,TreePalmStump,TreePalmStump,0,65534,65534,65534,65534,65534,0,60095,65534,65534,65534,128,0,60094,-1,ヤシの木（成木の切り株）,0,PltTreePalm4Stump,PltTreePalm4Stump,2,2,PltTreePalm
0,None,TreeBamboo,0,2811,65534,2295,65534,2811,0,60102,60102,65534,65534,130,0,60100,-1,竹（苗）,0,PltTreeBamboo0,PltTreeBamboo0,129,2,PltTreeBamboo
6,None,TreeBamboo,0,2812,65534,65534,60531,2812,0,60101,60101,65534,65534,131,0,60102,-1,竹（成長１）,1,PltTreeBamboo1,PltTreeBamboo1,19,3,PltTreeBamboo
12,None,TreeBamboo,0,2813,65534,65534,60530,2813,0,60103,60103,65534,65534,132,0,60101,-1,竹（成長２）,2,PltTreeBamboo2,PltTreeBamboo2,19,3,PltTreeBamboo
20,None,TreeBamboo,0,2814,65534,65534,60529,2814,0,60022,60022,65534,65534,133,0,60103,-1,竹（成長３）,3,PltTreeBamboo3,PltTreeBamboo3,19,3,PltTreeBamboo
30,None,TreeBamboo,0,2815,65534,65534,60099,2815,0,60099,65534,2295,65534,134,0,60022,-1,竹（成木）,4,PltTreeBamboo4,PltTreeBamboo4,18,3,PltTreeBamboo
7,None,TreeBambooStump,0,65534,65534,65534,65534,65534,0,60100,65534,65534,65534,135,0,60099,-1,竹（成木の切り株）,0,PltTreeBamboo4Stump,PltTreeBamboo4Stump,2,2,PltTreeBamboo
4,None,TreeBambooStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,136,0,60531,0,竹（成長１の切り株）,0,PltTreeBamboo1Stump,PltTreeBamboo1Stump,2,2,PltTreeBamboo
6,None,TreeBambooStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,137,0,60530,0,竹（成長２の切り株）,0,PltTreeBamboo2Stump,PltTreeBamboo2Stump,2,2,PltTreeBamboo
6,None,TreeBambooStump,0,65534,65534,65534,65534,65534,0,65534,65534,65534,65534,138,0,60529,0,竹（成長３の切り株）,0,PltTreeBamboo3Stump,PltTreeBamboo3Stump,2,2,PltTreeBamboo
0,None,TreeFruit,0,3356,65534,2213,65534,3356,0,60368,60368,65534,65534,150,0,60371,0,リンゴの木（苗）,0,PltTreeApple0,PltTreeOak0,129,2,PltTreeOak
12,None,TreeFruit,0,3357,65534,65534,60604,3357,0,60369,60369,65534,65534,151,0,60368,0,リンゴの木（成長１）,1,PltTreeApple1,PltTreeOak1,19,3,PltTreeOak
14.7,None,TreeFruit,0,3358,65534,65534,60605,3358,0,60370,60370,65534,65534,152,0,60369,0,リンゴの木（成長２）,2,PltTreeApple2,PltTreeOak2,19,3,PltTreeOak
25.2,None,TreeFruit,0,3359,65534,65534,60606,3359,0,60001,60001,65534,65534,153,0,60370,0,リンゴの木（成長３）,3,PltTreeApple3,PltTreeOak3,19,3,PltTreeOak
31.5,MatureTreeOak,TreeFruit,0,3360,65534,65534,60607,3360,0,60607,65534,2213,65534,154,0,60001,-1,リンゴの木（成木）,4,PltTreeApple,PltTreeOak4,22,3,PltTreeOak
0,None,TreeFruit,0,3361,65534,2214,65534,3361,0,60361,60361,65534,65534,160,0,60360,0,オレンジの木（苗）,0,PltTreeOrange0,PltTreeOak0,129,2,PltTreeOak
12,None,TreeFruit,0,3362,65534,65534,60604,3362,0,60362,60362,65534,65534,161,0,60361,0,オレンジの木（成長１）,1,PltTreeOrange1,PltTreeOak1,19,3,PltTreeOak
14.7,None,TreeFruit,0,3363,65534,65534,60605,3363,0,60363,60363,65534,65534,162,0,60362,0,オレンジの木（成長２）,2,PltTreeOrange2,PltTreeOak2,19,3,PltTreeOak
25.2,None,TreeFruit,0,3364,65534,65534,60606,3364,0,60002,60002,65534,65534,163,0,60363,0,オレンジの木（成長３）,3,PltTreeOrange3,PltTreeOak3,19,3,PltTreeOak
31.5,MatureTreeOak,TreeFruit,0,3365,65534,65534,60607,3365,0,60607,65534,2214,65534,164,0,60002,-1,オレンジの木（成木）,4,PltTreeOrange,PltTreeOak4,22,3,PltTreeOak
0,None,TreeFruit,0,3366,65534,2285,65534,3366,0,60365,60365,65534,65534,170,0,60364,0,ナシの木（苗）,0,PltTreePear0,PltTreeOak0,129,2,PltTreeOak
12,None,TreeFruit,0,3367,65534,65534,60604,3367,0,60366,60366,65534,65534,171,0,60365,0,ナシの木（成長１）,1,PltTreePear1,PltTreeOak1,19,3,PltTreeOak
14.7,None,TreeFruit,0,3368,65534,65534,60605,3368,0,60367,60367,65534,65534,172,0,60366,0,ナシの木（成長２）,2,PltTreePear2,PltTreeOak2,19,3,PltTreeOak
25.2,None,TreeFruit,0,3369,65534,65534,60606,3369,0,60104,60104,65534,65534,173,0,60367,0,ナシの木（成長３）,3,PltTreePear3,PltTreeOak3,19,3,PltTreeOak
31.5,MatureTreeOak,TreeFruit,0,3370,65534,65534,60607,3370,0,60063,65534,2285,65534,174,0,60104,-1,ナシの木（成木）,4,PltTreePear,PltTreeOak4,22,3,PltTreeOak
0,None,TreeFruit,0,3371,65534,2286,65534,3371,0,60357,60357,65534,65534,180,0,60356,0,モモの木（苗）,0,PltTreePeach0,PltTreeOak0,129,2,PltTreeOak
12,None,TreeFruit,0,3372,65534,65534,60604,3372,0,60358,60358,65534,65534,181,0,60357,0,モモの木（成長１）,1,PltTreePeach1,PltTreeOak1,19,3,PltTreeOak
14.7,None,TreeFruit,0,3373,65534,65534,60605,3373,0,60359,60359,65534,65534,182,0,60358,0,モモの木（成長２）,2,PltTreePeach2,PltTreeOak2,19,3,PltTreeOak
25.2,None,TreeFruit,0,3374,65534,65534,60606,3374,0,60106,60106,65534,65534,183,0,60359,0,モモの木（成長３）,3,PltTreePeach3,PltTreeOak3,19,3,PltTreeOak
31.5,MatureTreeOak,TreeFruit,0,3375,65534,65534,60607,3375,0,60607,65534,2286,65534,184,0,60106,-1,モモの木（成木）,4,PltTreePeach,PltTreeOak4,22,3,PltTreeOak
0,None,TreeFruit,0,3377,65534,2287,65534,3377,0,60355,60355,65534,65534,190,0,60354,0,さくらんぼの木（苗）,0,PltTreeCherry0,PltTreeOak0,129,2,PltTreeOak
12,None,TreeFruit,0,3378,65534,65534,60604,3378,0,60353,60353,65534,65534,191,0,60355,0,さくらんぼの木（成長１）,1,PltTreeCherry1,PltTreeOak1,19,3,PltTreeOak
14.7,None,TreeFruit,0,3379,65534,65534,60605,3379,0,60352,60352,65534,65534,192,0,60353,0,さくらんぼの木（成長２）,2,PltTreeCherry2,PltTreeOak2,19,3,PltTreeOak
25.2,None,TreeFruit,0,3380,65534,65534,60606,3380,0,60105,60105,65534,65534,193,0,60352,0,さくらんぼの木（成長３）,3,PltTreeCherry3,PltTreeOak3,19,3,PltTreeOak
31.5,MatureTreeOak,TreeFruit,0,3381,65534,65534,60607,3381,0,60607,65534,2287,65534,194,0,60105,-1,さくらんぼの木（成木）,4,PltTreeCherry,PltTreeOak4,22,3,PltTreeOak
0,None,BushAzalea,0,12747,2820,65534,65534,12747,0,65534,60112,65534,65534,200,0,60108,0,ツツジ白（苗）,0,PltBushAzalea0White,PltBushAzalea0,129,2,PltBushAzalea
6,None,BushAzalea,0,2860,65534,65534,65534,2860,0,65534,60109,65534,65534,201,0,60112,0,ツツジ白（成長１）,1,PltBushAzalea1White,PltBushAzalea1,3,3,PltBushAzalea
7.8,Bush,BushAzalea,0,65534,65534,65534,65534,2861,0,60107,60107,65534,65534,202,0,60109,0,ツツジ白（成木つぼみ）,2,PltBushAzalea2White,PltBushAzalea2,3,3,PltBushAzalea
7.8,Bush,BushAzalea,0,65534,65534,65534,60111,2861,0,60111,65534,65534,65534,203,0,60107,0,ツツジ白（成木花）,3,PltBushAzalea3White,PltBushAzalea3,2,3,PltBushAzalea
7.8,Bush,BushAzalea,0,2861,65534,65534,65534,2861,0,60109,60109,65534,65534,204,0,60111,0,ツツジ白（成木花なし）,4,PltBushAzalea4White,PltBushAzalea4,3,3,PltBushAzalea
0,None,BushAzalea,0,12748,3786,65534,65534,12748,0,65534,60448,65534,65534,210,0,60449,1,ツツジ桃（苗）,0,PltBushAzalea0Pink,PltBushAzalea0,129,2,PltBushAzalea
6,None,BushAzalea,0,3787,65534,65534,65534,3787,0,65534,60450,65534,65534,211,0,60448,1,ツツジ桃（成長１）,1,PltBushAzalea1Pink,PltBushAzalea1,3,3,PltBushAzalea
7.8,Bush,BushAzalea,0,65534,65534,65534,65534,3788,0,60451,60451,65534,65534,212,0,60450,1,ツツジ桃（成長つぼみ）,2,PltBushAzalea2Pink,PltBushAzalea2,3,3,PltBushAzalea
7.8,Bush,BushAzalea,0,65534,65534,65534,60452,3788,0,60452,65534,65534,65534,213,0,60451,1,ツツジ桃（成木花）,3,PltBushAzalea3Pink,PltBushAzalea3,2,3,PltBushAzalea
7.8,Bush,BushAzalea,0,3788,65534,65534,65534,3788,0,60450,60450,65534,65534,214,0,60452,1,ツツジ桃（成木花なし）,4,PltBushAzalea4Pink,PltBushAzalea4,3,3,PltBushAzalea
0,None,BushHydrangea,0,12749,3798,65534,65534,12749,0,65534,60412,65534,65534,220,0,60409,0,あじさい青（苗）,0,PltBushHydrangea,PltBushHydrangea0,129,2,PltBushHydrangea
6,None,BushHydrangea,0,3799,65534,65534,65534,3799,0,65534,60413,65534,65534,221,0,60412,0,あじさい青（成長１）,1,PltBushHydrangea1Blue,PltBushHydrangea1,3,3,PltBushHydrangea
7.8,Bush,BushHydrangea,0,65534,65534,65534,65534,3800,0,60414,60414,65534,65534,222,0,60413,2,あじさい青（成木つぼみ）,2,PltBushHydrangea2Blue,PltBushHydrangea2,3,3,PltBushHydrangea
7.8,Bush,BushHydrangea,0,65534,65534,65534,60415,3800,0,60415,65534,65534,65534,223,0,60414,0,あじさい青（成木花）,3,PltBushHydrangea3Blue,PltBushHydrangea3,2,3,PltBushHydrangea
7.8,Bush,BushHydrangea,0,3800,65534,65534,65534,3800,0,60413,60413,65534,65534,224,0,60415,0,あじさい青（成木花なし）,4,PltBushHydrangea4Blue,PltBushHydrangea4,3,3,PltBushHydrangea
0,None,BushHydrangea,0,12750,3794,65534,65534,12750,0,65534,60416,65534,65534,230,0,60411,1,あじさい桃（苗）,0,PltBushHydrangea0Pink,PltBushHydrangea0,129,2,PltBushHydrangea
6,None,BushHydrangea,0,3795,65534,65534,65534,3795,0,65534,60417,65534,65534,231,0,60416,1,あじさい桃（成長１）,1,PltBushHydrangea1Pink,PltBushHydrangea1,3,3,PltBushHydrangea
7.8,Bush,BushHydrangea,0,65534,65534,65534,65534,3796,0,60418,60418,65534,65534,232,0,60417,2,あじさい桃（成木つぼみ）,2,PltBushHydrangea2Pink,PltBushHydrangea2,3,3,PltBushHydrangea
7.8,Bush,BushHydrangea,0,65534,65534,65534,60419,3796,0,60419,65534,65534,65534,233,0,60418,1,あじさい桃（成木花）,3,PltBushHydrangea3Pink,PltBushHydrangea3,2,3,PltBushHydrangea
7.8,Bush,BushHydrangea,0,3796,65534,65534,65534,3796,0,60417,60417,65534,65534,234,0,60419,1,あじさい桃（成木花なし）,4,PltBushHydrangea4Pink,PltBushHydrangea4,3,3,PltBushHydrangea
0,None,BushHibiscus,0,12752,3019,65534,65534,12752,0,65534,60117,65534,65534,240,0,60114,0,ハイビスカス赤（苗）,0,PltBushHibiscus0Red,PltBushHibiscus0,129,2,PltBushHibiscus
6,None,BushHibiscus,0,3021,65534,65534,65534,3021,0,65534,60115,65534,65534,241,0,60117,0,ハイビスカス赤（成長１）,1,PltBushHibiscus1Red,PltBushHibiscus1,3,3,PltBushHibiscus
7.8,Bush,BushHibiscus,0,65534,65534,65534,65534,3022,0,60113,60113,65534,65534,242,0,60115,0,ハイビスカス赤（成木つぼみ）,2,PltBushHibiscus2Red,PltBushHibiscus2,3,3,PltBushHibiscus
7.8,Bush,BushHibiscus,0,65534,65534,65534,60116,3022,0,60116,65534,65534,65534,243,0,60113,0,ハイビスカス赤（成木花）,3,PltBushHibiscus3Red,PltBushHibiscus3,2,3,PltBushHibiscus
7.8,Bush,BushHibiscus,0,3022,65534,65534,65534,3022,0,60115,60115,65534,65534,244,0,60116,0,ハイビスカス赤（成木花なし）,4,PltBushHibiscus4Red,PltBushHibiscus4,3,3,PltBushHibiscus
0,None,BushHibiscus,0,12751,3790,65534,65534,12751,0,65534,60454,65534,65534,250,0,60453,1,ハイビスカス黄（苗）,0,PltBushHibiscus0Yellow,PltBushHibiscus0,129,2,PltBushHibiscus
6,None,BushHibiscus,0,3791,65534,65534,65534,3791,0,65534,60455,65534,65534,251,0,60454,1,ハイビスカス黄（成長１）,1,PltBushHibiscus1Yellow,PltBushHibiscus1,3,3,PltBushHibiscus
7.8,Bush,BushHibiscus,0,65534,65534,65534,65534,3792,0,60456,60456,65534,65534,252,0,60455,1,ハイビスカス黄（成木つぼみ）,2,PltBushHibiscus2Yellow,PltBushHibiscus2,3,3,PltBushHibiscus
7.8,Bush,BushHibiscus,0,65534,65534,65534,60457,3792,0,60457,65534,65534,65534,253,0,60456,1,ハイビスカス黄（成木花）,3,PltBushHibiscus3Yellow,PltBushHibiscus3,2,3,PltBushHibiscus
7.8,Bush,BushHibiscus,0,3792,65534,65534,65534,3792,0,60455,60455,65534,65534,254,0,60457,1,ハイビスカス黄（成木花なし）,4,PltBushHibiscus4Yellow,PltBushHibiscus4,3,3,PltBushHibiscus
0,None,BushPlumeria,0,13265,13262,65534,65534,13265,0,65534,60712,65534,65534,260,0,60714,1,プルメリア桃（苗）,0,PltBushPlumeria0Pink,PltBushPlumeria0,129,2,PltBushPlumeria
6,None,BushPlumeria,0,13263,65534,65534,65534,13263,0,65534,60713,65534,65534,261,0,60712,1,プルメリア桃（成長１）,1,PltBushPlumeria1Pink,PltBushPlumeria1,3,3,PltBushPlumeria
7.8,Bush,BushPlumeria,0,65534,65534,65534,65534,13264,0,60711,60711,65534,65534,262,0,60713,1,プルメリア桃（成長つぼみ）,2,PltBushPlumeria2Pink,PltBushPlumeria2,3,3,PltBushPlumeria
7.8,Bush,BushPlumeria,0,65534,65534,65534,60710,13264,0,60710,65534,65534,65534,263,0,60711,1,プルメリア桃（成木花）,3,PltBushPlumeria3Pink,PltBushPlumeria3,2,3,PltBushPlumeria
7.8,Bush,BushPlumeria,0,13264,65534,65534,65534,13264,0,60713,60713,65534,65534,264,0,60710,1,プルメリア桃（成木花なし）,4,PltBushPlumeria4Pink,PltBushPlumeria4,3,3,PltBushPlumeria
0,None,BushPlumeria,0,13351,13348,65534,65534,13351,0,65534,60719,65534,65534,265,0,60718,0,プルメリア白（苗）,0,PltBushPlumeria0White,PltBushPlumeria0,129,2,PltBushPlumeria
6,None,BushPlumeria,0,13349,65534,65534,65534,13349,0,65534,60717,65534,65534,266,0,60719,0,プルメリア白（成長１）,1,PltBushPlumeria1White,PltBushPlumeria1,3,3,PltBushPlumeria
7.8,Bush,BushPlumeria,0,65534,65534,65534,65534,13350,0,60716,60716,65534,65534,267,0,60717,0,プルメリア白（成長つぼみ）,2,PltBushPlumeria2White,PltBushPlumeria2,3,3,PltBushPlumeria
7.8,Bush,BushPlumeria,0,65534,65534,65534,60715,13350,0,60715,65534,65534,65534,268,0,60716,0,プルメリア白（成木花）,3,PltBushPlumeria3White,PltBushPlumeria3,2,3,PltBushPlumeria
7.8,Bush,BushPlumeria,0,13350,65534,65534,65534,13350,0,60717,60717,65534,65534,269,0,60715,0,プルメリア白（成木花なし）,4,PltBushPlumeria4White,PltBushPlumeria4,3,3,PltBushPlumeria
0,None,BushHolly,0,12757,3024,65534,65534,12757,0,65534,60121,65534,65534,270,0,60119,-1,ヒイラギ（苗）,0,PltBushHolly0,PltBushHolly0,129,2,PltBushHolly
6,None,BushHolly,0,3026,65534,65534,65534,3026,0,65534,60120,65534,65534,271,0,60121,-1,ヒイラギ（成長１）,1,PltBushHolly1,PltBushHolly1,3,3,PltBushHolly
7.8,Bush,BushHolly,0,65534,65534,65534,65534,3027,0,60118,60118,65534,65534,272,0,60120,-1,ヒイラギ（成木つぼみ）,2,PltBushHolly2,PltBushHolly2,3,3,PltBushHolly
7.8,Bush,BushHolly,0,65534,65534,65534,60122,3027,0,60122,65534,65534,65534,273,0,60118,-1,ヒイラギ（成木花）,3,PltBushHolly3,PltBushHolly3,2,3,PltBushHolly
7.8,Bush,BushHolly,0,3027,65534,65534,65534,3027,0,60120,60120,65534,65534,274,0,60122,-1,ヒイラギ（成木花なし）,4,PltBushHolly4,PltBushHolly4,3,3,PltBushHolly
0,None,BushOsmathus,0,12753,12476,65534,65534,12753,0,65534,60662,65534,65534,275,0,60664,0,キンモクセイ黄（苗）,0,PltBushOsmathus1Yello,PltBushOsmanthus0,129,2,PltBushOsmanthus
6,None,BushOsmathus,0,12477,65534,65534,65534,12477,0,65534,60663,65534,65534,276,0,60662,0,キンモクセイ黄（成長１）,1,PltBushOsmathus2Yello,PltBushOsmanthus1,3,3,PltBushOsmanthus
7.8,Bush,BushOsmathus,0,65534,65534,65534,65534,12478,0,60661,60661,65534,65534,277,0,60663,0,キンモクセイ黄（成木つぼみ）,2,PltBushOsmathus3Yello,PltBushOsmanthus2,3,3,PltBushOsmanthus
7.8,Bush,BushOsmathus,0,65534,65534,65534,60660,12478,0,60660,65534,65534,65534,278,0,60661,0,キンモクセイ黄（成木花）,3,PltBushOsmathus4Yello,PltBushOsmanthus3,2,3,PltBushOsmanthus
7.8,Bush,BushOsmathus,0,12478,65534,65534,65534,12478,0,60663,60663,65534,65534,279,0,60660,0,キンモクセイ黄（成木花なし）,4,PltBushOsmathus5Yello,PltBushOsmanthus4,3,3,PltBushOsmanthus
0,None,BushOsmathus,0,12754,12480,65534,65534,12754,0,65534,60669,65534,65534,280,0,60668,1,キンモクセイオレンジ（苗）,0,PltBushOsmathus1Orange,PltBushOsmanthus0,129,2,PltBushOsmanthus
6,None,BushOsmathus,0,12481,65534,65534,65534,12481,0,65534,60667,65534,65534,281,0,60669,1,キンモクセイオレンジ（成長１）,1,PltBushOsmathus2Orange,PltBushOsmanthus1,3,3,PltBushOsmanthus
7.8,Bush,BushOsmathus,0,65534,65534,65534,65534,12482,0,60666,60666,65534,65534,282,0,60667,1,キンモクセイオレンジ（成木つぼみ）,2,PltBushOsmathus3Orange,PltBushOsmanthus2,3,3,PltBushOsmanthus
7.8,Bush,BushOsmathus,0,65534,65534,65534,60665,12482,0,60665,65534,65534,65534,283,0,60666,1,キンモクセイオレンジ（成木花）,3,PltBushOsmathus4Orange,PltBushOsmanthus3,2,3,PltBushOsmanthus
7.8,Bush,BushOsmathus,0,12482,65534,65534,65534,12482,0,60667,60667,65534,65534,284,0,60665,1,キンモクセイオレンジ（成木花なし）,4,PltBushOsmathus5Orange,PltBushOsmanthus4,3,3,PltBushOsmanthus
0,None,BushCamellia,0,12755,12487,65534,65534,12755,0,65534,60676,65534,65534,285,0,60674,0,ツバキ赤（苗）,0,PltBushCamellia1Red,PltBushCamellia0,129,2,PltBushCamellia
6,None,BushCamellia,0,12488,65534,65534,65534,12488,0,65534,60677,65534,65534,286,0,60676,0,ツバキ赤（成長１）,1,PltBushCamellia2Red,PltBushCamellia1,3,3,PltBushCamellia
7.8,Bush,BushCamellia,0,65534,65534,65534,65534,12489,0,60678,60678,65534,65534,287,0,60677,0,ツバキ赤（成木つぼみ）,2,PltBushCamellia3Red,PltBushCamellia2,3,3,PltBushCamellia
7.8,Bush,BushCamellia,0,65534,65534,65534,60679,12489,0,60679,65534,65534,65534,288,0,60678,0,ツバキ赤（成木花）,3,PltBushCamellia4Red,PltBushCamellia3,2,3,PltBushCamellia
7.8,Bush,BushCamellia,0,12489,65534,65534,65534,12489,0,60677,60677,65534,65534,289,0,60679,0,ツバキ赤（成木花なし）,4,PltBushCamellia5Red,PltBushCamellia4,3,3,PltBushCamellia
0,None,BushCamellia,0,12756,12490,65534,65534,12756,0,65534,60671,65534,65534,290,0,60670,1,ツバキピンク（苗）,0,PltBushCamellia1Pink,PltBushCamellia0,129,2,PltBushCamellia
6,None,BushCamellia,0,12491,65534,65534,65534,12491,0,65534,60672,65534,65534,291,0,60671,1,ツバキピンク（成長１）,1,PltBushCamellia2Pink,PltBushCamellia1,3,3,PltBushCamellia
7.8,Bush,BushCamellia,0,65534,65534,65534,65534,12492,0,60673,60673,65534,65534,292,0,60672,1,ツバキピンク（成木つぼみ）,2,PltBushCamellia3Pink,PltBushCamellia2,3,3,PltBushCamellia
7.8,Bush,BushCamellia,0,65534,65534,65534,60675,12492,0,60675,65534,65534,65534,293,0,60673,1,ツバキピンク（成木花）,3,PltBushCamellia4Pink,PltBushCamellia3,2,3,PltBushCamellia
7.8,Bush,BushCamellia,0,12492,65534,65534,65534,12492,0,60672,60672,65534,65534,294,0,60675,1,ツバキピンク（成木花なし）,4,PltBushCamellia5Pink,PltBushCamellia4,3,3,PltBushCamellia
0,None,VgtTomato,0,12897,2649,2570,65534,12897,0,65534,60029,65534,65534,300,0,60028,-1,トマト（苗）,0,PltVgtTomato0,PltVgtTomato0,129,0,PltVgtTomato
