PropertyID,UniqueID,Value,Name
10,96,82,カレンダーイベント：花火大会1週目
10,97,83,カレンダーイベント：花火大会2週目
10,98,84,カレンダーイベント：花火大会3週目
10,99,85,カレンダーイベント：花火大会4週目
10,100,86,カレンダーイベント：花火大会5週目
10,101,81,カレンダーイベント：花火大会当日かつ開催前
31,102,1,ゆめみ：ゆめみ先から帰る：1_無音BGM再生
31,103,0,ゆめみ：ゆめみ先から帰る：0_BGM操作解除
32,104,0,ゆめみ：ゆめみ先フィールドBGM：0_BGM操作解除
32,105,1,ゆめみ：ゆめみ先フィールドBGM：1_無音BGM再生
33,106,0,0_アナウンス中ではない
33,107,1,1_アナウンス中
10,108,15,カレンダーイベント：ハロウィン当日
10,109,14,カレンダーイベント：ハロウィン当日かつ開催前
10,112,19,カレンダーイベント：ハーベスト当日かつ開催前
10,113,20,カレンダーイベント：ハーベスト当日
10,115,17,カレンダーイベント：クリスマスイブ
10,116,18,カレンダーイベント：元日
34,117,1,フランクリンの料理デモ：1_料理開始
34,118,0,フランクリンの料理デモ：0_料理終了
10,119,24,カレンダーイベント：カーニバル
35,120,1,ベルリーナのダンスデモ：1_BGM停止
35,121,0,ベルリーナのダンスデモ：0_BGM再開
36,122,1,ラジオ体操：1_再生
36,124,0,ラジオ体操：0_再生しない
12,125,3,ハチ刺され：3_土管に逃亡
37,126,1,商談デモ：1_開始準備
37,127,0,商談デモ：0_終了
38,128,1,舟歌デモ：1_往路Aパート開始
38,129,3,舟歌デモ：3_往路Bパート開始
38,130,0,舟歌デモ：0_舟歌終了
41,131,1,占いデモ：1_再生前待機
41,132,2,占いデモ：2_再生
41,133,3,占いデモ：3_再生後待機
41,134,0,占いデモ：0_停止
38,135,5,舟歌デモ：5_復路Aパート開始
38,136,7,舟歌デモ：7_復路Bパート開始
37,137,2,商談デモ：2_商談中開始
37,138,3,商談デモ：3_商談中終了
37,139,4,商談デモ：4_商談成立開始
37,140,5,商談デモ：5_商談成立終了
37,141,6,商談デモ：6_初回用商談成立開始
42,142,0,DALファンファーレウェアラン用：0_再生しない
42,143,1,DALファンファーレウェアラン用：1_行き
42,144,2,DALファンファーレウェアラン用：2_帰り
43,145,0,OneRoomセレモニー：0_再生しない
43,146,1,OneRoomセレモニー：1_再生
44,147,0,施設エディット導入デモ：0_再生しない
44,148,1,施設エディット導入デモ：1_再生
45,149,0,OneRoom完成デモ：0_再生しない
45,150,1,OneRoom完成デモ：1_別荘用再生
45,151,2,OneRoom完成デモ：2_施設用再生
45,152,3,OneRoom完成デモ：3_施設用シーン遷移して再生
46,153,0,授業イベント：0_再生しない
46,154,1,授業イベント：1_再生
47,155,1,占いデモタイプ：1_占い
47,156,2,占いデモタイプ：2_お祈りお祓い
48,157,0,ハトの巣：0_コーヒーデモ終了
48,158,1,ハトの巣：1_コーヒーデモ開始
49,159,0,受注チュートリアルカメラデモ：0_再生
49,160,1,受注チュートリアルカメラデモ：1_再生待機
50,161,1,コミューン島：1_カットリーヌデモ開始
50,162,0,コミューン島：0_カットリーヌデモ停止
51,163,0,打ち上げデモ：0_再生しない
51,164,1,打ち上げデモ：1_再生準備
52,165,0,タクミの体調不良：0_再生しない
52,166,1,タクミの体調不良：1_再生準備
53,167,0,シェアハウス相談デモ：0_再生しない
53,168,1,シェアハウス相談デモ：1_再生
54,169,0,タクミと飛行場で出会うデモ：0_再生しない
54,170,1,タクミと飛行場で出会うデモ：1_再生準備
55,171,0,環境音デモ：0_無音を解除
55,172,1,環境音デモ：1_無音
55,173,2,環境音デモ：2_BGM開始までのタイミング調整
56,174,0,ジューンブライド会話デモ前：0_フィールドBGM再生
56,175,1,ジューンブライド会話デモ前：1_フィールドBGM停止
57,176,0,リメイクデモ：0_リメイク終了
57,177,1,リメイクデモ：1_リメイク開始
58,178,0,ハトの巣amiibo呼び出しデモ：0_呼び出し完了
58,179,1,ハトの巣amiibo呼び出しデモ：1_呼び出し中
60,180,0,写真撮影の冒頭会話デモ：0_会話終了
60,181,1,写真撮影の冒頭会話デモ：1_会話中
37,182,7,商談デモ：7_シェアハウス
61,183,0,施設エディット完成前：0_遷移なし
61,184,1,施設エディット完成前：1_遷移あり
54,185,2,タクミと飛行場で出会うデモ：2_再生
51,186,2,打ち上げデモ：2_再生
62,187,0,来客デモ：0_再生しない
62,188,1,来客デモ：1_再生準備
62,189,2,来客デモ：2_再生
63,190,0,来客入店デモ：0_再生しない
63,191,1,来客入店デモ：1_再生準備
63,192,2,来客入店デモ：2_再生
52,193,2,タクミの体調不良：2_再生
64,194,0,シェアハウス解散：0_再生しない
64,195,1,シェアハウス解散：1_屋外解散時用のウェイト
64,196,2,シェアハウス解散：2_再生
