HouseDoorStep,CustomizeSortID,9c2d6dc6 u16,HouseShapeUniqueID,UniqueID,LightParamName,ModelName,UseCurtain,UseExteriorLight
Normal,62,3,9,81,HouseWallNBStoneA,HouseWallNBStoneD,1,1
Normal,66,3,9,82,HouseWallNBStoneA,HouseWallNBStoneE,1,1
Normal,61,3,9,83,HouseWallNBStoneA,HouseWallNBStoneF,1,1
Normal,67,3,9,84,HouseWallNBStoneA,HouseWallNBStoneG,1,1
Normal,68,3,9,85,HouseWallNBStoneA,HouseWallNBStoneH,1,1
Normal,76,3,9,86,HouseWallNBLogA,HouseWallNBLogB,1,1
Normal,75,3,9,87,HouseWallNBLogA,HouseWallNBLogC,1,1
Normal,72,3,9,88,HouseWallNBLogA,HouseWallNBLogD,1,1
Normal,71,3,9,89,HouseWallNBLogA,HouseWallNBLogE,1,1
Normal,77,3,9,90,HouseWallNBLogA,HouseWallNBLogF,1,1
Normal,73,3,9,91,HouseWallNBLogA,HouseWallNBLogG,1,1
Normal,78,3,9,92,HouseWallNBLogA,HouseWallNBLogH,1,1
Normal,93,3,10,100,HouseWallNCOrientalB,HouseWallNCOrientalB,1,1
Normal,92,3,10,101,HouseWallNCOrientalC,HouseWallNCOrientalC,1,1
Normal,96,3,10,102,HouseWallNCOrientalD,HouseWallNCOrientalD,1,1
Normal,97,3,10,103,HouseWallNCOrientalE,HouseWallNCOrientalE,1,1
Normal,95,3,10,104,HouseWallNCOrientalF,HouseWallNCOrientalF,1,1
Normal,94,3,10,105,HouseWallNCOrientalG,HouseWallNCOrientalG,1,1
Normal,98,3,10,106,HouseWallNCOrientalH,HouseWallNCOrientalH,1,1
Normal,88,3,10,107,HouseWallNCJapaneseA,HouseWallNCJapaneseB,1,1
Normal,83,3,10,108,HouseWallNCJapaneseA,HouseWallNCJapaneseC,1,1
Normal,81,3,10,109,HouseWallNCJapaneseA,HouseWallNCJapaneseD,1,1
Normal,84,3,10,110,HouseWallNCJapaneseA,HouseWallNCJapaneseE,1,1
Normal,87,3,10,111,HouseWallNCJapaneseA,HouseWallNCJapaneseF,1,1
Normal,85,3,10,112,HouseWallNCJapaneseA,HouseWallNCJapaneseG,1,1
Normal,82,3,10,113,HouseWallNCJapaneseA,HouseWallNCJapaneseH,1,1
Normal,105,3,10,114,HouseWallNCWoodA,HouseWallNCWoodB,1,1
Normal,101,3,10,115,HouseWallNCWoodA,HouseWallNCWoodC,1,1
Normal,103,3,10,116,HouseWallNCWoodA,HouseWallNCWoodD,1,1
Normal,102,3,10,117,HouseWallNCWoodA,HouseWallNCWoodE,1,1
Normal,104,3,10,118,HouseWallNCWoodA,HouseWallNCWoodF,1,1
Normal,107,3,10,119,HouseWallNCWoodA,HouseWallNCWoodG,1,1
Normal,108,3,10,120,HouseWallNCWoodA,HouseWallNCWoodH,1,1
Normal,128,3,13,121,HouseWallNDSoilA,HouseWallNDSoilB,1,1
Normal,127,3,13,122,HouseWallNDSoilA,HouseWallNDSoilC,1,1
Normal,121,3,13,123,HouseWallNDSoilA,HouseWallNDSoilD,1,1
Normal,126,3,13,124,HouseWallNDSoilA,HouseWallNDSoilE,1,1
Normal,125,3,13,125,HouseWallNDSoilA,HouseWallNDSoilF,1,1
Normal,124,3,13,126,HouseWallNDSoilA,HouseWallNDSoilG,1,1
Normal,122,3,13,127,HouseWallNDSoilA,HouseWallNDSoilH,1,1
Normal,116,3,13,128,HouseWallNDStuccoA,HouseWallNDStuccoB,1,1
Normal,112,3,13,129,HouseWallNDStuccoA,HouseWallNDStuccoC,1,1
Normal,115,3,13,130,HouseWallNDStuccoA,HouseWallNDStuccoD,1,1
Normal,118,3,13,131,HouseWallNDStuccoA,HouseWallNDStuccoE,1,1
Normal,113,3,13,132,HouseWallNDStuccoA,HouseWallNDStuccoF,1,1
Normal,111,3,13,133,HouseWallNDStuccoA,HouseWallNDStuccoG,1,1
Normal,114,3,13,134,HouseWallNDStuccoA,HouseWallNDStuccoH,1,1
Normal,132,3,13,135,HouseWallNDWoodA,HouseWallNDWoodB,1,1
Normal,133,3,13,136,HouseWallNDWoodA,HouseWallNDWoodC,1,1
Normal,136,3,13,137,HouseWallNDWoodA,HouseWallNDWoodD,1,1
Normal,131,3,13,138,HouseWallNDWoodA,HouseWallNDWoodE,1,1
Normal,134,3,13,139,HouseWallNDWoodA,HouseWallNDWoodF,1,1
Normal,135,3,13,140,HouseWallNDWoodA,HouseWallNDWoodG,1,1
Normal,138,3,13,141,HouseWallNDWoodA,HouseWallNDWoodH,1,1
Normal,4002,3,0,142,HouseWallPA04WoodframeA,HouseWallPA04WoodframeF,1,1
Normal,4006,3,0,143,HouseWallPA04WoodframeA,HouseWallPA04WoodframeG,1,1
Normal,4008,3,0,144,HouseWallPA04WoodframeA,HouseWallPA04WoodframeH,1,1
Normal,2007,3,0,145,HouseWallPA04StoneA,HouseWallPA04StoneB,1,1
Normal,2005,3,0,146,HouseWallPA04StoneA,HouseWallPA04StoneC,1,1
Normal,2001,3,0,147,HouseWallPA04StoneA,HouseWallPA04StoneD,1,1
Normal,2002,3,0,148,HouseWallPA04StoneA,HouseWallPA04StoneE,1,1
Normal,2004,3,0,149,HouseWallPA04StoneA,HouseWallPA04StoneF,1,1
Normal,2003,3,0,150,HouseWallPA04StoneA,HouseWallPA04StoneG,1,1
Normal,2008,3,0,151,HouseWallPA04StoneA,HouseWallPA04StoneH,1,1
Normal,1006,6,0,152,HouseWallPA04StuccoA,HouseWallPA04StuccoB,1,1
Normal,1003,6,0,153,HouseWallPA04StuccoA,HouseWallPA04StuccoC,1,1
Normal,1001,6,0,154,HouseWallPA04StuccoA,HouseWallPA04StuccoD,1,1
Normal,1004,6,0,155,HouseWallPA04StuccoA,HouseWallPA04StuccoE,1,1
Normal,1002,6,0,156,HouseWallPA04StuccoA,HouseWallPA04StuccoF,1,1
Normal,1005,6,0,157,HouseWallPA04StuccoA,HouseWallPA04StuccoG,1,1
Normal,1008,6,0,158,HouseWallPA04StuccoA,HouseWallPA04StuccoH,1,1
Normal,3007,3,0,159,HouseWallPA04StandardA,HouseWallPA04StandardD,1,1
Normal,3004,3,0,160,HouseWallPA04StandardA,HouseWallPA04StandardE,1,1
Normal,3006,3,0,161,HouseWallPA04StandardA,HouseWallPA04StandardF,1,1
Normal,3001,3,0,162,HouseWallPA04StandardA,HouseWallPA04StandardG,1,1
Normal,3008,3,0,163,HouseWallPA04StandardA,HouseWallPA04StandardH,1,1
Normal,47,3,1,164,HouseWallNAMetalA,HouseWallNAMetalA,1,1
Normal,46,3,1,165,HouseWallNAMetalA,HouseWallNAMetalB,1,1
Normal,41,3,1,166,HouseWallNAMetalA,HouseWallNAMetalC,1,1
Normal,45,3,1,167,HouseWallNAMetalA,HouseWallNAMetalD,1,1
Normal,44,3,1,168,HouseWallNAMetalA,HouseWallNAMetalE,1,1
Normal,42,3,1,169,HouseWallNAMetalA,HouseWallNAMetalF,1,1
Normal,43,3,1,170,HouseWallNAMetalA,HouseWallNAMetalG,1,1
Normal,48,3,1,171,HouseWallNAMetalA,HouseWallNAMetalH,1,1
Normal,23,3,1,172,HouseWallNAWoodsidingA,HouseWallNAWoodsidingI,1,1
Normal,24,3,1,173,HouseWallNAWoodsidingA,HouseWallNAWoodsidingJ,1,1
Normal,302,3,20,174,HouseWallPC04JapaneseA,HouseWallPC04JapaneseA,0,1
Normal,224,3,8,175,HouseWallPB04LogA,HouseWallPB04LogA,1,1
Normal,201,3,8,176,HouseWallPB04BrickA,HouseWallPB04BrickA,1,1
Normal,311,3,20,177,HouseWallPC04OrientalA,HouseWallPC04OrientalA,0,1
Normal,325,3,20,178,HouseWallPC04StoneA,HouseWallPC04StoneA,0,1
Normal,215,3,8,179,HouseWallPB04WoodsidngA,HouseWallPB04WoodsidngB,1,1
Normal,213,3,8,180,HouseWallPB04WoodsidngA,HouseWallPB04WoodsidngC,1,1
Normal,211,3,8,181,HouseWallPB04WoodsidngA,HouseWallPB04WoodsidngD,1,1
Normal,214,3,8,182,HouseWallPB04WoodsidngA,HouseWallPB04WoodsidngE,1,1
Normal,212,3,8,183,HouseWallPB04WoodsidngA,HouseWallPB04WoodsidngF,1,1
Normal,217,3,8,184,HouseWallPB04WoodsidngA,HouseWallPB04WoodsidngG,1,1
Normal,218,3,8,185,HouseWallPB04WoodsidngA,HouseWallPB04WoodsidngH,1,1
Normal,312,3,20,186,HouseWallPC04OrientalA,HouseWallPC04OrientalB,0,1
Normal,318,3,20,187,HouseWallPC04OrientalA,HouseWallPC04OrientalC,0,1
Normal,315,3,20,188,HouseWallPC04OrientalA,HouseWallPC04OrientalD,0,1
Normal,316,3,20,189,HouseWallPC04OrientalA,HouseWallPC04OrientalE,0,1
Normal,314,3,20,190,HouseWallPC04OrientalA,HouseWallPC04OrientalF,0,1
Normal,313,3,20,191,HouseWallPC04OrientalA,HouseWallPC04OrientalG,0,1
Normal,319,3,20,192,HouseWallPC04OrientalA,HouseWallPC04OrientalH,0,1
Normal,226,3,8,193,HouseWallPB04LogA,HouseWallPB04LogB,1,1
Normal,225,3,8,194,HouseWallPB04LogA,HouseWallPB04LogC,1,1
Normal,222,3,8,195,HouseWallPB04LogA,HouseWallPB04LogD,1,1
Normal,221,3,8,196,HouseWallPB04LogA,HouseWallPB04LogE,1,1
Normal,227,3,8,197,HouseWallPB04LogA,HouseWallPB04LogF,1,1
Normal,223,3,8,198,HouseWallPB04LogA,HouseWallPB04LogG,1,1
Normal,228,3,8,199,HouseWallPB04LogA,HouseWallPB04LogH,1,1
Normal,326,3,20,200,HouseWallPC04StoneB,HouseWallPC04StoneB,0,1
Normal,321,3,20,201,HouseWallPC04StoneC,HouseWallPC04StoneC,0,1
Normal,324,3,20,202,HouseWallPC04StoneD,HouseWallPC04StoneD,0,1
Normal,323,3,20,203,HouseWallPC04StoneE,HouseWallPC04StoneE,0,1
Normal,322,3,20,204,HouseWallPC04StoneF,HouseWallPC04StoneF,0,1
Normal,328,3,20,205,HouseWallPC04StoneG,HouseWallPC04StoneG,0,1
Normal,327,3,20,206,HouseWallPC04StoneH,HouseWallPC04StoneH,0,1
Normal,208,3,8,207,HouseWallPB04BrickA,HouseWallPB04BrickB,1,1
Normal,207,3,8,208,HouseWallPB04BrickA,HouseWallPB04BrickC,1,1
Normal,202,3,8,209,HouseWallPB04BrickA,HouseWallPB04BrickD,1,1
Normal,205,3,8,210,HouseWallPB04BrickA,HouseWallPB04BrickE,1,1
Normal,206,3,8,211,HouseWallPB04BrickA,HouseWallPB04BrickF,1,1
Normal,204,3,8,212,HouseWallPB04BrickA,HouseWallPB04BrickG,1,1
Normal,203,3,8,213,HouseWallPB04BrickA,HouseWallPB04BrickH,1,1
Normal,304,3,20,214,HouseWallPC04JapaneseA,HouseWallPC04JapaneseB,0,1
Normal,303,3,20,215,HouseWallPC04JapaneseA,HouseWallPC04JapaneseC,0,1
Normal,301,3,20,216,HouseWallPC04JapaneseA,HouseWallPC04JapaneseD,0,1
Normal,305,3,20,217,HouseWallPC04JapaneseA,HouseWallPC04JapaneseE,0,1
Normal,307,3,20,218,HouseWallPC04JapaneseA,HouseWallPC04JapaneseF,0,1
Normal,306,3,20,219,HouseWallPC04JapaneseA,HouseWallPC04JapaneseG,0,1
Normal,308,3,20,220,HouseWallPC04JapaneseA,HouseWallPC04JapaneseH,0,1
Normal,427,3,21,221,HouseWallPD04WoodA,HouseWallPD04WoodA,1,1
Normal,407,3,21,222,HouseWallPD04StuccoA,HouseWallPD04StuccoA,1,1
Normal,412,3,21,223,HouseWallPD04SoilA,HouseWallPD04SoilA,1,1
Normal,422,3,21,224,HouseWallPD04WoodA,HouseWallPD04WoodB,1,1
Normal,424,3,21,225,HouseWallPD04WoodA,HouseWallPD04WoodC,1,1
Normal,426,3,21,226,HouseWallPD04WoodA,HouseWallPD04WoodD,1,1
Normal,421,3,21,227,HouseWallPD04WoodA,HouseWallPD04WoodE,1,1
Normal,423,3,21,228,HouseWallPD04WoodA,HouseWallPD04WoodF,1,1
Normal,425,3,21,229,HouseWallPD04WoodA,HouseWallPD04WoodG,1,1
Normal,428,3,21,230,HouseWallPD04WoodA,HouseWallPD04WoodH,1,1
Normal,406,3,21,231,HouseWallPD04StuccoA,HouseWallPD04StuccoB,1,1
Normal,402,3,21,232,HouseWallPD04StuccoA,HouseWallPD04StuccoC,1,1
Normal,405,3,21,233,HouseWallPD04StuccoA,HouseWallPD04StuccoD,1,1
Normal,408,3,21,234,HouseWallPD04StuccoA,HouseWallPD04StuccoE,1,1
Normal,403,3,21,235,HouseWallPD04StuccoA,HouseWallPD04StuccoF,1,1
Normal,401,3,21,236,HouseWallPD04StuccoA,HouseWallPD04StuccoG,1,1
Normal,404,3,21,237,HouseWallPD04StuccoA,HouseWallPD04StuccoH,1,1
Normal,417,3,21,238,HouseWallPD04SoilA,HouseWallPD04SoilB,1,1
Normal,416,3,21,239,HouseWallPD04SoilA,HouseWallPD04SoilC,1,1
Normal,411,3,21,240,HouseWallPD04SoilA,HouseWallPD04SoilD,1,1
Normal,415,3,21,241,HouseWallPD04SoilA,HouseWallPD04SoilE,1,1
Normal,414,3,21,242,HouseWallPD04SoilA,HouseWallPD04SoilF,1,1
Normal,413,3,21,243,HouseWallPD04SoilA,HouseWallPD04SoilG,1,1
Normal,418,3,21,244,HouseWallPD04SoilA,HouseWallPD04SoilH,1,1
