DefaultValue,MaxValue,UniqueID,3dad9135 u8,3c7fb88f u8,FlagsFlowAccess,Key,Name
0,1,93,0,1,2,FoxEnterBalloon,つねきち|入店時バルーンを出した
0,1,94,0,1,2,FoxExitBalloon,つねきち|退店時バルーンを出した
0,1,95,0,0,2,WHEREAREN_DocMainEreaFirstTalkDone,OneRoom|ロドリー|メインエリア到着強制会話済
0,1,96,0,0,2,XctTalkMayDayTourNow,みしらぬネコ|メーデーツアーで会話した？
0,1,97,0,0,2,DocMayDayTourFirstTalkDone,ロドリー|メーデーツアー到着強制会話済
0,1,98,0,0,2,WHEREAREN_MncCheck_Bridge,OneRoom|ニコ桟橋領域監視
0,1,99,0,1,2,RcmCantPlayTalkActingThisScene,まめきち｜シーン入場時に会話のフリをしなかったらON
0,1,100,0,1,2,TalkSpecialMakeNow,今ClothesP（特殊メイク）を見た
0,1,101,0,0,2,WHEREAREN_CameraDemoReserve,OneRoom|納品カメラデモ予約
0,1,102,0,0,2,DodDreamTalk,モーリー|夢の中で会話したか？（夢離脱時にロールバック）
0,1,103,0,0,1,InJuneBrideStudio,ジューンブライド|ジューンブライド専用ステージ内か？
0,1,104,0,1,2,MyDesignExchangeCallMyIdList,マイデザイン交換端末|このシーンで自身のID一覧を取得したか？
0,1,105,0,0,2,WHEREAREN_ResortPlannerFromSmartphone,OneRoom|スマホアプリからリゾートプランナーを起動したか？
0,1,106,0,1,2,TalkPresentNow,今FreeI_Presentを見た
0,1,107,0,0,1,SincerityTowel,まごころぞうきん、装備中
0,1,108,0,1,2,AirportTripListError,飛行場|おでかけ先リスト画面での通信エラー発生
0,1,109,0,0,2,WHEREAREN_GetDrink,OneRoom|ドリンクを貰った
0,1,110,0,0,0,IsJuneBrideCeremonyDemo,ジューンブライド|結婚式セレモニーデモ中か？
0,9,111,0,1,2,FreeISelectCount,FreeI会話|報酬を再抽選した回数
0,1,112,0,1,0,ShopPlayerInNextGoto,ショップ|NextGotoを踏んだか？
0,1,113,0,0,2,WHEREAREN_ResortPlanner_InspectHouse,OneRoom|リゾートプランナーからNPC家を視察
0,1,114,0,0,2,EnterSceneByMydesignShowcaseApp,マイデザインショーケース| アプリからのシーン遷移かどうか？
0,64,115,0,0,2,AlwJuneBrideDayScoreCount,リサ/ジューンブライド|もらえるあいのけっしょう数用カウント
0,1,116,0,1,2,PublicAnnounceDiveFish,島内放送|今日泳ぎ系のニュースをした？
0,4,117,0,0,2,DocHintMayDayTour,ロドリー|メーデーツアーの謎解きヒント用カウント
0,1,118,0,0,2,AlwJuneBrideSitDownFlag,リサ/ジューンブライド|座っているときの受け渡しした？
0,1,119,0,0,2,AlwJuneBrideBouquetFlag,リサ/ジューンブライド|ブーケしまった？
0,1,120,0,1,2,PublicAnnounceEarthDayToday,島内放送|今日アースデーのニュースをした？
0,1,121,1,1,2,AlwJuneBridePartyEndFlag,リサ/ジューンブライド|パーティ終わる場合の会話聞いた
0,1,122,0,1,2,RecommendDIYtrialMayDay,たぬきち/メーデー|DIY体験会を受けるように勧められた
0,3,123,0,1,2,FoxCheckArtCount,つねきち|チェックした美術品の数
0,1,124,0,1,2,SzaChristmasHintMessage,しずえ|クリスマスのヒントメッセージを出した？
0,1,125,0,0,0,IsJuneBrideDemoSitStart,ジューンブライド|座り状態でセレモニーデモ開始したか？
0,1,126,0,0,2,WHEREAREN_CameraDemoSkip,OneRoom|納品カメラデモスキップ
0,1,127,0,0,2,WHEREAREN_MncTalkReserve_House,OneRoom|ニコ強制会話予約（家）
0,1,130,0,0,2,WHEREAREN_CallSNPCAmiibo,OneRoom|amiiboの新築営業でSNPCを呼んだ
0,1,131,0,0,2,WHEREAREN_DoctorEventStart,OneRoom|医者イベント開始したか
0,1,132,0,0,2,WHEREAREN_LessonEventStart,OneRoom|授業イベント開始したか
0,1,134,0,0,2,WHEREAREN_CookTalkedNow,OneRoom|料理長と初会話した
0,1,136,0,0,2,WHEREAREN_ChocolateDemoReserve,OneRoom|チョコレート勧誘デモ予約
0,1,137,0,0,2,WHEREAREN_EnterSceneByResortStudyApp,OneRoom|リゾートスタディーアプリからのシーン遷移かどうか？
0,4,138,0,0,2,WHEREAREN_ReceptionFlag,OneRoom|病院の受付フラグ
0,1,139,0,0,2,WHEREAREN_OtgTalkReserve_FrontFacility,OneRoom|施設前(メインエリア)タクミへの強制会話予約
0,1,141,0,0,2,WHEREAREN_IsSequenceFirstKKFes,OneRoom|初回けけフェスシーケンス中か？
0,1,142,0,0,2,WHREAREN_IsFacilityEndDemoTakePicture,OneRoom|施設完成デモ撮影シーケンス中か？
0,2,143,0,0,2,WHEREAREN_PartyPlace,Oneroom|打ち上げデモ会場フラグ
0,1,144,0,0,2,WHREAREN_IsFacilityEndDemoCeremony,OneRoom|施設完成デモセレモニー中か？
0,1,145,0,0,2,WHREAREN_ResrotPlanner_IsSignIn,OneRoom|リゾプラ起動後一度でもサインインに成功したか？
0,2,146,0,0,2,CafeTalkSitdown,喫茶ハトの巣|座り会話制御用
0,1,147,0,1,2,WHREAREN_TakeOrderAfter,OneRoom|受注チュートリアルデモ直後か
0,1,148,0,0,2,WHEREAREN_IsPartyPlaceInFacility,OneRoom|カフェ・レストランで打ち上げパーティをするか？
0,1,149,1,1,2,PgeCoolFlag,マスター|冷ました？
0,1,150,1,1,2,PgeAddMilkFlag,マスター|ミルク入れた？
0,1,151,1,1,2,PgeMultiFlag,マスター|複数人で同時に飲んだ？
0,1,152,0,0,2,WHREAREN_ResrotPlanner_GetPickUp,OneRoom|リゾプラ起動後一度でもピックアップとタイムラインを取得したか？
0,3,153,0,0,2,SpnCheckPlace,パニエルの配置位置を保存
0,1,154,0,0,2,WHEREAREN_SloTalkedNow,OneRoom｜島でレイジと会話した
0,1,155,0,0,2,WHEREAREN_ChmTalkedNow,OneRoom｜島でカメヤマさんと会話した
0,4,157,0,0,2,PooCheckPlace,カットリーヌの配置位置を保存
0,1,158,0,1,2,KppTalkSceneFlag,かっぺい|このシーンで会話した？
0,3,159,0,0,2,WHEREAREN_OperationFlag,OneRoom｜施術フラグ
0,1,160,0,1,2,TalkSpotSPNowAnyone,今、誰かにSpotSPを聞いたか？
0,12,162,1,1,1,CafeSitdownSeatIndex,喫茶ハトの巣|プレイヤーが座ってる座席番号
0,2,163,0,0,2,WHEREAREN_MncTalkReserve_AfterCompleteDemo,OneRoom|NPC別荘の完成デモ後の会話予約
0,3,164,0,0,2,RadioGymnasticsLastLeaderSpNpc,前回のラジオ体操でリーダーに選ばれたNPC
0,1,165,0,0,2,CafeInvitingTwins,ハトの巣|まめつぶセットで呼んだ
0,1,166,0,0,2,CefeInvitingTakumiStuff,ハトの巣|タクミ・ニコ・ナッティーセットを呼んだ
0,1,167,0,0,2,WHEREAREN_ManTalkReserve_Inspect,OneRoom|ナッティー強制会話予約（視察）
0,1,168,0,1,2,PhotoStudioDoorClose,撮影スタジオの入場不可か？
0,1,169,0,0,2,WHEREAREN_ResortPlannerFromMyPage,OneRoom|マイページからの視察か？
0,1,170,0,1,2,ShopCheckCeilingFtrNonLicense,お店｜もようがえPROライセンスなしに天井家具をチェックした
0,1,171,0,1,2,GstTalkHoleChat,ゆうたろう|穴ぼこ会話した？
0,1,172,0,0,2,ClearVirtualRoom,リゾスタ：部屋クリア処理フラグ
0,1,173,1,0,2,WHEREAREN_MainIslandLandingDemo,OneRoom|メイン島着陸デモか？
0,1,174,0,0,2,WHEREAREN_ResortPlanner_IsFollowUpdated,OneRoom|フォローリストに更新はあるか？
0,1,175,1,1,2,WHEREAREN_SeaTalkedNow,OneRoom|海NPCと会話した
0,1,176,1,1,2,CafeNpcTakeoutPrepare,ハトの巣|NPCのテイクアウトコーヒー準備中か？
0,1,177,0,1,2,CommuneTalkSitDown,コミューン島|座り会話制御用
0,5,178,0,1,2,OwlGetPosterCount,フータ/博物館ポスター|このシーケンスでもらうポスターの数
0,1,179,0,1,2,PooStylingThisScene,カットリーヌ｜施術した直後（髪型が施術後のまま）か？
0,1,181,0,0,2,XctDoneAmiiboConv,メーデー｜amiibo会話終えたか？
0,5,182,0,1,2,OwlSellPosterCount,フータ/博物館ポスター|購入が解禁されているポスターの数
0,1,183,0,0,2,WHEREAREN_NeedSaveAfterUserRegist,OneRoom|UserRegistの後にAutoSaveが必要か？
0,1,184,0,0,2,XctBanAmiiboConv,メーデー｜amiibo会話終えた直後か？
0,1,185,0,0,2,WHEREAREN_ResortPlannerFromNPC,OneRoom|NPCとの会話からリゾートプランナーを起動したか？
0,1,186,0,1,2,DocSpnExpandEventAfterJuneBride,ロドリー｜ジューンブライド初回Ev後にコミューン拡張Evが発生してるとき会話したか？
0,1,187,0,0,2,WHEREAREN_TeacherTalkedNow,OneRoom｜先生と初会話した
0,2,188,0,0,2,WHEREAREN_TeacherFlag,OneRoom｜学校の先生フラグ
0,2,189,0,1,2,WHEREAREN_PartyEndFlag,OneRoom｜打ち上げデモ終了判定フラグ
0,1,191,0,0,2,WHEREAREN_NeedsInspectReply,OneRoom｜見学後に評価の送信が必要か？
0,1,192,0,0,2,MysteryTourNotInviteFlag,ミステリーツアー|勧誘会話をキャンセルした？
