DoorDecoZOffset,HouseDoorAnim,HouseDoorShape,CustomizeSortID,Material,UniqueID,DecoForbidden,Dummy,HasDoorWindow,LatchBolt,ModelName
0,Knob,Square,905,2,41,0,0,1,1,HouseDoorIronGrillCS
0,Knob,Square,906,2,42,0,0,1,1,HouseDoorIronGrillDS
0,Knob,Square,908,2,43,0,0,1,1,HouseDoorIronGrillES
0,Knob,Square,909,2,44,0,0,1,1,HouseDoorIronGrillFS
0,Knob,Round,904,2,45,0,0,1,1,HouseDoorIronGrillBR
0,Knob,Round,905,2,46,0,0,1,1,HouseDoorIronGrillCR
0,Knob,Round,906,2,47,0,0,1,1,HouseDoorIronGrillDR
0,Knob,Round,908,2,48,0,0,1,1,HouseDoorIronGrillER
0,Knob,Round,909,2,49,0,0,1,1,HouseDoorIronGrillFR
0,Knob,Square,1406,2,50,0,0,0,1,HouseDoorCarvingBS
0,Knob,Square,1401,2,51,0,0,0,1,HouseDoorCarvingCS
0,Knob,Square,1404,2,52,0,0,0,1,HouseDoorCarvingDS
0,Knob,Square,1403,2,53,0,0,0,1,HouseDoorCarvingES
0,Knob,Round,1406,2,54,0,0,0,1,HouseDoorCarvingBR
0,Knob,Round,1401,2,55,0,0,0,1,HouseDoorCarvingCR
0,Knob,Round,1404,2,56,0,0,0,1,HouseDoorCarvingDR
0,Knob,Round,1403,2,57,0,0,0,1,HouseDoorCarvingER
0,Knob,Square,902,2,58,0,0,1,1,HouseDoorIronGrillGS
0,Knob,Round,902,2,59,0,0,1,1,HouseDoorIronGrillGR
0,Knob,Square,910,2,60,0,0,1,1,HouseDoorIronGrillHS
0,Knob,Round,910,2,61,0,0,1,1,HouseDoorIronGrillHR
0.11,KnobRotate,Square,703,2,62,0,0,1,1,HouseDoorVerticalWindowBS
0.11,KnobRotate,Square,706,2,63,0,0,1,1,HouseDoorVerticalWindowCS
0.11,KnobRotate,Square,707,2,64,0,0,1,1,HouseDoorVerticalWindowDS
0.11,KnobRotate,Square,704,2,65,0,0,1,1,HouseDoorVerticalWindowES
0.11,KnobRotate,Square,701,2,66,0,0,1,1,HouseDoorVerticalWindowFS
0.11,KnobRotate,Square,709,2,67,0,0,1,1,HouseDoorVerticalWindowGS
0.11,KnobRotate,Square,710,2,68,0,0,1,1,HouseDoorVerticalWindowHS
0.11,KnobRotate,Round,703,2,69,0,0,1,1,HouseDoorVerticalWindowBR
0.11,KnobRotate,Round,706,2,70,0,0,1,1,HouseDoorVerticalWindowCR
0.11,KnobRotate,Round,707,2,71,0,0,1,1,HouseDoorVerticalWindowDR
0.11,KnobRotate,Round,704,2,72,0,0,1,1,HouseDoorVerticalWindowER
0.11,KnobRotate,Round,701,2,73,0,0,1,1,HouseDoorVerticalWindowFR
0.11,KnobRotate,Round,709,2,74,0,0,1,1,HouseDoorVerticalWindowGR
0.11,KnobRotate,Round,710,2,75,0,0,1,1,HouseDoorVerticalWindowHR
0.13,Knob,Square,401,2,76,0,0,0,1,HouseDoorReliefBS
0.13,Knob,Square,407,2,77,0,0,0,1,HouseDoorReliefCS
0.13,Knob,Square,405,2,78,0,0,0,1,HouseDoorReliefDS
0.13,Knob,Square,403,2,79,0,0,0,1,HouseDoorReliefES
0.13,Knob,Square,406,2,80,0,0,0,1,HouseDoorReliefFS
0.13,Knob,Square,409,2,81,0,0,0,1,HouseDoorReliefGS
0.13,Knob,Square,410,2,82,0,0,0,1,HouseDoorReliefHS
0.13,Knob,Round,401,2,83,0,0,0,1,HouseDoorReliefBR
0.13,Knob,Round,407,2,84,0,0,0,1,HouseDoorReliefCR
0.13,Knob,Round,405,2,85,0,0,0,1,HouseDoorReliefDR
0.13,Knob,Round,403,2,86,0,0,0,1,HouseDoorReliefER
0.13,Knob,Round,406,2,87,0,0,0,1,HouseDoorReliefFR
0.13,Knob,Round,409,2,88,0,0,0,1,HouseDoorReliefGR
0.13,Knob,Round,410,2,89,0,0,0,1,HouseDoorReliefHR
0.19,KnobRotate,Square,1101,2,90,0,0,0,1,HouseDoorIronpartsBS
0.19,KnobRotate,Square,1104,2,91,0,0,0,1,HouseDoorIronpartsCS
0.19,KnobRotate,Square,1103,2,92,0,0,0,1,HouseDoorIronpartsDS
0.19,KnobRotate,Square,1106,2,93,0,0,0,1,HouseDoorIronpartsES
0.19,KnobRotate,Square,1108,2,94,0,0,0,1,HouseDoorIronpartsFS
0.19,KnobRotate,Square,1105,2,95,0,0,0,1,HouseDoorIronpartsGS
0.19,KnobRotate,Square,1107,2,96,0,0,0,1,HouseDoorIronpartsHS
0.19,KnobRotate,Round,1101,2,97,0,0,0,1,HouseDoorIronpartsBR
0.19,KnobRotate,Round,1104,2,98,0,0,0,1,HouseDoorIronpartsCR
0.19,KnobRotate,Round,1103,2,99,0,0,0,1,HouseDoorIronpartsDR
0.19,KnobRotate,Round,1106,2,100,0,0,0,1,HouseDoorIronpartsER
0.19,KnobRotate,Round,1108,2,101,0,0,0,1,HouseDoorIronpartsFR
0.19,KnobRotate,Round,1105,2,102,0,0,0,1,HouseDoorIronpartsGR
0.19,KnobRotate,Round,1107,2,103,0,0,0,1,HouseDoorIronpartsHR
0,Knob,Square,201,2,132,0,0,0,1,HouseDoorSimpleBS
0,Knob,Square,207,2,133,0,0,0,1,HouseDoorSimpleCS
0,Knob,Square,203,2,134,0,0,0,1,HouseDoorSimpleDS
0,Knob,Square,205,2,135,0,0,0,1,HouseDoorSimpleES
0,Knob,Square,202,2,136,0,0,0,1,HouseDoorSimpleFS
0,Knob,Square,208,2,137,0,0,0,1,HouseDoorSimpleGS
0,Knob,Square,204,2,138,0,0,0,1,HouseDoorSimpleHS
0,Knob,Round,201,2,139,0,0,0,1,HouseDoorSimpleBR
0,Knob,Round,207,2,140,0,0,0,1,HouseDoorSimpleCR
0,Knob,Round,203,2,141,0,0,0,1,HouseDoorSimpleDR
0,Knob,Round,205,2,142,0,0,0,1,HouseDoorSimpleER
0,Knob,Round,202,2,143,0,0,0,1,HouseDoorSimpleFR
0,Knob,Round,208,2,144,0,0,0,1,HouseDoorSimpleGR
0,Knob,Round,204,2,145,0,0,0,1,HouseDoorSimpleHR
0,Knob,Square,1204,2,146,0,0,0,0,HouseDoorJapaneseBS
0,Knob,Square,1203,2,147,0,0,0,0,HouseDoorJapaneseCS
0,Knob,Square,1201,2,148,0,0,0,0,HouseDoorJapaneseDS
0,Knob,Square,1206,2,149,0,0,0,0,HouseDoorJapaneseES
0,Knob,Square,1207,2,150,0,0,0,0,HouseDoorJapaneseFS
0,Knob,Round,1204,2,151,0,0,0,0,HouseDoorJapaneseBR
0,Knob,Round,1203,2,152,0,0,0,0,HouseDoorJapaneseCR
0,Knob,Round,1201,2,153,0,0,0,0,HouseDoorJapaneseDR
0,Knob,Round,1206,2,154,0,0,0,0,HouseDoorJapaneseER
0,Knob,Round,1207,2,155,0,0,0,0,HouseDoorJapaneseFR
0,Knob,Square,802,2,156,0,0,1,0,HouseDoorLatticeBS
0,Knob,Square,801,2,157,0,0,1,0,HouseDoorLatticeCS
0,Knob,Square,804,2,158,0,0,1,0,HouseDoorLatticeDS
0,Knob,Square,807,2,159,0,0,1,0,HouseDoorLatticeES
0,Knob,Square,805,2,160,0,0,1,0,HouseDoorLatticeFS
0,Knob,Square,806,2,161,0,0,1,0,HouseDoorLatticeGS
0,Knob,Square,808,2,162,0,0,1,0,HouseDoorLatticeHS
0,Knob,Round,802,2,163,0,0,1,0,HouseDoorLatticeBR
0,Knob,Round,801,2,164,0,0,1,0,HouseDoorLatticeCR
0,Knob,Round,804,2,165,0,0,1,0,HouseDoorLatticeDR
0,Knob,Round,807,2,166,0,0,1,0,HouseDoorLatticeER
0,Knob,Round,805,2,167,0,0,1,0,HouseDoorLatticeFR
0,Knob,Round,806,2,168,0,0,1,0,HouseDoorLatticeGR
0,Knob,Round,808,2,169,0,0,1,0,HouseDoorLatticeHR
0,KnobRotate,Square,505,2,170,0,0,1,1,HouseDoorCercleWindowBS
0,KnobRotate,Square,503,2,171,0,0,1,1,HouseDoorCercleWindowCS
0,KnobRotate,Square,508,2,172,0,0,1,1,HouseDoorCercleWindowDS
0,KnobRotate,Square,507,2,173,0,0,1,1,HouseDoorCercleWindowES
0,KnobRotate,Square,506,2,174,0,0,1,1,HouseDoorCercleWindowFS
0,KnobRotate,Square,502,2,175,0,0,1,1,HouseDoorCercleWindowGS
0,KnobRotate,Square,510,2,176,0,0,1,1,HouseDoorCercleWindowHS
0,KnobRotate,Round,505,2,177,0,0,1,1,HouseDoorCercleWindowBR
0,KnobRotate,Round,503,2,178,0,0,1,1,HouseDoorCercleWindowCR
0,KnobRotate,Round,508,2,179,0,0,1,1,HouseDoorCercleWindowDR
0,KnobRotate,Round,507,2,180,0,0,1,1,HouseDoorCercleWindowER
0,KnobRotate,Round,506,2,181,0,0,1,1,HouseDoorCercleWindowFR
0,KnobRotate,Round,502,2,182,0,0,1,1,HouseDoorCercleWindowGR
0,KnobRotate,Round,510,2,183,0,0,1,1,HouseDoorCercleWindowHR
0,Knob,Square,1205,2,184,0,0,0,0,HouseDoorJapaneseGS
0,Knob,Round,1205,2,185,0,0,0,0,HouseDoorJapaneseGR
0.32,Knob,Square,109,2,186,0,0,0,0,HouseDoorSimplicityBS
0.32,Knob,Square,102,2,187,0,0,0,0,HouseDoorSimplicityCS
0.32,Knob,Square,110,2,188,0,0,0,0,HouseDoorSimplicityDS
0.32,Knob,Square,101,2,189,0,0,0,0,HouseDoorSimplicityES
0.32,Knob,Square,106,2,190,0,0,0,0,HouseDoorSimplicityFS
0.32,Knob,Square,105,2,191,0,0,0,0,HouseDoorSimplicityGS
0.32,Knob,Square,108,2,192,0,0,0,0,HouseDoorSimplicityHS
0.32,Knob,Round,109,2,193,0,0,0,0,HouseDoorSimplicityBR
0.32,Knob,Round,102,2,194,0,0,0,0,HouseDoorSimplicityCR
0.32,Knob,Round,110,2,195,0,0,0,0,HouseDoorSimplicityDR
0.32,Knob,Round,101,2,196,0,0,0,0,HouseDoorSimplicityER
0.32,Knob,Round,106,2,197,0,0,0,0,HouseDoorSimplicityFR
0.32,Knob,Round,105,2,198,0,0,0,0,HouseDoorSimplicityGR
0.32,Knob,Round,108,2,199,0,0,0,0,HouseDoorSimplicityHR
0,Knob,Square,1003,2,200,0,0,1,0,HouseDoorChineseBS
0,Knob,Square,1001,2,201,0,0,1,0,HouseDoorChineseCS
0,Knob,Square,1005,2,202,0,0,1,0,HouseDoorChineseDS
0,Knob,Square,1006,2,203,0,0,1,0,HouseDoorChineseES
0,Knob,Square,1002,2,204,0,0,1,0,HouseDoorChineseFS
0,Knob,Square,1007,2,205,0,0,1,0,HouseDoorChineseGS
0,Knob,Square,1008,2,206,0,0,1,0,HouseDoorChineseHS
0,Knob,Round,1003,2,207,0,0,1,0,HouseDoorChineseBR
0,Knob,Round,1001,2,208,0,0,1,0,HouseDoorChineseCR
0,Knob,Round,1005,2,209,0,0,1,0,HouseDoorChineseDR
0,Knob,Round,1006,2,210,0,0,1,0,HouseDoorChineseER
0,Knob,Round,1002,2,211,0,0,1,0,HouseDoorChineseFR
0,Knob,Round,1007,2,212,0,0,1,0,HouseDoorChineseGR
0,Knob,Round,1008,2,213,0,0,1,0,HouseDoorChineseHR
0,KnobRotate,Square,603,2,221,0,0,1,1,HouseDoorWindowBS
0,KnobRotate,Square,601,2,222,0,0,1,1,HouseDoorWindowCS
0,KnobRotate,Square,605,2,223,0,0,1,1,HouseDoorWindowDS
0,KnobRotate,Square,607,2,224,0,0,1,1,HouseDoorWindowES
0,KnobRotate,Square,606,2,225,0,0,1,1,HouseDoorWindowFS
0,KnobRotate,Square,604,2,226,0,0,1,1,HouseDoorWindowGS
0,KnobRotate,Square,610,2,227,0,0,1,1,HouseDoorWindowHS
0,KnobRotate,Round,603,2,228,0,0,1,1,HouseDoorWindowBR
0,KnobRotate,Round,601,2,229,0,0,1,1,HouseDoorWindowCR
0,KnobRotate,Round,605,2,230,0,0,1,1,HouseDoorWindowDR
0,KnobRotate,Round,607,2,231,0,0,1,1,HouseDoorWindowER
0,KnobRotate,Round,606,2,232,0,0,1,1,HouseDoorWindowFR
0,KnobRotate,Round,604,2,233,0,0,1,1,HouseDoorWindowGR
0,KnobRotate,Round,610,2,234,0,0,1,1,HouseDoorWindowHR
0,Knob,Square,1301,3,235,0,0,0,0,HouseDoorIronBS
0,Knob,Square,1304,3,236,0,0,0,0,HouseDoorIronCS
0,Knob,Square,1302,3,237,0,0,0,0,HouseDoorIronDS
0,Knob,Square,1303,3,238,0,0,0,0,HouseDoorIronES
0,Knob,Square,1305,3,239,0,0,0,0,HouseDoorIronFS
0,Knob,Square,1307,3,240,0,0,0,0,HouseDoorIronGS
0,Knob,Square,1306,3,241,0,0,0,0,HouseDoorIronHS
0,Knob,Round,1301,3,242,0,0,0,0,HouseDoorIronBR
0,Knob,Round,1304,3,243,0,0,0,0,HouseDoorIronCR
0,Knob,Round,1302,3,244,0,0,0,0,HouseDoorIronDR
0,Knob,Round,1303,3,245,0,0,0,0,HouseDoorIronER
0,Knob,Round,1305,3,246,0,0,0,0,HouseDoorIronFR
0,Knob,Round,1307,3,247,0,0,0,0,HouseDoorIronGR
0,Knob,Round,1306,3,248,0,0,0,0,HouseDoorIronHR
0,KnobRotate,Square,303,2,249,0,0,0,1,HouseDoorStandardBS
0,KnobRotate,Square,301,2,250,0,0,0,1,HouseDoorStandardCS
0,KnobRotate,Square,305,2,251,0,0,0,1,HouseDoorStandardDS
0,KnobRotate,Square,307,2,252,0,0,0,1,HouseDoorStandardES
0,KnobRotate,Square,306,2,253,0,0,0,1,HouseDoorStandardFS
0,KnobRotate,Square,304,2,254,0,0,0,1,HouseDoorStandardGS
0,KnobRotate,Square,310,2,255,0,0,0,1,HouseDoorStandardHS
0,KnobRotate,Round,303,2,256,0,0,0,1,HouseDoorStandardBR
0,KnobRotate,Round,301,2,257,0,0,0,1,HouseDoorStandardCR
0,KnobRotate,Round,305,2,258,0,0,0,1,HouseDoorStandardDR
0,KnobRotate,Round,307,2,259,0,0,0,1,HouseDoorStandardER
0,KnobRotate,Round,306,2,260,0,0,0,1,HouseDoorStandardFR
0,KnobRotate,Round,304,2,261,0,0,0,1,HouseDoorStandardGR
0,KnobRotate,Round,310,2,262,0,0,0,1,HouseDoorStandardHR
0.13,Knob,Square,404,2,263,0,0,0,1,HouseDoorReliefIS
0.13,Knob,Round,404,2,264,0,0,0,1,HouseDoorReliefIR
0.13,Knob,Square,408,2,265,0,0,0,1,HouseDoorReliefJS
0.13,Knob,Round,408,2,266,0,0,0,1,HouseDoorReliefJR
0,Knob,Square,1402,2,267,0,0,0,1,HouseDoorCarvingFS
0,Knob,Round,1402,2,268,0,0,0,1,HouseDoorCarvingFR
0,KnobRotate,Square,509,2,269,0,0,1,1,HouseDoorCercleWindowIS
0,KnobRotate,Round,509,2,270,0,0,1,1,HouseDoorCercleWindowIR
0,KnobRotate,Square,504,2,271,0,0,1,1,HouseDoorCercleWindowJS
0,KnobRotate,Round,504,2,272,0,0,1,1,HouseDoorCercleWindowJR
0.11,KnobRotate,Square,708,2,273,0,0,1,1,HouseDoorVerticalWindowIS
0.11,KnobRotate,Round,708,2,274,0,0,1,1,HouseDoorVerticalWindowIR
0.11,KnobRotate,Square,705,2,275,0,0,1,1,HouseDoorVerticalWindowJS
0.11,KnobRotate,Round,705,2,276,0,0,1,1,HouseDoorVerticalWindowJR
0,KnobRotate,Square,609,2,277,0,0,1,1,HouseDoorWindowIS
0,KnobRotate,Round,609,2,278,0,0,1,1,HouseDoorWindowIR
0,KnobRotate,Square,608,2,279,0,0,1,1,HouseDoorWindowJS
0,KnobRotate,Round,608,2,280,0,0,1,1,HouseDoorWindowJR
0,KnobRotate,Square,309,2,281,0,0,0,1,HouseDoorStandardIS
0,KnobRotate,Round,309,2,282,0,0,0,1,HouseDoorStandardIR
0,KnobRotate,Square,308,2,283,0,0,0,1,HouseDoorStandardJS
0,KnobRotate,Round,308,2,284,0,0,0,1,HouseDoorStandardJR
0.32,Knob,Square,107,2,285,0,0,0,0,HouseDoorSimplicityIS
0.32,Knob,Round,107,2,286,0,0,0,0,HouseDoorSimplicityIR
0.32,Knob,Square,104,2,287,0,0,0,0,HouseDoorSimplicityJS
0.32,Knob,Round,104,2,288,0,0,0,0,HouseDoorSimplicityJR
0,Knob,Square,901,2,289,0,0,1,1,HouseDoorIronGrillIS
0,Knob,Round,901,2,290,0,0,1,1,HouseDoorIronGrillIR
0,Knob,Square,907,2,291,0,0,1,1,HouseDoorIronGrillJS
0,Knob,Round,907,2,292,0,0,1,1,HouseDoorIronGrillJR
