EmoticonTool,LowerSetting,UISortID,UniqueID,9f5123d4 u8,d5217761 u8,AsCommand,CancelFootSE,CancelFootprint,Comment,DisableEmoticon,Misc,MoveAs,ToolAsCommand
None,DisableOnlyLowerBody,205,41,3,255,MaReQuestionMark,0,0,【漫符】はて？,0,30,0,
None,DisableOnlyLowerBody,210,34,3,255,MaReAha,0,0,【漫符】あっ！,0,30,0,
None,DisableOnlyLowerBody,220,33,3,255,MaReShocked,0,0,【漫符】驚／ハッ！,0,30,0,
None,DisableOnlyLowerBody,230,40,3,255,MaReIdeaBulb,0,0,【漫符】ひらめき,0,30,0,
None,DisableOnlyLowerBody,240,36,3,255,MaReSurprised,1,0,【漫符】ガーン！,0,30,0,
None,DisableOnlyLowerBody,250,59,2,255,MaReOops,0,0,【漫符】しまった！,0,30,0,
None,DisableOnlyLowerBody,310,44,3,255,MaReBlushing,0,0,【漫符】テレる,0,30,0,
None,DisableOnlyLowerBody,330,57,3,255,MaReHesitate,1,0,【漫符】もじもじ,0,30,0,
None,DisableOnlyLowerBody,340,54,3,255,MaReWrySmile,0,0,【漫符】苦笑,0,30,0,
None,DisableOnlyLowerBody,350,53,3,255,MaReGrin,0,0,【漫符】ニヤリ,0,30,0,
None,DisableOnlyLowerBody,360,46,3,255,MaReScheming,1,0,【漫符】悪巧み,0,30,0,
None,DisableOnlyLowerBody,370,45,2,255,MaReOhGeez,1,0,【漫符】ヤレヤレ…,0,30,0,
None,DisableOnlyLowerBody,375,61,3,255,MaReAbsentMindedness,0,0,【漫符】妄想中,0,30,0,
None,DisableOnlyLowerBody,380,29,3,255,MaReThinking,1,0,【漫符】悩／ムー,0,30,0,
None,DisableOnlyLowerBody,390,43,3,255,MaReSleepy,0,0,【漫符】ねぼけ,0,30,0,
None,DisableOnlyLowerBody,395,63,3,255,MaReSleep,0,0,【漫符】立ち寝,0,30,0,
None,DisableOnlyLowerBody,500,27,3,255,MaReWorried,0,0,【漫符】こまる,0,30,0,
None,DisableOnlyLowerBody,540,28,3,255,MaReSighing,0,0,【漫符】ため息,0,30,0,
None,DisableOnlyLowerBody,550,30,3,255,MaReSadSpiral,0,0,【漫符】落ち込む,0,30,0,
None,DisableOnlyLowerBody,560,42,3,255,MaReBrokenHeart,0,0,【漫符】失恋,0,30,0,
None,DisableOnlyLowerBody,580,32,3,255,MaReCrying,0,0,【漫符】号泣,0,30,0,
None,DisableOnlyLowerBody,600,119,3,255,MaReSilent,0,0,【漫符】ジロッ,0,30,0,
None,DisableOnlyLowerBody,610,25,3,255,MaReOutraged,0,0,【漫符】怒／ムカッ,0,30,0,
None,DisableOnlyLowerBody,700,37,3,255,MaReColdChill,0,0,【漫符】ヒュー,0,30,0,
None,DisableOnlyLowerBody,705,31,3,255,MaReFrantic,0,0,【漫符】あせる,0,30,0,
None,DisableOnlyLowerBody,710,38,3,255,MaReShaking,0,0,【漫符】ブルブル…,0,30,0,
None,DisableOnlyLowerBody,720,48,3,255,MaReSneezing,0,0,【漫符】くしゃみ,0,30,0,
None,DisableOnlyLowerBody,10000,24,3,255,MaReAngry,0,0,【漫符】不機嫌／ムッ,0,30,0,
None,DisableOnlyLowerBody,10000,26,3,255,MaReFuming,0,0,【漫符】激怒／プンプン！,0,30,0,
None,DisableOnlyLowerBody,10000,35,3,255,MaReTakenAback,0,0,【漫符】ひく／エッ？！,0,30,0,
None,DisableOnlyLowerBody,10000,52,3,255,MaReHot,0,0,【漫符】暑い,0,30,0,
None,DisableOnlyLowerBody,10000,55,3,255,MaReFaintSmile,0,0,【漫符】微笑,0,30,0,
None,DisableOnlyLowerBody,10000,56,3,255,MaReBigSmile,0,0,【漫符】ニカッ！,0,30,0,
None,DisableOnlyLowerBody,10000,121,3,255,MaReConfused,1,0,【漫符】しどろもどろ,0,30,0,
None,DisableOnlyLowerBody,10000,122,3,255,MaReShyBoy,0,0,【漫符】ポリポリ,0,30,0,
None,DisableOnlyLowerBody,10000,123,3,255,MaReRestless,1,0,【漫符】まごまご,0,30,0,
None,DisableOnlyLowerBody,10000,124,3,255,MaReSerious,0,0,【漫符】真顔,0,30,0,
None,DisableOnlyLowerBody,10000,125,3,255,MaReEh,0,0,【漫符】えっ？,0,30,0,
None,DisableOnlyLowerBody,10000,128,3,255,MaReExplain,0,0,【漫符】説明する,0,30,0,
None,DisableOnlyLowerBody,20000,801,3,255,MaReAddScaring,0,0,【漫符】【追加】こわがらせる,0,30,0,
None,DisableOnlyLowerBody,20000,805,3,255,MaReAddPrank,0,0,【漫符】【追加】おどかす,0,30,0,
None,EnableOnlyLowerBody_GroundSit,21000,808,3,255,MaReAddSitDown,0,0,【漫符】【追加】地べたに座る,6,30,0,
None,DisableOnlyLowerBody,21001,809,2,255,MaReAddWaveHands,0,0,【漫符】【追加】手を振る,0,30,0,
SmartPhone,DisableOnlyLowerBody,21002,815,0,255,MaReAddTakePictures,0,0,【漫符】【追加】スマホで写真をとる,0,30,0,
None,DisableOnlyLowerBody,21003,814,3,255,MaReAddSmell,0,0,【漫符】【追加】においをかぐ,0,30,0,
None,DisableOnlyLowerBody,21004,804,3,255,MaReAddGymnastics,0,0,【漫符】【追加】体操する,0,30,0,
None,DisableOnlyLowerBody,21005,802,3,255,MaReAddYoga,0,0,【漫符】【追加】ヨガする,0,30,0,
None,DisableOnlyLowerBody,21010,816,2,255,MaReAddHereYouGo,0,0,【漫符】【追加】これどうぞ,0,30,0,
None,DisableOnlyLowerBody,21011,813,3,255,MaReAddExcited,0,0,【漫符】【追加】わくわくする,0,30,0,
None,DisableOnlyLowerBody,21012,817,2,255,MaReAddPraise,0,0,【漫符】【追加】褒める,0,30,0,
None,DisableOnlyLowerBody,21013,848,2,255,MaReAddConfetti,1,0,【漫符】【追加】紙吹雪,0,30,0,
None,DisableOnlyLowerBody,21013,851,2,255,MaReAddViva,0,0,【漫符】【追加】ビバ,0,30,0,
None,DisableOnlyLowerBody,21013,855,2,255,MaReAddEntice,0,0,【漫符】【追加】のせる,0,30,0,
None,DisableOnlyLowerBody,21013,856,3,255,MaReAddDance,0,0,【漫符】【追加】おどり,0,30,0,
None,DisableOnlyLowerBody,21051,993,3,255,MaReAddRadioGymnastics01,0,0,【漫符】【追加】ラジオ体操、振付1,0,30,0,
None,DisableOnlyLowerBody,21052,994,3,255,MaReAddRadioGymnastics02,0,0,【漫符】【追加】ラジオ体操、振付2,0,30,0,
None,DisableOnlyLowerBody,21053,995,3,255,MaReAddRadioGymnastics03,0,0,【漫符】【追加】ラジオ体操、振付3,0,30,0,
None,DisableOnlyLowerBody,21054,996,3,255,MaReAddRadioGymnastics04,0,0,【漫符】【追加】ラジオ体操、振付4,0,30,0,
None,DisableOnlyLowerBody,21055,997,3,255,MaReAddRadioGymnastics05,0,0,【漫符】【追加】ラジオ体操、振付5,0,30,0,
None,DisableOnlyLowerBody,21056,998,3,255,MaReAddRadioGymnastics06,0,0,【漫符】【追加】ラジオ体操、振付6,0,30,0,
None,DisableOnlyLowerBody,21057,999,3,255,MaReAddRadioGymnastics07,0,0,【漫符】【追加】ラジオ体操、振付7,0,30,0,
None,DisableOnlyLowerBody,21061,1114,3,255,MaReAddGreetingBothHands,0,0,【漫符】【追加】両手挨拶,0,30,0,
None,DisableOnlyLowerBody,21062,1100,3,255,MaReAddStretch,0,0,【漫符】【追加】伸びをする,0,30,0,
None,DisableOnlyLowerBody,21063,1097,3,255,MaReAddRhythm,1,0,【漫符】【追加】うたをきく,0,30,0,
None,DisableOnlyLowerBody,21064,1103,3,255,MaReAddListen,0,0,【漫符】【追加】聞き入る,0,30,0,
None,DisableOnlyLowerBody,21065,879,3,255,MaReRequestWillingness,0,0,【漫符】【追加】デモ決めポーズ(両手広げ),0,30,0,
None,DisableOnlyLowerBody,21066,1099,3,255,MaReAddRequestLook,0,0,【漫符】【追加】ご覧ください,0,30,0,
None,DisableOnlyLowerBody,21067,917,3,255,MaReRequestOkay,0,0,【漫符】【追加】デモ決めポーズ(がんばる),0,30,0,
None,DisableOnlyLowerBody,21068,1102,3,255,MaReAddMusclePose,0,0,【漫符】【追加】マッスルポーズ,0,30,0,
None,DisableOnlyLowerBody,21069,806,3,255,MaReAddPoseCool,0,0,【漫符】【追加】きめきめポーズ,0,30,0,
None,DisableOnlyLowerBody,21070,807,3,255,MaReAddPoseNaturel,0,0,【漫符】【追加】しなやかポーズ,0,30,0,
None,DisableOnlyLowerBody,21071,1098,3,255,MaReAddHula,0,0,【漫符】【追加】フラダンス,0,30,0,
None,DisableOnlyLowerBody,21081,1101,3,255,MaReAddKKFesUpper,0,0,【漫符】【追加】リズムに乗る：上,0,30,0,
None,DisableOnlyLowerBody,21082,1105,3,255,MaReAddKKFesRight,0,0,【漫符】【追加】リズムに乗る：右,0,30,0,
None,DisableOnlyLowerBody,21083,1106,3,255,MaReAddKKFesLeft,0,0,【漫符】【追加】リズムに乗る：左,0,30,0,
None,DisableOnlyLowerBody,21084,1107,3,255,MaReAddKKFesLower,0,0,【漫符】【追加】リズムに乗る：浴びる,0,30,0,
None,DisableOnlyLowerBody,21085,1110,3,255,MaReAddKKFesPosing05,0,0,【漫符】【追加】ポーズをとる05,0,30,0,
None,DisableOnlyLowerBody,21086,1111,3,255,MaReAddKKFesPosing04,0,0,【漫符】【追加】ポーズをとる04,0,30,0,
None,DisableOnlyLowerBody,21087,1109,3,255,MaReAddKKFesPosing01,0,0,【漫符】【追加】ポーズをとる01,0,30,0,
None,DisableOnlyLowerBody,21088,1108,3,255,MaReAddKKFesPosing02,0,0,【漫符】【追加】ポーズをとる02,0,30,0,
None,DisableOnlyLowerBody,21089,1104,3,255,MaReAddKKFesPosing00,0,0,【漫符】【追加】ポーズをとる00,0,30,0,
None,DisableOnlyLowerBody,21090,1113,3,255,MaReAddKKFesPosing06,0,0,【漫符】【追加】ポーズをとる06,0,30,0,
None,DisableOnlyLowerBody,21091,1112,3,255,MaReAddKKFesPosing03,0,0,【漫符】【追加】ポーズをとる03,0,30,0,
None,DisableOnlyLowerBody,50000,18,3,255,MaReEmotEnd,0,0,【漫符】解除,0,30,0,
None,DisableOnlyLowerBody,50000,249,2,255,DeliveryMrHand,0,0,【漫符】受け渡し補助用両手アニメ,0,0,0,
None,DisableOnlyLowerBody,65535,1,7,255,,0,0,なし,0,0,0,
None,DisableOnlyLowerBody,65535,2,0,255,PlayerToolChangeOn,1,1,Player:道具変更(つける),0,6,0,
None,DisableOnlyLowerBody,65535,3,3,255,PlayerOutfitChange,1,1,Player:装備変更(からだ),0,0,0,
None,DisableOnlyLowerBody,65535,4,2,255,PlayerPickupWait,0,0,Player:拾う待機,0,0,0,
None,DisableOnlyLowerBody,65535,5,2,255,PlayerPickup,0,0,Player:拾う,0,0,0,
None,DisableOnlyLowerBody,65535,6,0,255,CommonToolPutaway,0,0,道具しまう,0,28,0,
None,DisableOnlyLowerBody,65535,7,0,255,CommonToolPullout,0,0,道具取り出す,0,20,0,
None,DisableOnlyLowerBody,65535,9,3,255,PlayerMenuWait,0,0,Player:メニューウェイト,0,20,0,
None,DisableOnlyLowerBody,65535,10,2,255,PlayerEat,0,0,Player:食べる,0,30,0,
None,DisableOnlyLowerBody,65535,11,0,255,PlayerLinecarReady,0,0,Player:道造成、準備,0,0,0,
None,DisableOnlyLowerBody,65535,12,0,255,PlayerLinecarReadyWait,0,0,Player:道造成、準備後待機,0,0,0,
None,DisableOnlyLowerBody,65535,13,0,255,PlayerLinecarAction,1,0,Player:道造成、アクション,0,0,0,
None,DisableOnlyLowerBody,65535,14,7,255,CommonStandWait,1,0,立ちウェイト,0,0,0,
None,EnableOnlyLowerBody_Sit,65535,15,7,255,CommonSitWait,0,0,座りウェイト,0,0,0,
None,EnableOnlyLowerBody_Bed,65535,16,5,255,CommonBedWait,0,0,ベッドウェイト,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,17,3,255,CommonSwimWait,1,0,泳ぎウェイト,0,0,0,
None,DisableOnlyLowerBody,65535,66,0,255,PlayerScoopReady,0,0,Player:スコップ準備(振りかぶり),0,0,0,
None,DisableOnlyLowerBody,65535,67,0,255,PlayerScoopReadyWait,0,0,Player:スコップ振りかぶり後、待機,0,0,0,
None,DisableOnlyLowerBody,65535,68,0,255,PlayerScoopDig,0,0,Player:スコップ掘る,0,0,0,
None,DisableOnlyLowerBody,65535,69,0,255,PlayerScoopBury,0,0,Player:スコップ埋める,0,0,0,
None,DisableOnlyLowerBody,65535,70,0,255,PlayerToolAirshot,0,0,Player:道具空振り,0,0,0,
None,DisableOnlyLowerBody,65535,71,0,255,PlayerToolReflect,0,0,Player:道具跳ね返り,0,0,0,
None,DisableOnlyLowerBody,65535,72,0,255,PlayerToolBreak,0,0,Player:道具壊れる,0,0,0,
None,DisableOnlyLowerBody,65535,73,0,255,PlayerToolCancel,0,0,Player:道具キャンセル,0,0,0,
None,DisableOnlyLowerBody,65535,74,3,255,PlayerJumpValleyReady,0,0,Player:溝飛び越え準備,0,0,0,
None,DisableOnlyLowerBody,65535,75,3,255,PlayerJumpValleyReadyWait,0,0,Player:溝飛び越え準備、待機,0,0,0,
None,DisableOnlyLowerBody,65535,76,3,255,PlayerJumpValley,1,1,Player:溝飛び越え,0,0,0,
None,DisableOnlyLowerBody,65535,77,3,255,PlayerJumpValleyCancel,0,0,Player:溝飛び越え、キャンセル,0,0,0,
None,DisableOnlyLowerBody,65535,81,3,255,PlayerWait,0,0,Player:プレイヤ待機(Wait),0,0,0,
None,DisableOnlyLowerBody,65535,82,0,255,CommonToolHand,0,0,道具持ちアニメ,0,0,0,
None,DisableOnlyLowerBody,65535,83,2,255,PlayerShow,0,0,Player:見せびらかし,0,0,0,
None,DisableOnlyLowerBody,65535,84,2,255,CommonTreeShakeReadyWait,0,0,木を揺らす待機,0,0,0,
None,DisableOnlyLowerBody,65535,85,2,255,CommonTreeShake,0,0,木を揺らす,0,0,0,
None,DisableOnlyLowerBody,65535,86,2,255,PlayerItemPutaway,0,0,Player:アイテムをしまう,0,20,0,
None,DisableOnlyLowerBody,65535,87,2,255,PlayerFtrHold,0,0,Player:家具つかむ,0,6,0,
None,DisableOnlyLowerBody,65535,93,2,255,FtrPushReady,0,0,Player:家具押す準備,0,0,0,
None,DisableOnlyLowerBody,65535,94,2,255,FtrPushReadyWait,0,0,Player:家具押す準備待機,0,0,0,
None,DisableOnlyLowerBody,65535,95,2,255,FtrPush,0,0,Player:家具押す,0,0,0,
None,DisableOnlyLowerBody,65535,96,2,255,FtrPullReady,0,0,Player:家具引く準備,0,0,0,
None,DisableOnlyLowerBody,65535,97,2,255,FtrPullReadyWait,0,0,Player:家具引く準備待機,0,0,0,
None,DisableOnlyLowerBody,65535,98,2,255,FtrPull,0,0,Player:家具引く,0,0,1,
None,DisableOnlyLowerBody,65535,100,2,255,FtrRotateReadyWait,0,0,Player:家具回す準備待機,0,0,0,
None,DisableOnlyLowerBody,65535,101,2,255,FtrRotate,0,0,Player:家具回す,0,0,0,
None,DisableOnlyLowerBody,65535,102,0,255,PlayerAxeReady,0,0,Player:オノ振りかぶり,0,0,0,
None,DisableOnlyLowerBody,65535,103,0,255,PlayerAxeReadyWait,0,0,Player:オノ振りかぶり後、待機,0,0,0,
None,DisableOnlyLowerBody,65535,104,0,255,PlayerAxeHitTree,0,0,Player:オノでたたく,0,0,0,
None,DisableOnlyLowerBody,65535,107,0,255,CommonUmbrellaPutaway,0,0,カサをしまう,0,4,0,
None,DisableOnlyLowerBody,65535,108,0,255,CommonUmbrellaPullout,0,0,カサを取り出す,0,4,0,
None,DisableOnlyLowerBody,65535,109,3,255,PlayerMoveTurn,0,0,Player:スリップ,0,0,0,
None,DisableOnlyLowerBody,65535,111,3,255,PlayerChangeStickChange,0,0,Player:変身ステッキで変身,0,0,0,
None,DisableOnlyLowerBody,65535,112,0,255,PlayerCliffMakerCreateReady,0,0,Player:崖造成生成、準備,0,0,0,
None,DisableOnlyLowerBody,65535,113,0,255,PlayerCliffMakerCreateReadyWait,0,0,Player:崖造成生成、準備後、待機,0,0,0,
None,DisableOnlyLowerBody,65535,114,0,255,PlayerCliffMakerActionCreate,0,0,Player:崖造成、生成アクション,0,0,0,
None,DisableOnlyLowerBody,65535,118,0,255,PlayerChangeStickChant,0,0,Player:変身ステッキ、詠唱,0,0,0,
None,DisableOnlyLowerBody,65535,130,0,255,PlayerCliffMakerActionDelete,0,0,Player:崖造成、削除アクション,0,0,0,
None,DisableOnlyLowerBody,65535,132,3,255,NpcHit,0,0,NPC：叩かれた,0,30,0,
None,EnableOnlyLowerBody_Swim,65535,133,0,255,PlayerSwimStride,1,0,Player:泳ぎひとかき移動,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,134,0,255,PlayerDiveIn,0,0,Player:水中に潜る,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,135,0,255,PlayerDiveOut,0,0,Player:潜水状態から浮上,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,136,0,255,PlayerDiveOutAndGet,0,0,Player:潜水状態から浮上してゲットデモ,0,0,0,
None,DisableOnlyLowerBody,65535,137,3,255,PlayerJumpInWater,1,0,Player:海に飛び込む,0,0,0,
None,DisableOnlyLowerBody,65535,138,2,255,PlayerPickupGetDemo,0,0,Player:拾ってゲットデモ,0,0,0,
None,DisableOnlyLowerBody,65535,139,0,255,PlayerScoopDigGetDemo,1,0,Player:スコップで掘ってゲットデモ,0,0,0,
None,DisableOnlyLowerBody,65535,140,3,255,PlayerJumpValleyLand,1,1,Player:溝ジャンプ着地,0,0,0,
None,DisableOnlyLowerBody,65535,141,0,255,CommonWatering,0,0,ジョウロを使用,0,0,0,
None,EnableOnlyLowerBody_Stand,65535,142,0,12,PlayerTumble,0,0,Player:転ぶ,0,0,0,
None,DisableOnlyLowerBody,65535,143,3,255,CommonStairsIn,0,0,階段経由でステージイン,0,0,0,
None,DisableOnlyLowerBody,65535,144,3,255,CommonStairsOut,0,0,階段経由でステージアウト,0,0,0,
None,DisableOnlyLowerBody,65535,145,2,255,PlayerChestOpen,0,0,Player:タンスを開ける,0,0,0,
None,DisableOnlyLowerBody,65535,146,2,255,PlayerChestClose,0,0,Player:タンスを閉める,0,0,0,
None,DisableOnlyLowerBody,65535,147,2,255,PlayerComplete,0,0,Player:プレイヤ、達成アニメ,0,16,0,
None,DisableOnlyLowerBody,65535,148,2,255,DeliveryPass,0,0,【受渡し】差し出す,0,0,0,
None,DisableOnlyLowerBody,65535,149,2,255,DeliveryReceive,0,0,【受渡し】受け取る,0,0,0,
None,DisableOnlyLowerBody,65535,150,2,255,DeliveryPutaway,0,0,【受渡し】しまう,0,0,0,
None,DisableOnlyLowerBody,65535,151,2,255,DeliveryChange,0,0,【受渡し】着替える,0,0,0,
None,DisableOnlyLowerBody,65535,152,2,255,DeliveryReject,0,0,【受渡し】つき返す,0,0,0,
None,DisableOnlyLowerBody,65535,153,2,255,DeliveryRejected,0,0,【受渡し】つき返される,0,0,0,
None,DisableOnlyLowerBody,65535,154,2,255,DeliveryEat,0,0,【受渡し】食べる,0,0,0,
None,DisableOnlyLowerBody,65535,157,2,255,CommonDoorKnock,0,0,ドアノック,0,0,0,
None,DisableOnlyLowerBody,65535,158,2,255,CommonDoorIn,0,0,ドア入り,0,0,0,
None,DisableOnlyLowerBody,65535,159,2,255,CommonDoorOutWait,0,0,ドアから出る待ち,0,0,0,
None,DisableOnlyLowerBody,65535,160,2,255,CommonDoorOut,0,0,ドアから出る,0,0,0,
None,DisableOnlyLowerBody,65535,161,2,255,PlayerCurtainOpen,0,0,Player:カーテンを開ける,0,0,0,
None,DisableOnlyLowerBody,65535,162,2,255,PlayerCurtainClose,0,0,Player:カーテンを閉める,0,0,0,
None,DisableOnlyLowerBody,65535,163,0,255,PlayerCooking,0,0,Player:料理する,0,0,0,
None,DisableOnlyLowerBody,65535,168,2,255,FtrRotateReady,0,0,Player:家具を回す準備,0,0,0,
None,DisableOnlyLowerBody,65535,169,0,255,PlayerSoyThrow,1,0,Player:まめをまく,0,4,0,
None,DisableOnlyLowerBody,65535,170,0,255,CommonPartyPopperPull,0,0,クラッカーをする,0,6,0,
None,DisableOnlyLowerBody,65535,171,0,255,PlayerBubblesBlow,0,0,Player:シャボン玉を吹く,0,6,0,
None,DisableOnlyLowerBody,65535,172,0,255,PlayerWindmillBlow,0,0,Player:風車を吹く,0,6,0,
None,DisableOnlyLowerBody,65535,174,0,255,PlayerRollItemBlow,0,0,Player:吹き戻しを吹く,0,6,0,
None,DisableOnlyLowerBody,65535,175,0,255,CommonFireworkSetOff,0,0,Player:手持ち花火をする,0,4,0,
None,EnableOnlyLowerBody_Swim,65535,176,0,255,PlayerDiveMove,0,0,Player:潜水移動,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,179,0,255,PlayerDiveWait,0,0,Player:潜水待機,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,180,0,255,PlayerSwimStride_Remote,1,0,Player:泳ぎひとかき移動(リモート用),0,0,0,
None,DisableOnlyLowerBody,65535,181,0,255,CommonNetSwing,0,0,アミを振る,0,0,0,
None,DisableOnlyLowerBody,65535,182,0,255,PlayerLadderReady,0,0,Player:ハシゴ、準備,0,0,0,
None,DisableOnlyLowerBody,65535,183,0,255,PlayerLadderReadyWait,0,0,Player:ハシゴ、準備後、待機,0,0,0,
None,DisableOnlyLowerBody,65535,184,0,255,PlayerLadderAction,0,1,Player:ハシゴアクション(接地、昇降、回収),0,0,0,
None,DisableOnlyLowerBody,65535,199,0,255,PlayerToolChangeOff,1,0,Player:プレイヤ道具変更(はずす),0,6,0,
None,DisableOnlyLowerBody,65535,200,2,255,PlayerFtrSwitchWallHang,0,0,Player:家具(壁掛け)のスイッチ切り替え,0,30,0,
None,DisableOnlyLowerBody,65535,202,0,255,PlayerChangeStickSelectSet,0,0,Player:変身ステッキ、コーデセット選択,0,0,0,
None,DisableOnlyLowerBody,65535,218,0,255,CommonRodCasting,0,0,つりざお、振る,0,0,0,
None,DisableOnlyLowerBody,65535,221,0,255,CommonRodCastingFail,0,0,つりざお、振る(失敗),0,0,0,
None,DisableOnlyLowerBody,65535,222,0,255,CommonRodWaitHit,0,0,つりざお、くいつき待ち,0,0,0,
None,DisableOnlyLowerBody,65535,223,0,255,CommonRodReturnFloat,0,0,つりざお、ウキひきあげ,0,0,0,
None,DisableOnlyLowerBody,65535,225,2,255,PlayerPickupWeed,0,0,Player:雑草を回収,0,0,0,
None,DisableOnlyLowerBody,65535,227,2,255,PlayerPickupFlower,0,0,Player:花を摘む,0,0,0,
None,DisableOnlyLowerBody,65535,229,3,255,PlayerFootBuryReady,0,0,Player:足で穴埋め準備,0,0,0,
None,DisableOnlyLowerBody,65535,230,3,255,PlayerFootBuryReadyWait,0,0,Player:足で穴埋め準備、待機,0,0,0,
None,DisableOnlyLowerBody,65535,231,3,255,PlayerFootBury,0,0,Player:足で穴埋め,0,0,0,
None,DisableOnlyLowerBody,65535,232,0,255,CommonRodFight,0,0,つりざお、バシャバシャ,0,0,0,
None,DisableOnlyLowerBody,65535,233,0,255,CommonRodCatch,0,0,つりざお、サカナ引き上げ,0,0,0,
None,DisableOnlyLowerBody,65535,234,0,255,CommonRodGetDemo,0,0,つりざお、サカナゲットデモ,0,0,0,
None,DisableOnlyLowerBody,65535,242,2,255,PlayerPutawayWait,0,0,Player:拾った後のガサゴソ(入れ替え待ち),0,20,0,
None,DisableOnlyLowerBody,65535,243,0,255,CommonNetWait,1,0,アミを構えて立つ,0,128,0,
None,DisableOnlyLowerBody,65535,244,0,255,PlayerNetMove,0,0,Player:プレイヤ、アミを構えて歩く,0,128,0,
None,DisableOnlyLowerBody,65535,245,0,255,PlayerNetGetDemo,0,0,Player:アミでムシをつかまえたゲットデモ,0,0,0,
None,DisableOnlyLowerBody,65535,246,0,255,PlayerSlingshotWait,0,0,Player:パチンコを構えて立つ,0,0,0,
None,DisableOnlyLowerBody,65535,247,0,255,PlayerSlingshotShooting,0,0,Player:パチンコを撃つ,0,0,0,
None,DisableOnlyLowerBody,65535,250,2,255,DeliveryShow,0,0,【受渡し】みせる,0,0,0,
None,DisableOnlyLowerBody,65535,252,3,255,NpcMove,0,0,NPC：アニメドリブン移動,0,0,1,
None,DisableOnlyLowerBody,65535,254,0,255,CommonNetStop,0,0,アミ、振りを止める,0,0,0,
None,DisableOnlyLowerBody,65535,258,3,255,PlayerJumpInWaterRun,1,0,Player:走りながら海に飛び込む,0,0,0,
None,DisableOnlyLowerBody,65535,259,0,255,CommonUmbrellaRolling,0,0,カサをまわす,0,4,0,
None,DisableOnlyLowerBody,65535,260,2,255,PlayerFtrPickup1,0,0,Player:家具を拾う（１層目）,0,0,0,
None,DisableOnlyLowerBody,65535,261,2,255,PlayerFtrPickup2,0,0,Player:家具を拾う（２層目近い）,0,0,0,
None,DisableOnlyLowerBody,65535,262,2,255,PlayerSnowballRolling,0,0,Player:雪玉を転がす,0,0,0,
None,DisableOnlyLowerBody,65535,266,2,255,PlayerFtrPickupWall,0,0,Player:家具を拾う（壁掛け）,0,0,0,
None,DisableOnlyLowerBody,65535,269,2,255,PlayerSnowballKick,0,0,Player:雪玉を蹴る,0,0,0,
None,DisableOnlyLowerBody,65535,270,0,255,PlayerCliffMakerDeleteReady,0,0,Player:崖造成削除、準備,0,0,0,
None,DisableOnlyLowerBody,65535,271,0,255,PlayerCliffMakerDeleteReadyWait,0,0,Player:崖造成削除、準備後、待機,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,272,0,255,CommonDiveWait,0,0,Player:潜水ウェイト,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,278,0,255,PlayerDiveStride,0,0,Player:潜水、ひとかぎ泳ぎ,0,0,0,
None,EnableOnlyLowerBody_Swim,65535,279,0,255,PlayerDiveStride_Remote,0,0,Player:潜水、ひとかぎ泳ぎ(リモート専用),0,0,0,
