HHABaseScore,UniqueID,8f225c6 u8,Label,Name,RegionEventItem
251,173,0,FireworksDisplay,花火大会,0
251,90,0,BeyDailyFishModel,ジャスティン(来訪),0
251,91,0,ChyDailyInsectModel,レオン(来訪),0
251,170,0,SeoReward,ラコスケ報酬,0
53,137,0,RecycleBox,リサイクルBOX,0
0,64,0,ShopSeed_Chrysanthemum,販売種_菊,0
0,63,0,ShopSeed_Lily,販売種_ユリ,0
0,62,0,ShopSeed_Cosmos,販売種_コスモス,0
0,57,0,ShopSeed_Hyacinth,販売種_ヒヤシンス,0
0,58,0,ShopSeed_Rose,販売種_バラ,0
0,59,0,ShopSeed_Anemone,販売種_アネモネ,0
0,61,0,ShopSeed_Tulip,販売種_チューリップ,0
0,60,0,ShopSeed_Pansy,販売種_パンジー,0
0,109,0,FruitApple,<フルーツ>リンゴ,0
0,110,0,FruitOrange,<フルーツ>オレンジ,0
0,111,0,FruitPear,<フルーツ>ナシ,0
0,112,0,FruitPeach,<フルーツ>モモ,0
0,113,0,FruitCherry,<フルーツ>サクランボ,0
64,121,0,Insect,生き物：ムシ,0
71,122,0,Fish,生き物：サカナ,0
87,120,0,Fossil,化石,0
87,127,0,Flower,植物：花,0
351,123,0,Bromide,ブロマイド,0
251,124,0,Poster,ポスター,0
573,125,0,HHAGift,HHA報酬,0
573,128,0,Trophy,トロフィー,0
365,126,0,Mother,はは,0
251,136,0,AirportNovelty,飛行場記念品,0
0,28,0,ShopDIY,<DIY素材>,0
103,98,0,DIYNormal,<DIY>汎用,0
0,35,0,Fence,<DIY>柵,0
201,53,0,DIY_Mushroom,<DIY>きのこ,0
301,80,0,DIYZodiac,<DIY>12星座,0
201,100,0,DIYSpringBamboo,<DIY>春の若竹,0
201,101,0,DIYSummerShell,<DIY>夏の貝がら,0
201,102,0,DIYAutmnNuts,<DIY>秋の木の実,0
201,104,0,DIYOrnament,<DIY>オーナメント,0
201,83,0,DIYMapleLeaf,<DIY>もみじのはっぱ,0
201,99,0,DIYCherryBrossom,<DIY>桜の花びら,0
201,103,0,DIYSnowCrystal,<DIY>雪の結晶,0
351,158,0,DIYEasterEgg,<DIY>イースターのたまご,0
451,176,0,DIYPearl,<DIY>しんじゅ,0
201,182,0,DIYPumpkin,<DIY>かぼちゃ,0
201,236,0,DIYShamrockDay,<DIY>シャムロックデー,0
201,143,0,MotherDay,<リージョン>母の日,1
201,144,0,WoldChildDay,<リージョン>ワールドチャイルド,1
201,145,0,FatherDay,<リージョン>父の日,1
201,278,0,FatherDay2,<リージョン>父の日_エプロン,1
201,146,0,SummerSolstice,<リージョン>夏至,1
201,147,0,StarFestival,<リージョン>七夕,1
201,149,0,CowboyFestival,<リージョン>バレトスのカウボーイ祭り,1
201,150,0,GrapeHarvestFestival,<リージョン>ブドウの収穫祭,1
201,152,0,MoonViewing,<リージョン>お月見,1
201,157,0,NewYearDay,<リージョン>お正月（日本１）,1
201,168,0,WinterSolstice_Southern,<リージョン>冬至,1
201,186,0,AsiaStarFestival,<リージョン>牛郎織女の日,1
201,196,0,NewYearEve,<リージョン>大晦日,1
201,199,0,NewYearsEveGermany,<リージョン>NewYearsEve（ドイツ）,1
201,200,0,NewYearsEveSpain,<リージョン>NewYearsEve（スペイン）,1
201,201,0,NewYearsEveWorld,<リージョン>NewYearsEve（ワールド）,1
201,202,0,NewYearDay2,<リージョン>お正月（日本２）,1
201,203,0,NewYearRoshia,<リージョン>お正月（ロシア）,1
201,204,0,NewYearWorld,<リージョン>お正月（ワールド）,1
201,205,0,NewYearKorea,<リージョン>お正月（韓国）,1
201,206,0,NewYearChina,<リージョン>お正月（アジア）,1
201,210,0,NeyYearDay3,<リージョン>お正月（日本３）,1
201,220,0,LunarNewYearAsia,<リージョン>春節（中華圏・東アジア）,1
0,221,0,LunarNewYearKorea,<リージョン>ソルラル（韓国）,1
201,219,0,Valentine,<リージョン>バレンタインデー,1
201,227,0,BigGame,<リージョン>ビッグゲーム,1
201,228,0,BigGame2,<リージョン>ビッグゲーム_ラグ,1
201,226,0,GroundhogDay,<リージョン>グラウンドホッグデー,1
201,225,0,Setsubun,<リージョン>節分,1
201,231,0,Hinamatsuri,<リージョン>ひなまつり,1
201,232,0,PiDay,<リージョン>πデー,1
201,230,0,ShamrockDay,<リージョン>シャムロックデー,1
201,238,0,AprilFool,<リージョン>エイプリルフール,1
201,237,0,Prom,<リージョン>プロム,1
201,250,0,Prom_Sash,<リージョン>プロム_たすき,1
201,240,0,PlantingDay,<リージョン>植木の日,1
201,239,0,EarthDay,<リージョン>アースデー,1
201,142,0,ChildDay,<リージョン>こどもの日,1
201,255,0,CheeseRolling,<リージョン>チーズ転がし,1
201,260,0,JuneBrideRegion,<リージョン>ジューンブライド,1
201,261,0,JuneBrideRegion2,<リージョン>ジューンブライド_カラバリ,1
201,258,0,Tangosetsu_KR,<リージョン>端午節（韓国）,1
201,254,0,Tangosetsu_CH,<リージョン>端午節（東アジア）,1
201,270,0,MarineDay,<リージョン>海の日,1
201,253,0,BastilleDay,<リージョン>パリ祭,1
178,159,1,DeliveryPocketCamp,<永続配信>ポケ森コラボ,0
201,233,1,MarioCollabo,<永続配信>マリオコラボ,0
201,234,1,SanrioCollabo,<永続配信>サンリオコラボ_キティ,0
201,245,1,SanrioCollabo2,<永続配信>サンリオコラボ_プリン,0
201,242,1,SanrioCollabo3,<永続配信>サンリオコラボ_キキララ,0
201,244,1,SanrioCollabo4,<永続配信>サンリオコラボ_シナモン,0
201,246,1,SanrioCollabo5,<永続配信>サンリオコラボ_マイメロ,0
201,243,1,SanrioCollabo6,<永続配信>サンリオコラボ_けろっぴ,0
431,247,0,BlancoLogin,Blancoログインボーナス,0
777,249,0,1stAnniversary,1周年記念,0
437,259,1,NSOBenefit2,NSO加入特典2,0
351,163,0,Easter,イースター,0
351,235,0,Easter_Shop,イースター店舗,0
437,160,0,JuneBride,ジューンブライド,0
437,264,0,MuseumDay,国際ミュージアムデー,0
351,280,0,MayDay,メーデー,0
231,180,0,Halloween_NPC,ハロウィン_NPC,0
573,181,0,Halloween_Pumpking,ハロウィン_パンプキング,0
231,214,0,Carnival,カーニバル,0
573,215,0,Carnival_pck,カーニバル_ベルリーナ,0
231,193,0,Harvest,ハーベスト_家具,0
351,194,0,Harvest_tuk,ハーベスト_フランクリン,0
0,195,0,Harvest_RecipeBook,店_ハーベストレシピ本,0
231,198,0,Christmas_ShopLv2,店_店舗大クリスマス,0
351,211,0,Christmas_NPC,クリスマス_NPC,0
0,106,0,FutureItem,■アップデート向け■,0
0,107,0,NotAvailable,◆入手不可◆,0
