MannequinPose,MannequinUsage,Seasonality,AccEye,AccMouth,Bottoms,Cap,Shoes,Socks,Tops,UniqueID
MannequinPause03,Normal,0,-2,-2,-2,10891,10145,3096,8689,66
MannequinPause06,Normal,0,-2,-2,-2,5683,5471,6046,3385,67
MannequinPause01,Normal,0,-2,-2,-2,11049,11471,-2,8627,68
MannequinPause04,Normal,4,-2,-2,11440,10960,11239,9893,7852,69
MannequinPause02,Normal,0,-2,-2,10214,11527,11682,-2,8438,70
MannequinPause03,Normal,4,11196,-2,5286,10955,10043,-2,8299,71
MannequinPause05,Normal,0,4608,-2,3317,11538,10045,-2,4285,112
MannequinPause01,Normal,4,4669,-2,4175,5148,4716,-2,8436,113
MannequinPause04,Normal,0,11224,-2,11440,11731,10255,-2,4418,114
MannequinPause04,Normal,4,11186,-2,5707,9864,10998,-2,4792,115
MannequinPause01,Normal,0,11085,-2,11281,11515,11455,-2,3328,116
MannequinPause05,Normal,2,4241,-2,11427,11045,11476,-2,3676,117
MannequinPause01,Normal,0,-2,-2,9113,10934,11241,9781,4728,118
MannequinPause04,Normal,0,4236,-2,-2,10933,5807,9685,8960,119
MannequinPause06,Normal,0,-2,-2,8786,9855,10267,9808,4598,120
MannequinPause02,Normal,0,4235,-2,4408,-2,4716,10003,8556,121
MannequinPause03,Normal,2,-2,-2,-2,9868,10116,9684,8888,122
MannequinPause02,Normal,4,11087,-2,8716,11540,11461,-2,4172,123
MannequinPause01,Normal,0,-2,-2,-2,10883,5471,9658,8954,124
MannequinPause05,Normal,0,4241,-2,5341,-2,10046,-2,5317,125
MannequinPause01,Normal,0,-2,-2,-2,5669,11551,-2,9612,126
MannequinPause06,Normal,0,4461,-2,9272,5293,2593,-2,4488,127
MannequinPause02,Normal,4,4238,-2,3351,11521,4716,-2,4420,128
MannequinPause06,Normal,0,-2,-2,-2,10893,11687,-2,5830,129
MannequinPause04,Normal,4,11093,-2,9727,11541,2593,-2,8462,130
MannequinPause03,Normal,2,11221,-2,-2,10849,10137,-2,4616,131
MannequinPause02,Normal,4,11069,-2,-2,6881,10059,9581,4606,132
MannequinPause05,Normal,0,-2,6040,4485,5688,11250,-2,8208,133
MannequinPause04,Normal,0,11090,4491,-2,6093,10092,-2,4359,134
MannequinPause03,Normal,4,-2,-2,10206,11535,11682,9683,10909,135
MannequinPause01,Normal,0,-2,-2,6899,11038,5388,9776,4155,136
MannequinPause02,Normal,0,11214,-2,3309,5689,11250,-2,3198,137
MannequinPause02,Normal,0,11210,-2,-2,-2,10118,9695,4557,138
MannequinPause03,Normal,0,11231,-2,-2,-2,10116,9696,7916,139
MannequinPause05,Normal,0,4608,-2,11443,11045,4716,-2,5292,140
MannequinPause06,Normal,0,11221,-2,-2,6880,10132,9782,4555,141
MannequinPause05,Normal,0,11069,-2,11153,-2,5809,-2,8529,142
MannequinPause03,Normal,2,11084,-2,11636,-2,4724,5200,7561,143
MannequinPause04,Normal,2,4461,-2,11393,11889,5566,-2,9133,144
MannequinPause03,Normal,2,-2,-2,-2,5259,10714,-2,3673,145
MannequinPause04,Normal,2,-2,-2,9090,11041,10731,9776,5290,146
MannequinPause02,Normal,0,-2,4677,5873,8613,10043,-2,4366,147
MannequinPause01,Normal,0,-2,-2,4255,5832,11463,-2,4340,148
MannequinPause04,Normal,0,4609,-2,9713,-2,6889,10005,3316,149
MannequinPause01,Normal,0,-2,-2,4175,5362,11258,-2,4207,150
MannequinPause02,Normal,0,11066,-2,11277,5139,4730,-2,8525,151
MannequinPause03,Normal,2,4607,-2,8754,5301,5807,-2,8507,152
MannequinPause01,Normal,0,-2,-2,12068,11039,11238,9581,7609,153
MannequinPause04,Normal,0,-2,-2,4329,5693,6890,-2,3248,154
MannequinPause01,Normal,0,-2,4671,5733,5146,10063,-2,12163,155
MannequinPause05,Christmas,0,-2,4492,3391,5306,-2,-2,3390,156
MannequinPause04,Christmas,0,-2,-2,-2,5446,-2,-2,4511,157
