e7e1c6cd.MM3Ref,b6f6977b.MM3Ref,a1def3bb.MM3Ref,98a65efb.MM3Ref,f0c9a20d.MM3Ref,c9b10f4d.MM3Ref,de996b8d.MM3Ref,bb4055cd.MM3Ref,ac68310d.MM3Ref,95109c4d.MM3Ref,8238f88d.MM3Ref,5ea2e0cd.MM3Ref,498a840d.MM3Ref,UniqueID,Name,Stage0,Stage1,Stage10,Stage11,Stage12,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9
NpcHouse1,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,10,NpcHouse1,NpcHouse1,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse2,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,11,NpcHouse2,NpcHouse2,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse3,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,12,NpcHouse3,NpcHouse3,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse4,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,13,NpcHouse4,NpcHouse4,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,14,NpcHouse5,NpcHouse5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse6,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,15,NpcHouse6,NpcHouse6,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse7,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,16,NpcHouse7,NpcHouse7,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse8,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,17,NpcHouse8,NpcHouse8,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse9,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,18,NpcHouse9,NpcHouse9,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrMarket01,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,20,Market01,IdrMarket01,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrMarket02,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,21,Market02,IdrMarket02,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrOffice01,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,24,Office01,IdrOffice01,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrAirPort,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,25,Airport,IdrAirPort,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrMuseumEnt00,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,26,Museum00,IdrMuseumEnt00,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrMuseumEnt01,IdrMuseumFish_1,IdrMuseumFish_2,InvalidStage,InvalidStage,InvalidStage,IdrMuseumInsect_0,IdrMuseumInsect_1,IdrMuseumInsect_2,IdrMuseumFossil_0,IdrMuseumFossil_1,IdrMuseumFossil_2,IdrMuseumFish_0,27,Museum01,IdrMuseumEnt01,InvalidStage,IdrMuseumFish_1,IdrMuseumFish_2,InvalidStage,InvalidStage,IdrMuseumInsect_0,IdrMuseumInsect_1,IdrMuseumInsect_2,IdrMuseumFossil_0,IdrMuseumFossil_1,IdrMuseumFossil_2,IdrMuseumFish_0
IdrMuseumEnt02,IdrMuseumFish_1,IdrMuseumFish_2,InvalidStage,IdrMuseumArt_0,InvalidStage,IdrMuseumInsect_0,IdrMuseumInsect_1,IdrMuseumInsect_2,IdrMuseumFossil_0,IdrMuseumFossil_1,IdrMuseumFossil_2,IdrMuseumFish_0,28,Museum02,IdrMuseumEnt02,IdrMuseumArt_0,IdrMuseumFish_1,IdrMuseumFish_2,InvalidStage,InvalidStage,IdrMuseumInsect_0,IdrMuseumInsect_1,IdrMuseumInsect_2,IdrMuseumFossil_0,IdrMuseumFossil_1,IdrMuseumFossil_2,IdrMuseumFish_0
IdrTsunekichi,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,32,TsunekichiShop,IdrTsunekichi,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrTanukichi,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,33,TanukichiTent,IdrTanukichi,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrTailor,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,34,Tailor,IdrTailor,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrCampSiteTent,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,35,CampSite,IdrCampSiteTent,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PhotoStudio,InvalidStage,InvalidStage,InvalidStage,PhotoStudio_1,PhotoStudio_2,PhotoStudio_3,PhotoStudio_4,PhotoStudio_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,36,PhotoStudio,PhotoStudio,PhotoStudio_1,InvalidStage,InvalidStage,InvalidStage,PhotoStudio_2,PhotoStudio_3,PhotoStudio_4,PhotoStudio_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
WherearenOffice,InvalidStage,InvalidStage,InvalidStage,WherearenOffice_1,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,37,WherearenOffice,WherearenOffice,WherearenOffice_1,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
WherearenNpcHouse0_0,InvalidStage,InvalidStage,InvalidStage,WherearenNpcHouse0_1,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,38,WherearenNpcHouse0,WherearenNpcHouse0_0,WherearenNpcHouse0_1,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
WherearenSchool,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,42,WherearenSchool,WherearenSchool,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
WherearenHospital,InvalidStage,InvalidStage,InvalidStage,WherearenHospital_1,WherearenHospital_2,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,43,WherearenHospital,WherearenHospital,WherearenHospital_1,InvalidStage,InvalidStage,InvalidStage,WherearenHospital_2,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
WherearenRestaurant,InvalidStage,InvalidStage,InvalidStage,WherearenRestaurant_1,WherearenRestaurant_2,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,44,WherearenRestaurant,WherearenRestaurant,WherearenRestaurant_1,InvalidStage,InvalidStage,InvalidStage,WherearenRestaurant_2,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
WherearenCafe,InvalidStage,InvalidStage,InvalidStage,WherearenCafe_1,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,45,WherearenCafe,WherearenCafe,WherearenCafe_1,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
WherearenTailor,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,46,WherearenTailor,WherearenTailor,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
IdrMuseumEnt03,IdrMuseumFish_1,IdrMuseumFish_2,IdrMuseumCafe,IdrMuseumArt_0,InvalidStage,IdrMuseumInsect_0,IdrMuseumInsect_1,IdrMuseumInsect_2,IdrMuseumFossil_0,IdrMuseumFossil_1,IdrMuseumFossil_2,IdrMuseumFish_0,47,Museum03,IdrMuseumEnt03,IdrMuseumArt_0,IdrMuseumFish_1,IdrMuseumFish_2,IdrMuseumCafe,InvalidStage,IdrMuseumInsect_0,IdrMuseumInsect_1,IdrMuseumInsect_2,IdrMuseumFossil_0,IdrMuseumFossil_1,IdrMuseumFossil_2,IdrMuseumFish_0
